,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
36a4b9bf2f78e893300c1f20037aa2c7,train,deckard.base.experiment.Experiment,36a4b9bf2f78e893300c1f20037aa2c7,DDoS,cpu,36a4b9bf2f78e893300c1f20037aa2c7,36a4b9bf2f78e893300c1f20037aa2c7,k-KNN,36a4b9bf2f78e893300c1f20037aa2c7,36a4b9bf2f78e893300c1f20037aa2c7,0.9525,1.6406298596361928,cpu,1726562392.1735775,1726562376.4185762,22.44940645,0.056123516125,cpu,1726562376.4184735,1726562375.3542137,1.15992243,0.00115992243,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,36a4b9bf2f78e893300c1f20037aa2c7,predictions.json,reports/condense/knn/bz2/0.1/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,KNN,ddos/models/bz2/symmetry_true/modified_true/1000-400-0.npz,3,0.1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
b8f9685000e68661819d597ffe026ecc,train,deckard.base.experiment.Experiment,b8f9685000e68661819d597ffe026ecc,DDoS,cpu,b8f9685000e68661819d597ffe026ecc,b8f9685000e68661819d597ffe026ecc,k-KNN,b8f9685000e68661819d597ffe026ecc,b8f9685000e68661819d597ffe026ecc,0.99,0.3453957599234097,cpu,1726246796.3157558,1726245231.4302702,1765.73795876,4.4143448969,cpu,1726245231.4301612,1726245228.5857344,3.17636752,0.00317636752,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,b8f9685000e68661819d597ffe026ecc,predictions.json,reports/condense/knn/lzma/0.8/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Random,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.8,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
c818b111f04f3811e146af0cb9e09854,train,deckard.base.experiment.Experiment,c818b111f04f3811e146af0cb9e09854,DDoS,cpu,c818b111f04f3811e146af0cb9e09854,c818b111f04f3811e146af0cb9e09854,k-KNN,c818b111f04f3811e146af0cb9e09854,c818b111f04f3811e146af0cb9e09854,0.86,4.835540638927724,cpu,1726314308.5263376,1726313067.770781,1410.18435561,3.525460889025,cpu,1726313067.7706292,1726313064.670472,3.43299062,0.00343299062,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,c818b111f04f3811e146af0cb9e09854,predictions.json,reports/condense/knn/lzma/0.8/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Sum,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.8,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
da83ccabd6bdaf3ab7518495e6043aaa,train,deckard.base.experiment.Experiment,da83ccabd6bdaf3ab7518495e6043aaa,DDoS,cpu,da83ccabd6bdaf3ab7518495e6043aaa,da83ccabd6bdaf3ab7518495e6043aaa,k-KNN,da83ccabd6bdaf3ab7518495e6043aaa,da83ccabd6bdaf3ab7518495e6043aaa,0.9825,0.6044425798659663,cpu,1726245223.633432,1726244441.2103124,907.1663683,2.26791592075,cpu,1726244441.210213,1726244438.5160482,2.98092887,0.00298092887,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,da83ccabd6bdaf3ab7518495e6043aaa,predictions.json,reports/condense/knn/lzma/0.8/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,SVC,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.8,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
064734c1794ef588c831eaeb1c6fa8ff,train,deckard.base.experiment.Experiment,064734c1794ef588c831eaeb1c6fa8ff,DDoS,cpu,064734c1794ef588c831eaeb1c6fa8ff,064734c1794ef588c831eaeb1c6fa8ff,k-KNN,064734c1794ef588c831eaeb1c6fa8ff,064734c1794ef588c831eaeb1c6fa8ff,0.9825,0.6044425798659662,cpu,1726264178.8932817,1726262161.6432748,2280.08437993,5.700210949825,cpu,1726262161.643069,1726262156.2722423,5.93614999,0.00593614999,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,064734c1794ef588c831eaeb1c6fa8ff,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,NearMiss,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
076a1f7bea95ad287cfc6d4e51d9e622,train,deckard.base.experiment.Experiment,076a1f7bea95ad287cfc6d4e51d9e622,DDoS,cpu,076a1f7bea95ad287cfc6d4e51d9e622,076a1f7bea95ad287cfc6d4e51d9e622,k-KNN,076a1f7bea95ad287cfc6d4e51d9e622,076a1f7bea95ad287cfc6d4e51d9e622,0.9825,0.6044425798659662,cpu,1726272357.505096,1726271532.1490133,936.19497532,2.3404874383,cpu,1726271532.1489103,1726271527.9238088,4.59366216,0.00459366216,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,076a1f7bea95ad287cfc6d4e51d9e622,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,KNN,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
10eab77c9e406072db51c70e74c46fe8,train,deckard.base.experiment.Experiment,10eab77c9e406072db51c70e74c46fe8,DDoS,cpu,10eab77c9e406072db51c70e74c46fe8,10eab77c9e406072db51c70e74c46fe8,k-KNN,10eab77c9e406072db51c70e74c46fe8,10eab77c9e406072db51c70e74c46fe8,0.9825,0.6044425798659662,cpu,1726268058.1760733,1726266112.5382786,2201.14218746,5.50285546865,cpu,1726266112.5381608,1726266106.0455074,6.97012142,0.00697012142,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,10eab77c9e406072db51c70e74c46fe8,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
63427b5f9517d2da8d015d3d92768a79,train,deckard.base.experiment.Experiment,63427b5f9517d2da8d015d3d92768a79,DDoS,cpu,63427b5f9517d2da8d015d3d92768a79,63427b5f9517d2da8d015d3d92768a79,k-KNN,63427b5f9517d2da8d015d3d92768a79,63427b5f9517d2da8d015d3d92768a79,0.9825,0.6044425798659662,cpu,1726266099.335791,1726264211.9921715,2130.58310486,5.32645776215,cpu,1726264211.9920547,1726264205.6397862,6.83838155,0.00683838155,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,63427b5f9517d2da8d015d3d92768a79,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Hardness,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
8a028a6fb85bb0d71e77ccf789ffdbb6,train,deckard.base.experiment.Experiment,8a028a6fb85bb0d71e77ccf789ffdbb6,DDoS,cpu,8a028a6fb85bb0d71e77ccf789ffdbb6,8a028a6fb85bb0d71e77ccf789ffdbb6,k-KNN,8a028a6fb85bb0d71e77ccf789ffdbb6,8a028a6fb85bb0d71e77ccf789ffdbb6,0.985,0.518093639885114,cpu,1726270036.46482,1726268080.702535,2212.12328631,5.530308215775,cpu,1726268080.7023897,1726268076.1424465,5.11118321,0.00511118321,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,8a028a6fb85bb0d71e77ccf789ffdbb6,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Random,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
c52960793dc5937107f3504f7d8e7b9c,train,deckard.base.experiment.Experiment,c52960793dc5937107f3504f7d8e7b9c,DDoS,cpu,c52960793dc5937107f3504f7d8e7b9c,c52960793dc5937107f3504f7d8e7b9c,k-KNN,c52960793dc5937107f3504f7d8e7b9c,c52960793dc5937107f3504f7d8e7b9c,0.985,0.518093639885114,cpu,1726535921.7547514,1726533750.5880682,2436.11109543,6.090277738575,cpu,1726533750.587834,1726533745.998763,5.09853094,0.00509853094,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,c52960793dc5937107f3504f7d8e7b9c,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Random,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
