,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
02301c3aafdb9e1d5370fce0103d747d,train,deckard.base.experiment.Experiment,02301c3aafdb9e1d5370fce0103d747d,DDoS,cpu,02301c3aafdb9e1d5370fce0103d747d,02301c3aafdb9e1d5370fce0103d747d,k-Logistic,02301c3aafdb9e1d5370fce0103d747d,02301c3aafdb9e1d5370fce0103d747d,0.99,0.3453957599234096,cpu,1725630479.3835645,1725630475.5867543,4.26972139,0.0426972139,cpu,1725630475.5866754,1725630471.5367658,4.53425518,0.0453425518,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,100,100,deckard.base.files.FileConfig,data,56637a74f473e3aecf170f9257469f0f,.pkl,ddos,02301c3aafdb9e1d5370fce0103d747d,predictions.json,reports/gzip_logistic/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,100,100,Label,65.56176302658925,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Asymmetric,2.1540895892999466e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
465b831f2c72eaef01b03eb053cab1d6,train,deckard.base.experiment.Experiment,465b831f2c72eaef01b03eb053cab1d6,DDoS,cpu,465b831f2c72eaef01b03eb053cab1d6,465b831f2c72eaef01b03eb053cab1d6,k-Logistic,465b831f2c72eaef01b03eb053cab1d6,465b831f2c72eaef01b03eb053cab1d6,0.94,2.0723265836946414,cpu,1725644130.1990864,1725644120.6294477,9.73541319,0.0973541319,cpu,1725644120.6293652,1725644104.7852385,16.20375157,0.0540125052333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,465b831f2c72eaef01b03eb053cab1d6,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,10.82242541821758,,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0052610522297383,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
480b79b5ddd275ef342d4d4e42b5da12,train,deckard.base.experiment.Experiment,480b79b5ddd275ef342d4d4e42b5da12,DDoS,cpu,480b79b5ddd275ef342d4d4e42b5da12,480b79b5ddd275ef342d4d4e42b5da12,k-Logistic,480b79b5ddd275ef342d4d4e42b5da12,480b79b5ddd275ef342d4d4e42b5da12,1.0,9.992007221626413e-16,cpu,1725644166.9499886,1725644156.8719318,10.32096542,0.1032096542,cpu,1725644156.8718429,1725644140.6722856,16.58893709,0.0552964569666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,300,deckard.base.files.FileConfig,data,1042a7a8828607581b2b26dc5ef28991,.pkl,ddos,480b79b5ddd275ef342d4d4e42b5da12,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,300,Label,4.780303677810808,,True,1,1000,Ratio,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.810423305341797e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
49d19919e82d0479b017dbba848fee59,train,deckard.base.experiment.Experiment,49d19919e82d0479b017dbba848fee59,DDoS,cpu,49d19919e82d0479b017dbba848fee59,49d19919e82d0479b017dbba848fee59,k-Logistic,49d19919e82d0479b017dbba848fee59,49d19919e82d0479b017dbba848fee59,0.95,1.726938819745535,cpu,1725644130.9919682,1725644121.0795238,10.10619724,0.1010619724,cpu,1725644121.0794306,1725644104.868661,16.59454089,0.0553151363,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,49d19919e82d0479b017dbba848fee59,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,12.119703981513382,,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0018834777654553,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4a127448c88d73ba03d4505b84d622a3,train,deckard.base.experiment.Experiment,4a127448c88d73ba03d4505b84d622a3,DDoS,cpu,4a127448c88d73ba03d4505b84d622a3,4a127448c88d73ba03d4505b84d622a3,k-Logistic,4a127448c88d73ba03d4505b84d622a3,4a127448c88d73ba03d4505b84d622a3,0.99,0.3453957599234096,cpu,1725642851.675027,1725642839.9636018,13.09911423,0.1309911423,cpu,1725642839.963523,1725642822.0701244,20.02880394,0.0667626798,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,4a127448c88d73ba03d4505b84d622a3,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,46.71814512957982,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0082498949346299,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4a1ee3ad456533c3b13f6f8912bb7f17,train,deckard.base.experiment.Experiment,4a1ee3ad456533c3b13f6f8912bb7f17,DDoS,cpu,4a1ee3ad456533c3b13f6f8912bb7f17,4a1ee3ad456533c3b13f6f8912bb7f17,k-Logistic,4a1ee3ad456533c3b13f6f8912bb7f17,4a1ee3ad456533c3b13f6f8912bb7f17,1.0,9.992007221626413e-16,cpu,1725642891.837293,1725642880.2715137,12.873285,0.12873285,cpu,1725642880.2714355,1725642859.261771,19.43140762,0.0647713587333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,100,300,deckard.base.files.FileConfig,data,f38e059cf121c82b757ac18a4a125b93,.pkl,ddos,4a1ee3ad456533c3b13f6f8912bb7f17,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,100,300,Label,22.81869770774281,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0039703110938203,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4eb18cfe92caee22e5f75c3b0cf6e4cc,train,deckard.base.experiment.Experiment,4eb18cfe92caee22e5f75c3b0cf6e4cc,DDoS,cpu,4eb18cfe92caee22e5f75c3b0cf6e4cc,4eb18cfe92caee22e5f75c3b0cf6e4cc,k-Logistic,4eb18cfe92caee22e5f75c3b0cf6e4cc,4eb18cfe92caee22e5f75c3b0cf6e4cc,0.99,0.3453957599234096,cpu,1725642851.8229876,1725642840.2873032,12.88752975,0.1288752975,cpu,1725642840.2872243,1725642822.069656,20.33041604,0.0677680534666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,4eb18cfe92caee22e5f75c3b0cf6e4cc,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,10.805124024060516,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0012077755657291,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
53d6fc8e7854d7193356613e5decddc8,train,deckard.base.experiment.Experiment,53d6fc8e7854d7193356613e5decddc8,DDoS,cpu,53d6fc8e7854d7193356613e5decddc8,53d6fc8e7854d7193356613e5decddc8,k-Logistic,53d6fc8e7854d7193356613e5decddc8,53d6fc8e7854d7193356613e5decddc8,0.99,0.3453957599234096,cpu,1725644282.091504,1725644270.062987,13.4069508,0.134069508,cpu,1725644270.0628915,1725644251.372457,20.87782928,0.0695927642666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,53d6fc8e7854d7193356613e5decddc8,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,25.65836003478093,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0008650429913195,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
562b748b1d113d7e65cbcc09486ec69f,train,deckard.base.experiment.Experiment,562b748b1d113d7e65cbcc09486ec69f,DDoS,cpu,562b748b1d113d7e65cbcc09486ec69f,562b748b1d113d7e65cbcc09486ec69f,k-Logistic,562b748b1d113d7e65cbcc09486ec69f,562b748b1d113d7e65cbcc09486ec69f,1.0,9.992007221626413e-16,cpu,1725642813.613941,1725642801.4319596,13.59662206,0.1359662206,cpu,1725642801.4318724,1725642779.30641,19.7755779,0.065918593,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,300,deckard.base.files.FileConfig,data,98378d43740aeac3fb79f21036b08e7a,.pkl,ddos,562b748b1d113d7e65cbcc09486ec69f,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,300,Label,48.2983307354645,,True,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0058502470270541,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
56c91045cbe6c3f3a648723c83df4180,train,deckard.base.experiment.Experiment,56c91045cbe6c3f3a648723c83df4180,DDoS,cpu,56c91045cbe6c3f3a648723c83df4180,56c91045cbe6c3f3a648723c83df4180,k-Logistic,56c91045cbe6c3f3a648723c83df4180,56c91045cbe6c3f3a648723c83df4180,0.99,0.3453957599234096,cpu,1725644019.2025287,1725644007.2999294,13.34476908,0.1334476908,cpu,1725644007.2998247,1725643989.3513556,20.08815657,0.0669605219,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,56c91045cbe6c3f3a648723c83df4180,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,17.08956308816002,,False,1,1000,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.003165572191103,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
