,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
00a8a80089563ab0aa926250698102f8,train,deckard.base.experiment.Experiment,00a8a80089563ab0aa926250698102f8,DDoS,cpu,00a8a80089563ab0aa926250698102f8,00a8a80089563ab0aa926250698102f8,k-SVC,00a8a80089563ab0aa926250698102f8,00a8a80089563ab0aa926250698102f8,1.0,9.992007221626413e-16,cpu,1725631424.555469,1725631420.3864765,4.67091841,0.0467091841,cpu,1725631420.3863306,1725631416.2014463,4.68496815,0.0468496815,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,100,deckard.base.files.FileConfig,data,6a13d6f380f9f52a857535a72d181ee9,.pkl,ddos,00a8a80089563ab0aa926250698102f8,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,100,Label,21.82814423765052,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
501b74b1587ce8235888dd85189dacf7,train,deckard.base.experiment.Experiment,501b74b1587ce8235888dd85189dacf7,DDoS,cpu,501b74b1587ce8235888dd85189dacf7,501b74b1587ce8235888dd85189dacf7,k-SVC,501b74b1587ce8235888dd85189dacf7,501b74b1587ce8235888dd85189dacf7,0.99,0.3453957599234096,cpu,1725648367.870463,1725648355.9987268,13.20291689,0.1320291689,cpu,1725648355.9984949,1725648337.5501814,20.58040851,0.0686013617,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,501b74b1587ce8235888dd85189dacf7,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,100.83645692542028,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
50d91faa068cad0a897651ef7672a5ac,train,deckard.base.experiment.Experiment,50d91faa068cad0a897651ef7672a5ac,DDoS,cpu,50d91faa068cad0a897651ef7672a5ac,50d91faa068cad0a897651ef7672a5ac,k-SVC,50d91faa068cad0a897651ef7672a5ac,50d91faa068cad0a897651ef7672a5ac,0.99,0.3453957599234096,cpu,1725648137.8250985,1725648126.7531407,12.36459627,0.1236459627,cpu,1725648126.7529993,1725648109.6972885,19.10448946,0.0636816315333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,50d91faa068cad0a897651ef7672a5ac,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,50.67204423122458,,scale,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
517e4c94127d065f2bf63e4a8230dc10,train,deckard.base.experiment.Experiment,517e4c94127d065f2bf63e4a8230dc10,DDoS,cpu,517e4c94127d065f2bf63e4a8230dc10,517e4c94127d065f2bf63e4a8230dc10,k-SVC,517e4c94127d065f2bf63e4a8230dc10,517e4c94127d065f2bf63e4a8230dc10,0.99,0.3453957599234097,cpu,1725648330.3259292,1725648318.104905,13.66659809,0.1366659809,cpu,1725648318.1048136,1725648299.9946926,20.26880496,0.0675626832,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,2,True,True,100,300,deckard.base.files.FileConfig,data,6d927a2d3adceaababddc75000b5d688,.pkl,ddos,517e4c94127d065f2bf63e4a8230dc10,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,2,True,True,100,300,Label,257.9593219831386,,scale,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
56adf2e1a88f7efb708c91b37791584d,train,deckard.base.experiment.Experiment,56adf2e1a88f7efb708c91b37791584d,DDoS,cpu,56adf2e1a88f7efb708c91b37791584d,56adf2e1a88f7efb708c91b37791584d,k-SVC,56adf2e1a88f7efb708c91b37791584d,56adf2e1a88f7efb708c91b37791584d,0.5,17.269388197455342,cpu,1725648134.8374496,1725648125.4085283,9.62754926,0.0962754926,cpu,1725648125.4082596,1725648109.7663472,16.0280853,0.053426951,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,56adf2e1a88f7efb708c91b37791584d,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,67.87942350011312,,scale,rbf,1,Ratio,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
58494bf3de254ffc1c5bdb791c8b8df6,train,deckard.base.experiment.Experiment,58494bf3de254ffc1c5bdb791c8b8df6,DDoS,cpu,58494bf3de254ffc1c5bdb791c8b8df6,58494bf3de254ffc1c5bdb791c8b8df6,k-SVC,58494bf3de254ffc1c5bdb791c8b8df6,58494bf3de254ffc1c5bdb791c8b8df6,0.41,20.378149936123567,cpu,1725648745.6664078,1725648733.1757302,13.88857488,0.1388857488,cpu,1725648733.1755707,1725648715.289166,19.92029055,0.0664009685,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,8,True,True,100,300,deckard.base.files.FileConfig,data,538b9e6cdc5006a7e7934602adccc113,.pkl,ddos,58494bf3de254ffc1c5bdb791c8b8df6,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,8,True,True,100,300,Label,95.1315543155976,,scale,precomputed,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5afe4dbbfd6fdb2dd8017a798075d6fb,train,deckard.base.experiment.Experiment,5afe4dbbfd6fdb2dd8017a798075d6fb,DDoS,cpu,5afe4dbbfd6fdb2dd8017a798075d6fb,5afe4dbbfd6fdb2dd8017a798075d6fb,k-SVC,5afe4dbbfd6fdb2dd8017a798075d6fb,5afe4dbbfd6fdb2dd8017a798075d6fb,0.66,11.743183974269632,cpu,1725649569.8753943,1725649559.0953002,11.11122503,0.1111122503,cpu,1725649559.0949535,1725649544.6735866,14.71754097,0.0490584699,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,100,300,deckard.base.files.FileConfig,data,f38e059cf121c82b757ac18a4a125b93,.pkl,ddos,5afe4dbbfd6fdb2dd8017a798075d6fb,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,100,300,Label,137.21842867766117,,auto,rbf,1,Ratio,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5efdd9c03e44a098ff82dae84d071277,train,deckard.base.experiment.Experiment,5efdd9c03e44a098ff82dae84d071277,DDoS,cpu,5efdd9c03e44a098ff82dae84d071277,5efdd9c03e44a098ff82dae84d071277,k-SVC,5efdd9c03e44a098ff82dae84d071277,5efdd9c03e44a098ff82dae84d071277,0.01,34.193780433702365,cpu,1725648471.5173154,1725648418.889447,63.13640561,0.6313640561,cpu,1725648418.8887231,1725648337.568059,97.13606865,0.3237868955,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,5efdd9c03e44a098ff82dae84d071277,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,61.23992992095344,,auto,precomputed,1,LZMA,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5f82ef46c925e00a479c8b66f9e7e6a7,train,deckard.base.experiment.Experiment,5f82ef46c925e00a479c8b66f9e7e6a7,DDoS,cpu,5f82ef46c925e00a479c8b66f9e7e6a7,5f82ef46c925e00a479c8b66f9e7e6a7,k-SVC,5f82ef46c925e00a479c8b66f9e7e6a7,5f82ef46c925e00a479c8b66f9e7e6a7,1.0,9.992007221626413e-16,cpu,1725648570.5710185,1725648558.5321617,13.51309816,0.1351309816,cpu,1725648558.5320072,1725648540.2635503,20.45671639,0.0681890546333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,300,deckard.base.files.FileConfig,data,1042a7a8828607581b2b26dc5ef28991,.pkl,ddos,5f82ef46c925e00a479c8b66f9e7e6a7,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,300,Label,80.76232340893523,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
610c4bc25279bc5161a5f0c247b38fef,train,deckard.base.experiment.Experiment,610c4bc25279bc5161a5f0c247b38fef,DDoS,cpu,610c4bc25279bc5161a5f0c247b38fef,610c4bc25279bc5161a5f0c247b38fef,k-SVC,610c4bc25279bc5161a5f0c247b38fef,610c4bc25279bc5161a5f0c247b38fef,0.99,0.3453957599234096,cpu,1725648213.8721197,1725648201.5880194,13.76728908,0.1376728908,cpu,1725648201.5876167,1725648184.6424248,18.99600769,0.0633200256333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,610c4bc25279bc5161a5f0c247b38fef,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,129.344541116568,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
