,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
3ed11e27da4d5d41a1da87da8de4e6e0,train,deckard.base.experiment.Experiment,3ed11e27da4d5d41a1da87da8de4e6e0,DDoS,cpu,3ed11e27da4d5d41a1da87da8de4e6e0,3ed11e27da4d5d41a1da87da8de4e6e0,k-KNN,3ed11e27da4d5d41a1da87da8de4e6e0,3ed11e27da4d5d41a1da87da8de4e6e0,0.97,1.0361872797702274,cpu,1725758697.812042,1725758655.1138017,45.5837341,0.11395933525,cpu,1725758655.1134655,1725758649.476583,5.99321135,0.0599321135,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,400,100,deckard.base.files.FileConfig,data,ec551531d78e6d0f136d80437a1c7a3e,.pkl,ddos,3ed11e27da4d5d41a1da87da8de4e6e0,predictions.json,reports/modified//gzip_knn/100/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,400,100,Label,brute,1,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d46242e593ca146406e1eee285e169f6,train,deckard.base.experiment.Experiment,d46242e593ca146406e1eee285e169f6,DDoS,cpu,d46242e593ca146406e1eee285e169f6,d46242e593ca146406e1eee285e169f6,k-KNN,d46242e593ca146406e1eee285e169f6,d46242e593ca146406e1eee285e169f6,0.9675,1.1225322217639282,cpu,1725753138.4694722,1725753130.0518491,9.03702523,0.022592563075,cpu,1725753130.0517428,1725753129.7287755,0.33873124,0.016936562,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,20,deckard.base.files.FileConfig,data,df45166677a7bb0a6724436b1c3563c9,.pkl,ddos,d46242e593ca146406e1eee285e169f6,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,20,Label,brute,1,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d4eb7c903d124b82b2e2003470e6113b,train,deckard.base.experiment.Experiment,d4eb7c903d124b82b2e2003470e6113b,DDoS,cpu,d4eb7c903d124b82b2e2003470e6113b,d4eb7c903d124b82b2e2003470e6113b,k-KNN,d4eb7c903d124b82b2e2003470e6113b,d4eb7c903d124b82b2e2003470e6113b,0.8925,3.7130044191766456,cpu,1725753426.7247674,1725753419.1530623,7.94357303,0.019858932575,cpu,1725753419.1529007,1725753418.8367076,0.32457695,0.0162288475,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,d4eb7c903d124b82b2e2003470e6113b,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,3,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d97c04a7daec1d31aa481949607982e5,train,deckard.base.experiment.Experiment,d97c04a7daec1d31aa481949607982e5,DDoS,cpu,d97c04a7daec1d31aa481949607982e5,d97c04a7daec1d31aa481949607982e5,k-KNN,d97c04a7daec1d31aa481949607982e5,d97c04a7daec1d31aa481949607982e5,0.4425,19.255651697250425,cpu,1725753332.365173,1725753324.601184,7.94154679,0.019853866975,cpu,1725753324.6010582,1725753324.3540306,0.24473727,0.0122368635,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,d97c04a7daec1d31aa481949607982e5,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,1,1,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d9b0339e451921df44965c685f7c36fa,train,deckard.base.experiment.Experiment,d9b0339e451921df44965c685f7c36fa,DDoS,cpu,d9b0339e451921df44965c685f7c36fa,d9b0339e451921df44965c685f7c36fa,k-KNN,d9b0339e451921df44965c685f7c36fa,d9b0339e451921df44965c685f7c36fa,0.5975,13.902169341949325,cpu,1725753088.6550255,1725753068.6053908,23.29404148,0.0582351037,cpu,1725753068.605249,1725753067.9078572,0.76560841,0.0382804205,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,d9b0339e451921df44965c685f7c36fa,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,11,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
da5c6914a99ff13f7aab1dfb09668b97,train,deckard.base.experiment.Experiment,da5c6914a99ff13f7aab1dfb09668b97,DDoS,cpu,da5c6914a99ff13f7aab1dfb09668b97,da5c6914a99ff13f7aab1dfb09668b97,k-KNN,da5c6914a99ff13f7aab1dfb09668b97,da5c6914a99ff13f7aab1dfb09668b97,0.8,6.907915198468177,cpu,1725752801.8928733,1725752782.426337,22.60516875,0.056512921875,cpu,1725752782.42619,1725752781.7023346,0.78903628,0.039451814,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,da5c6914a99ff13f7aab1dfb09668b97,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,5,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
dadcae5cf767c94e571b798e2eeaa149,train,deckard.base.experiment.Experiment,dadcae5cf767c94e571b798e2eeaa149,DDoS,cpu,dadcae5cf767c94e571b798e2eeaa149,dadcae5cf767c94e571b798e2eeaa149,k-KNN,dadcae5cf767c94e571b798e2eeaa149,dadcae5cf767c94e571b798e2eeaa149,0.1775,28.40849540768332,cpu,1725753605.964676,1725753597.899334,8.23223874,0.02058059685,cpu,1725753597.899204,1725753597.6309938,0.26824736,0.013412368,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,20,deckard.base.files.FileConfig,data,df45166677a7bb0a6724436b1c3563c9,.pkl,ddos,dadcae5cf767c94e571b798e2eeaa149,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,20,Label,brute,11,1,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
dd0a3b9b9181b5f5ad9846da3af45920,train,deckard.base.experiment.Experiment,dd0a3b9b9181b5f5ad9846da3af45920,DDoS,cpu,dd0a3b9b9181b5f5ad9846da3af45920,dd0a3b9b9181b5f5ad9846da3af45920,k-KNN,dd0a3b9b9181b5f5ad9846da3af45920,dd0a3b9b9181b5f5ad9846da3af45920,0.895,3.626655479195793,cpu,1725752989.9775493,1725752980.548736,9.87873743,0.024696843575,cpu,1725752980.548578,1725752980.212326,0.34437311,0.0172186555,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,400,20,deckard.base.files.FileConfig,data,ebb8d772b41dd3de755be176f802fecd,.pkl,ddos,dd0a3b9b9181b5f5ad9846da3af45920,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,400,20,Label,brute,1,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
dd5a6d14fd878a231f19cad822a31c16,train,deckard.base.experiment.Experiment,dd5a6d14fd878a231f19cad822a31c16,DDoS,cpu,dd5a6d14fd878a231f19cad822a31c16,dd5a6d14fd878a231f19cad822a31c16,k-KNN,dd5a6d14fd878a231f19cad822a31c16,dd5a6d14fd878a231f19cad822a31c16,0.685,10.87984649797285,cpu,1725753001.321837,1725752980.9178703,23.51811892,0.0587952973,cpu,1725752980.9177403,1725752980.1961875,0.78755228,0.039377614,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,400,20,deckard.base.files.FileConfig,data,ebb8d772b41dd3de755be176f802fecd,.pkl,ddos,dd5a6d14fd878a231f19cad822a31c16,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,400,20,Label,brute,11,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d3f86f9200fa575f08189297801ed9ed,train,deckard.base.experiment.Experiment,d3f86f9200fa575f08189297801ed9ed,DDoS,cpu,d3f86f9200fa575f08189297801ed9ed,d3f86f9200fa575f08189297801ed9ed,k-KNN,d3f86f9200fa575f08189297801ed9ed,d3f86f9200fa575f08189297801ed9ed,0.735,9.152931666150218,cpu,1725752682.9902446,1725752674.485503,8.90288637,0.022257215925,cpu,1725752674.4853778,1725752674.1364603,0.36296204,0.018148102,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,400,20,deckard.base.files.FileConfig,data,a1ad486a4c075c5f5709387902eb959a,.pkl,ddos,d3f86f9200fa575f08189297801ed9ed,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,400,20,Label,brute,11,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
