,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
0364447b0ac504ff8c1aba2314746e7f,train,deckard.base.experiment.Experiment,0364447b0ac504ff8c1aba2314746e7f,DDoS,cpu,0364447b0ac504ff8c1aba2314746e7f,0364447b0ac504ff8c1aba2314746e7f,k-Logistic,0364447b0ac504ff8c1aba2314746e7f,0364447b0ac504ff8c1aba2314746e7f,0.875,4.317347049363836,cpu,1725758788.348544,1725758742.0333614,47.33279953,0.118331998825,cpu,1725758742.032744,1725758736.1289778,6.02754164,0.0602754164,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,400,100,deckard.base.files.FileConfig,data,ec551531d78e6d0f136d80437a1c7a3e,.pkl,ddos,0364447b0ac504ff8c1aba2314746e7f,predictions.json,reports/modified//gzip_logistic/100/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,400,100,Label,5.557972591765288,,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0993797773114057,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b38c6564bfd9415e42c6891ebe851e6f,train,deckard.base.experiment.Experiment,b38c6564bfd9415e42c6891ebe851e6f,DDoS,cpu,b38c6564bfd9415e42c6891ebe851e6f,b38c6564bfd9415e42c6891ebe851e6f,k-Logistic,b38c6564bfd9415e42c6891ebe851e6f,b38c6564bfd9415e42c6891ebe851e6f,0.995,0.1726978799617053,cpu,1725775136.1399298,1725774572.8768702,630.01696964,1.5750424241,cpu,1725774572.8763466,1725774360.178159,238.53481359,0.7951160453,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,b38c6564bfd9415e42c6891ebe851e6f,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,14.38647241559335,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.2853127369691195e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b3430118870fcae09992e78002af9b5d,train,deckard.base.experiment.Experiment,b3430118870fcae09992e78002af9b5d,DDoS,cpu,b3430118870fcae09992e78002af9b5d,b3430118870fcae09992e78002af9b5d,k-Logistic,b3430118870fcae09992e78002af9b5d,b3430118870fcae09992e78002af9b5d,0.995,0.1726978799617053,cpu,1725778817.0724373,1725778271.3056438,604.94525051,1.512363126275,cpu,1725778271.3048985,1725778062.8171103,231.29218224,0.7709739408,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,b3430118870fcae09992e78002af9b5d,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,8.216007315888321,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,6.148623656008648e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
ae2f95644c235bd2cb5c9a1ea5a441d7,train,deckard.base.experiment.Experiment,ae2f95644c235bd2cb5c9a1ea5a441d7,DDoS,cpu,ae2f95644c235bd2cb5c9a1ea5a441d7,ae2f95644c235bd2cb5c9a1ea5a441d7,k-Logistic,ae2f95644c235bd2cb5c9a1ea5a441d7,ae2f95644c235bd2cb5c9a1ea5a441d7,0.995,0.1726978799617053,cpu,1725784707.6364114,1725784404.0974023,349.23023523,0.873075588075,cpu,1725784404.0871325,1725784278.2229943,142.77296705,0.4759098901666667,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,ae2f95644c235bd2cb5c9a1ea5a441d7,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,18.182660546564342,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.210072726467518e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
ada61d761a573c2f2aea52d0636409ab,train,deckard.base.experiment.Experiment,ada61d761a573c2f2aea52d0636409ab,DDoS,cpu,ada61d761a573c2f2aea52d0636409ab,ada61d761a573c2f2aea52d0636409ab,k-Logistic,ada61d761a573c2f2aea52d0636409ab,ada61d761a573c2f2aea52d0636409ab,0.995,0.1726978799617053,cpu,1725785141.087866,1725784840.3018742,343.55634961,0.858890874025,cpu,1725784840.3015063,1725784713.1076958,143.42229585,0.4780743195,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,300,deckard.base.files.FileConfig,data,f9e5112b21cd43423bfaf9a7d83f1643,.pkl,ddos,ada61d761a573c2f2aea52d0636409ab,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,300,Label,13.882056723880265,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.9067908585898543e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a9aff6bd583e6d8c726c617059bb5cac,train,deckard.base.experiment.Experiment,a9aff6bd583e6d8c726c617059bb5cac,DDoS,cpu,a9aff6bd583e6d8c726c617059bb5cac,a9aff6bd583e6d8c726c617059bb5cac,k-Logistic,a9aff6bd583e6d8c726c617059bb5cac,a9aff6bd583e6d8c726c617059bb5cac,0.9925,0.259044820948982,cpu,1725783779.2589028,1725783351.719429,473.84919848,1.1846229962,cpu,1725783351.7177427,1725783192.0389447,176.80908524,0.5893636174666667,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,400,300,deckard.base.files.FileConfig,data,317b9ed2d15c144cb1562f9424311de9,.pkl,ddos,a9aff6bd583e6d8c726c617059bb5cac,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,400,300,Label,57.26251781814658,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,4.720345382059979e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a95add23cf8f3c8ed3cf1030e3c65b3a,train,deckard.base.experiment.Experiment,a95add23cf8f3c8ed3cf1030e3c65b3a,DDoS,cpu,a95add23cf8f3c8ed3cf1030e3c65b3a,a95add23cf8f3c8ed3cf1030e3c65b3a,k-Logistic,a95add23cf8f3c8ed3cf1030e3c65b3a,a95add23cf8f3c8ed3cf1030e3c65b3a,0.7725,7.857737546308946,cpu,1725774002.2141805,1725773872.825328,132.12035262,0.33030088155,cpu,1725773872.8243787,1725773821.3610077,52.52650337,0.1750883445666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,2,True,True,400,300,deckard.base.files.FileConfig,data,2224bb94d5600962f976c5a5dc849490,.pkl,ddos,a95add23cf8f3c8ed3cf1030e3c65b3a,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,2,True,True,400,300,Label,3.996601699579016,,True,1,1000,Jaro-Winkler,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.0157627013410692e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a749c1616a039351d5ba4c3c8c52b56c,train,deckard.base.experiment.Experiment,a749c1616a039351d5ba4c3c8c52b56c,DDoS,cpu,a749c1616a039351d5ba4c3c8c52b56c,a749c1616a039351d5ba4c3c8c52b56c,k-Logistic,a749c1616a039351d5ba4c3c8c52b56c,a749c1616a039351d5ba4c3c8c52b56c,0.995,0.1726978799617053,cpu,1725778809.5016916,1725778263.995644,599.85292306,1.49963230765,cpu,1725778263.9949565,1725778062.7896128,221.70302614,0.7390100871333334,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,a749c1616a039351d5ba4c3c8c52b56c,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,1.019943001748529,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.9861896656908767e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a579bac437c20985eb1db69bc9456d41,train,deckard.base.experiment.Experiment,a579bac437c20985eb1db69bc9456d41,DDoS,cpu,a579bac437c20985eb1db69bc9456d41,a579bac437c20985eb1db69bc9456d41,k-Logistic,a579bac437c20985eb1db69bc9456d41,a579bac437c20985eb1db69bc9456d41,0.995,0.1726978799617053,cpu,1725783160.4943695,1725782632.978397,579.23427755,1.448085693875,cpu,1725782632.9776118,1725782438.5297368,213.71140381,0.7123713460333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,a579bac437c20985eb1db69bc9456d41,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,23.522503353240577,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,5.397972710888889e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
9ddddb767a1bb7ac09e2c37d06772862,train,deckard.base.experiment.Experiment,9ddddb767a1bb7ac09e2c37d06772862,DDoS,cpu,9ddddb767a1bb7ac09e2c37d06772862,9ddddb767a1bb7ac09e2c37d06772862,k-Logistic,9ddddb767a1bb7ac09e2c37d06772862,9ddddb767a1bb7ac09e2c37d06772862,0.9925,0.259044820948982,cpu,1725783789.2125404,1725783363.2122316,479.45925043,1.198648126075,cpu,1725783363.2117913,1725783198.792836,184.61368707,0.6153789569,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,400,300,deckard.base.files.FileConfig,data,317b9ed2d15c144cb1562f9424311de9,.pkl,ddos,9ddddb767a1bb7ac09e2c37d06772862,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,400,300,Label,57.72944959317478,,True,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,6.92199146822447e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
