,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
0125eee92924b9ef99e395f1f57d46b3,train,deckard.base.experiment.Experiment,0125eee92924b9ef99e395f1f57d46b3,DDoS,cpu,0125eee92924b9ef99e395f1f57d46b3,0125eee92924b9ef99e395f1f57d46b3,k-SVC,0125eee92924b9ef99e395f1f57d46b3,0125eee92924b9ef99e395f1f57d46b3,1.0,9.992007221626413e-16,cpu,1725763062.8201792,1725763014.5945344,51.19441445,0.127986036125,cpu,1725763014.5944197,1725763008.4306917,6.57870405,0.0657870405,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,100,deckard.base.files.FileConfig,data,f5211c9d85f4c5c1f5df2a3402cd9e33,.pkl,ddos,0125eee92924b9ef99e395f1f57d46b3,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,100,Label,21.01845680273899,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c7612e2a08be688ae7dad14ea73c1af3,train,deckard.base.experiment.Experiment,c7612e2a08be688ae7dad14ea73c1af3,DDoS,cpu,c7612e2a08be688ae7dad14ea73c1af3,c7612e2a08be688ae7dad14ea73c1af3,k-SVC,c7612e2a08be688ae7dad14ea73c1af3,c7612e2a08be688ae7dad14ea73c1af3,0.9975,0.0863489399808532,cpu,1725785945.1673782,1725785809.2822492,144.41354303,0.361033857575,cpu,1725785809.281703,1725785755.7524705,56.86815735,0.1895605245,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c7612e2a08be688ae7dad14ea73c1af3,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,18.327205254685705,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c5bf0bee7929a1a4364ae466f85ce926,train,deckard.base.experiment.Experiment,c5bf0bee7929a1a4364ae466f85ce926,DDoS,cpu,c5bf0bee7929a1a4364ae466f85ce926,c5bf0bee7929a1a4364ae466f85ce926,k-SVC,c5bf0bee7929a1a4364ae466f85ce926,c5bf0bee7929a1a4364ae466f85ce926,0.995,0.1726978799617054,cpu,1725790112.1858995,1725789975.7008598,144.91471676,0.3622867919,cpu,1725789975.7004452,1725789921.7842596,57.28929417,0.1909643139,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,400,300,deckard.base.files.FileConfig,data,3b0cfb7bc83fc2497401218beb8f1d9d,.pkl,ddos,c5bf0bee7929a1a4364ae466f85ce926,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,400,300,Label,24.444178112708933,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c5adea3f9b1f27f9f09e815ff1fabb1a,train,deckard.base.experiment.Experiment,c5adea3f9b1f27f9f09e815ff1fabb1a,DDoS,cpu,c5adea3f9b1f27f9f09e815ff1fabb1a,c5adea3f9b1f27f9f09e815ff1fabb1a,k-SVC,c5adea3f9b1f27f9f09e815ff1fabb1a,c5adea3f9b1f27f9f09e815ff1fabb1a,0.9975,0.0863489399808532,cpu,1725785950.2054038,1725785810.0443752,149.05206946,0.37263017365,cpu,1725785810.0438414,1725785755.9003725,57.46949327,0.1915649775666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c5adea3f9b1f27f9f09e815ff1fabb1a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,10.806100741909276,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c37ac8842870248ddeebcca33973ad66,train,deckard.base.experiment.Experiment,c37ac8842870248ddeebcca33973ad66,DDoS,cpu,c37ac8842870248ddeebcca33973ad66,c37ac8842870248ddeebcca33973ad66,k-SVC,c37ac8842870248ddeebcca33973ad66,c37ac8842870248ddeebcca33973ad66,0.995,0.1726978799617054,cpu,1725790114.0835726,1725789976.0642817,146.48906034,0.36622265085,cpu,1725789976.0637534,1725789921.726343,57.63259763,0.1921086587666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,400,300,deckard.base.files.FileConfig,data,3b0cfb7bc83fc2497401218beb8f1d9d,.pkl,ddos,c37ac8842870248ddeebcca33973ad66,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,400,300,Label,11.501416723082398,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c25e4c7ff78d1ce00c6ea7f0854c1e02,train,deckard.base.experiment.Experiment,c25e4c7ff78d1ce00c6ea7f0854c1e02,DDoS,cpu,c25e4c7ff78d1ce00c6ea7f0854c1e02,c25e4c7ff78d1ce00c6ea7f0854c1e02,k-SVC,c25e4c7ff78d1ce00c6ea7f0854c1e02,c25e4c7ff78d1ce00c6ea7f0854c1e02,0.9975,0.0863489399808532,cpu,1725785749.2161658,1725785617.1213136,140.54755949,0.351368898725,cpu,1725785617.1205945,1725785564.2100823,56.28765709,0.1876255236333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c25e4c7ff78d1ce00c6ea7f0854c1e02,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,23.48102032306731,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c2173ab7d2e5133dd75515c213d08182,train,deckard.base.experiment.Experiment,c2173ab7d2e5133dd75515c213d08182,DDoS,cpu,c2173ab7d2e5133dd75515c213d08182,c2173ab7d2e5133dd75515c213d08182,k-SVC,c2173ab7d2e5133dd75515c213d08182,c2173ab7d2e5133dd75515c213d08182,0.9975,0.0863489399808532,cpu,1725786925.6873512,1725786791.9761388,142.24900924,0.3556225231,cpu,1725786791.975665,1725786740.962825,54.13365847,0.1804455282333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c2173ab7d2e5133dd75515c213d08182,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,42.97032342373682,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c0af578b1459fe27bd4930ccbaaba397,train,deckard.base.experiment.Experiment,c0af578b1459fe27bd4930ccbaaba397,DDoS,cpu,c0af578b1459fe27bd4930ccbaaba397,c0af578b1459fe27bd4930ccbaaba397,k-SVC,c0af578b1459fe27bd4930ccbaaba397,c0af578b1459fe27bd4930ccbaaba397,0.9975,0.0863489399808532,cpu,1725786536.5116124,1725786399.2574198,145.86023926,0.36465059815,cpu,1725786399.2568593,1725786346.6770875,55.91356507,0.1863785502333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c0af578b1459fe27bd4930ccbaaba397,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,4.218827405889757,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c0976a9748b22034e3b13eafd2b17daf,train,deckard.base.experiment.Experiment,c0976a9748b22034e3b13eafd2b17daf,DDoS,cpu,c0976a9748b22034e3b13eafd2b17daf,c0976a9748b22034e3b13eafd2b17daf,k-SVC,c0976a9748b22034e3b13eafd2b17daf,c0976a9748b22034e3b13eafd2b17daf,0.9975,0.0863489399808532,cpu,1725785357.5713892,1725785222.588082,143.56439257,0.358910981425,cpu,1725785222.5874083,1725785168.3362248,57.57839597,0.1919279865666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c0976a9748b22034e3b13eafd2b17daf,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,13.413866170735028,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
c05488a8eba1955697ebb0106cb7a994,train,deckard.base.experiment.Experiment,c05488a8eba1955697ebb0106cb7a994,DDoS,cpu,c05488a8eba1955697ebb0106cb7a994,c05488a8eba1955697ebb0106cb7a994,k-SVC,c05488a8eba1955697ebb0106cb7a994,c05488a8eba1955697ebb0106cb7a994,0.9975,0.0863489399808532,cpu,1725785751.2341008,1725785616.3371973,143.42168609,0.358554215225,cpu,1725785616.3366368,1725785564.1142638,55.5624954,0.185208318,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,c05488a8eba1955697ebb0106cb7a994,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,5.663657212773809,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
