,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,predictions,exception,data._target_,data.generate.name,data.generate.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.generate.name,model.data.generate.target,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.init._target_,model.init.compressor,model.init.distance_matrix,model.init.k,model.init.m,model.init.method,model.init.metric,model.init.name,model.init.symmetric,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
1,150dd9bd466e85afa626efb076aec3ef,train,deckard.base.experiment.Experiment,150dd9bd466e85afa626efb076aec3ef,ddos,cpu,150dd9bd466e85afa626efb076aec3ef,150dd9bd466e85afa626efb076aec3ef,GzipClassifier,150dd9bd466e85afa626efb076aec3ef,150dd9bd466e85afa626efb076aec3ef,532.479587227,0.532479587227,1708513493.789446,1708513818.1887825,cpu,89.874739966,0.089874739966,1708511864.3516424,1708511920.0962205,cpu,0.99,0.3453877639491077,ddos/reports/train/150dd9bd466e85afa626efb076aec3ef/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,150dd9bd466e85afa626efb076aec3ef,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,11.0,200.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
4,5b3cac0d9174e768af14da49d1916679,train,deckard.base.experiment.Experiment,5b3cac0d9174e768af14da49d1916679,ddos,cpu,5b3cac0d9174e768af14da49d1916679,5b3cac0d9174e768af14da49d1916679,GzipClassifier,5b3cac0d9174e768af14da49d1916679,5b3cac0d9174e768af14da49d1916679,541.879014514,0.541879014514,1708513494.1339004,1708513827.946653,cpu,220.343286059,0.220343286059,1708513369.7645087,1708513484.645326,cpu,0.5,17.269388197455342,ddos/reports/train/5b3cac0d9174e768af14da49d1916679/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,5b3cac0d9174e768af14da49d1916679,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,200.0,KNN,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
5,73dfec61dd52d87cfc4c3cfc0cea36ac,train,deckard.base.experiment.Experiment,73dfec61dd52d87cfc4c3cfc0cea36ac,ddos,cpu,73dfec61dd52d87cfc4c3cfc0cea36ac,73dfec61dd52d87cfc4c3cfc0cea36ac,GzipClassifier,73dfec61dd52d87cfc4c3cfc0cea36ac,73dfec61dd52d87cfc4c3cfc0cea36ac,556.399490923,0.556399490923,1708516431.9387531,1708516771.2898033,cpu,90.561179052,0.090561179052,1708516398.6455224,1708516455.8122876,cpu,1.0,9.992007221626413e-16,ddos/reports/train/73dfec61dd52d87cfc4c3cfc0cea36ac/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,73dfec61dd52d87cfc4c3cfc0cea36ac,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,200.0,Sum,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
6,75f0e36fb8cab20da66ae99486250518,train,deckard.base.experiment.Experiment,75f0e36fb8cab20da66ae99486250518,ddos,cpu,75f0e36fb8cab20da66ae99486250518,75f0e36fb8cab20da66ae99486250518,GzipClassifier,75f0e36fb8cab20da66ae99486250518,75f0e36fb8cab20da66ae99486250518,565.16896489,0.56516896489,1708515666.305765,1708516035.5522285,cpu,22.901692427,0.022901692427,1708514189.0499177,1708514208.0615685,cpu,0.97,1.0361632918473211,ddos/reports/train/75f0e36fb8cab20da66ae99486250518/predictions.json,ddos/reports/train/75f0e36fb8cab20da66ae99486250518/exception.log,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,75f0e36fb8cab20da66ae99486250518,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,20.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
7,95e375cdf8a740f3905e0f3e3322d6e3,train,deckard.base.experiment.Experiment,95e375cdf8a740f3905e0f3e3322d6e3,ddos,cpu,95e375cdf8a740f3905e0f3e3322d6e3,95e375cdf8a740f3905e0f3e3322d6e3,GzipClassifier,95e375cdf8a740f3905e0f3e3322d6e3,95e375cdf8a740f3905e0f3e3322d6e3,548.550963813,0.548550963813,1708516456.353794,1708516790.4074702,cpu,85.059347361,0.085059347361,1708513335.8919735,1708513398.9189878,cpu,1.0,9.992007221626413e-16,ddos/reports/train/95e375cdf8a740f3905e0f3e3322d6e3/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,95e375cdf8a740f3905e0f3e3322d6e3,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,200.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
9,bz2,train,,bz2,,cpu,bz2,bz2,,,bz2,4.722611048,0.04722611048,1708474237.0843418,1708474246.766336,cpu,1.440447465,0.01440447465,1708474246.7664044,1708474248.9638836,cpu,0.93,2.417714347839356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
11,db7e3b655667b2b9e0fdf21e1e054787,train,deckard.base.experiment.Experiment,db7e3b655667b2b9e0fdf21e1e054787,ddos,cpu,db7e3b655667b2b9e0fdf21e1e054787,db7e3b655667b2b9e0fdf21e1e054787,GzipClassifier,db7e3b655667b2b9e0fdf21e1e054787,db7e3b655667b2b9e0fdf21e1e054787,541.927908675,0.541927908675,1708513492.6467764,1708513826.5485244,cpu,221.386279953,0.221386279953,1708513371.1117055,1708513486.071746,cpu,0.5,17.269388197455342,ddos/reports/train/db7e3b655667b2b9e0fdf21e1e054787/predictions.json,ddos/reports/train/db7e3b655667b2b9e0fdf21e1e054787/exception.log,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,db7e3b655667b2b9e0fdf21e1e054787,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,11.0,200.0,KNN,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
13,eee472582995f223c21d4a60c138b8ee,train,deckard.base.experiment.Experiment,eee472582995f223c21d4a60c138b8ee,ddos,cpu,eee472582995f223c21d4a60c138b8ee,eee472582995f223c21d4a60c138b8ee,GzipClassifier,eee472582995f223c21d4a60c138b8ee,eee472582995f223c21d4a60c138b8ee,560.804202617,0.560804202617,1708514917.106772,1708515275.0502176,cpu,34.631420972,0.034631420972,1708514189.5073135,1708514215.2882617,cpu,0.98,0.6907755278982145,ddos/reports/train/eee472582995f223c21d4a60c138b8ee/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,eee472582995f223c21d4a60c138b8ee,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,50.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
14,f1f633e71928381a65b2015ba9040737,train,deckard.base.experiment.Experiment,f1f633e71928381a65b2015ba9040737,ddos,cpu,f1f633e71928381a65b2015ba9040737,f1f633e71928381a65b2015ba9040737,GzipClassifier,f1f633e71928381a65b2015ba9040737,f1f633e71928381a65b2015ba9040737,235.753312254,0.235753312254,1708512636.826589,1708512883.0655806,cpu,38.717922706,0.038717922706,1708512534.115405,1708512576.482277,cpu,0.61,13.470122794015166,ddos/reports/train/f1f633e71928381a65b2015ba9040737/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,f1f633e71928381a65b2015ba9040737,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,Pickle,,11.0,200.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
15,f7335defd2d4cc4e4575bcc6611d5d6d,train,deckard.base.experiment.Experiment,f7335defd2d4cc4e4575bcc6611d5d6d,ddos,cpu,f7335defd2d4cc4e4575bcc6611d5d6d,f7335defd2d4cc4e4575bcc6611d5d6d,GzipClassifier,f7335defd2d4cc4e4575bcc6611d5d6d,f7335defd2d4cc4e4575bcc6611d5d6d,548.640403635,0.548640403635,1708516456.4465194,1708516790.421471,cpu,50.902117468,0.050902117468,1708516398.6963575,1708516432.3334432,cpu,0.62,13.124735030066056,ddos/reports/train/f7335defd2d4cc4e4575bcc6611d5d6d/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.files.FileConfig,ddos,f7335defd2d4cc4e4575bcc6611d5d6d,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,1000.0,deckard.base.model.ModelInitializer,BZ2,,1.0,200.0,SVC,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
