,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified,model.init.C,model.init.class_weight,model.init.fit_intercept,model.init.max_iter,model.init.penalty,model.init.solver,model.init.tol,id,model.init.gamma,model.init.kernel
0,train,deckard.base.experiment.Experiment,120278e6c9633d2ebae165a6da3d12ae,DDoS,cpu,120278e6c9633d2ebae165a6da3d12ae,120278e6c9633d2ebae165a6da3d12ae,k-KNN,120278e6c9633d2ebae165a6da3d12ae,120278e6c9633d2ebae165a6da3d12ae,0.78,7.598706718314994,cpu,1725629510.0340016,1725629507.108452,2.99727127,0.0299727127,cpu,1725629507.108315,1725629503.886439,3.29010299,0.0329010299,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,100,deckard.base.files.FileConfig,data,6a13d6f380f9f52a857535a72d181ee9,.pkl,ddos,120278e6c9633d2ebae165a6da3d12ae,predictions.json,reports/gzip_knn/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,100,Label,brute,11.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,120278e6c9633d2ebae165a6da3d12ae,,
1,train,deckard.base.experiment.Experiment,539c7f9397d337c66af9144bb07a9af6,DDoS,cpu,539c7f9397d337c66af9144bb07a9af6,539c7f9397d337c66af9144bb07a9af6,k-KNN,539c7f9397d337c66af9144bb07a9af6,539c7f9397d337c66af9144bb07a9af6,1.0,9.992007221626413e-16,cpu,1725640904.8917675,1725640893.3324995,12.95434478,0.1295434478,cpu,1725640893.33218,1725640859.3923907,38.02700521,0.1267566840333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,300,deckard.base.files.FileConfig,data,2af9d20903a6cb61ce583ac79a6d41b0,.pkl,ddos,539c7f9397d337c66af9144bb07a9af6,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,300,Label,brute,3.0,1,GZIP,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,539c7f9397d337c66af9144bb07a9af6,,
2,train,deckard.base.experiment.Experiment,4daf8461f32cde413f23109be671a759,DDoS,cpu,4daf8461f32cde413f23109be671a759,4daf8461f32cde413f23109be671a759,k-KNN,4daf8461f32cde413f23109be671a759,4daf8461f32cde413f23109be671a759,0.99,0.3453957599234097,cpu,1725640901.927524,1725640890.10505,13.23457721,0.1323457721,cpu,1725640890.1045918,1725640859.3923976,34.46855927,0.1148951975666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,100,300,deckard.base.files.FileConfig,data,8f2c49a0567c76a8666aebfcf4e9b814,.pkl,ddos,4daf8461f32cde413f23109be671a759,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,100,300,Label,brute,3.0,1,GZIP,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,4daf8461f32cde413f23109be671a759,,
3,train,deckard.base.experiment.Experiment,4ce5a30491a69fc9f2b2c438baefbdf6,DDoS,cpu,4ce5a30491a69fc9f2b2c438baefbdf6,4ce5a30491a69fc9f2b2c438baefbdf6,k-KNN,4ce5a30491a69fc9f2b2c438baefbdf6,4ce5a30491a69fc9f2b2c438baefbdf6,0.98,0.6907915198468184,cpu,1725642377.7611258,1725642368.7477202,9.22483179,0.0922483179,cpu,1725642368.7475028,1725642340.949076,28.30050194,0.0943350064666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,100,300,deckard.base.files.FileConfig,data,8f2c49a0567c76a8666aebfcf4e9b814,.pkl,ddos,4ce5a30491a69fc9f2b2c438baefbdf6,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,100,300,Label,brute,7.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,4ce5a30491a69fc9f2b2c438baefbdf6,,
4,train,deckard.base.experiment.Experiment,4b5d1190ad8fafb7a18272f576982965,DDoS,cpu,4b5d1190ad8fafb7a18272f576982965,4b5d1190ad8fafb7a18272f576982965,k-KNN,4b5d1190ad8fafb7a18272f576982965,4b5d1190ad8fafb7a18272f576982965,0.99,0.3453957599234097,cpu,1725639260.0189762,1725639249.9748504,10.28692122,0.1028692122,cpu,1725639249.974171,1725639219.756462,30.82665103,0.1027555034333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,300,deckard.base.files.FileConfig,data,2af9d20903a6cb61ce583ac79a6d41b0,.pkl,ddos,4b5d1190ad8fafb7a18272f576982965,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,300,Label,brute,1.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,4b5d1190ad8fafb7a18272f576982965,,
5,train,deckard.base.experiment.Experiment,4949e4136120d8d001649fbce2dda2e7,DDoS,cpu,4949e4136120d8d001649fbce2dda2e7,4949e4136120d8d001649fbce2dda2e7,k-KNN,4949e4136120d8d001649fbce2dda2e7,4949e4136120d8d001649fbce2dda2e7,0.99,0.3453957599234097,cpu,1725642705.7191713,1725642692.752002,19.46254274,0.1946254274,cpu,1725642692.7509818,1725642653.958523,57.68737532,0.1922912510666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,300,deckard.base.files.FileConfig,data,2af9d20903a6cb61ce583ac79a6d41b0,.pkl,ddos,4949e4136120d8d001649fbce2dda2e7,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,300,Label,brute,1.0,1,BZ2,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,4949e4136120d8d001649fbce2dda2e7,,
6,train,deckard.base.experiment.Experiment,46474faa7106cd8f97496b2640bdd9af,DDoS,cpu,46474faa7106cd8f97496b2640bdd9af,46474faa7106cd8f97496b2640bdd9af,k-KNN,46474faa7106cd8f97496b2640bdd9af,46474faa7106cd8f97496b2640bdd9af,0.98,0.6907915198468183,cpu,1725642651.413985,1725642641.7169356,9.13997681,0.0913997681,cpu,1725642641.7168422,1725642613.584335,28.64642716,0.0954880905333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,300,deckard.base.files.FileConfig,data,98378d43740aeac3fb79f21036b08e7a,.pkl,ddos,46474faa7106cd8f97496b2640bdd9af,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,300,Label,brute,3.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,46474faa7106cd8f97496b2640bdd9af,,
7,train,deckard.base.experiment.Experiment,429185fc288b838a67b478d4d18c9958,DDoS,cpu,429185fc288b838a67b478d4d18c9958,429185fc288b838a67b478d4d18c9958,k-KNN,429185fc288b838a67b478d4d18c9958,429185fc288b838a67b478d4d18c9958,0.79,7.253167030854149,cpu,1725642420.4050736,1725642412.440868,8.08957773,0.0808957773,cpu,1725642412.4406855,1725642384.487916,25.44370797,0.0848123599,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,100,300,deckard.base.files.FileConfig,data,04d740f6ea17b54bcf45549dbfc2d889,.pkl,ddos,429185fc288b838a67b478d4d18c9958,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,100,300,Label,brute,1.0,1,Hamming,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,429185fc288b838a67b478d4d18c9958,,
8,train,deckard.base.experiment.Experiment,307bfc3402c8600540a690e982831ebe,DDoS,cpu,307bfc3402c8600540a690e982831ebe,307bfc3402c8600540a690e982831ebe,k-KNN,307bfc3402c8600540a690e982831ebe,307bfc3402c8600540a690e982831ebe,0.97,1.0361872797702274,cpu,1725640650.2813437,1725640639.613271,10.97777383,0.1097777383,cpu,1725640639.612336,1725640607.7813911,32.76927135,0.1092309045,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,307bfc3402c8600540a690e982831ebe,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,brute,1.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,307bfc3402c8600540a690e982831ebe,,
9,train,deckard.base.experiment.Experiment,2fa91b7310c5564c5bab830cab163af0,DDoS,cpu,2fa91b7310c5564c5bab830cab163af0,2fa91b7310c5564c5bab830cab163af0,k-KNN,2fa91b7310c5564c5bab830cab163af0,2fa91b7310c5564c5bab830cab163af0,1.0,9.992007221626413e-16,cpu,1725642333.8511035,1725642325.0398245,8.98638876,0.0898638876,cpu,1725642325.0395606,1725642292.7534614,28.69706032,0.0956568677333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,300,deckard.base.files.FileConfig,data,2af9d20903a6cb61ce583ac79a6d41b0,.pkl,ddos,2fa91b7310c5564c5bab830cab163af0,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,300,Label,brute,5.0,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla,,,,,,,,2fa91b7310c5564c5bab830cab163af0,,
