,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
00c7cf666f1a024ca27970b0c492ca0f,train,deckard.base.experiment.Experiment,00c7cf666f1a024ca27970b0c492ca0f,KDD NSL,cpu,00c7cf666f1a024ca27970b0c492ca0f,00c7cf666f1a024ca27970b0c492ca0f,k-KNN,00c7cf666f1a024ca27970b0c492ca0f,00c7cf666f1a024ca27970b0c492ca0f,0.94,2.07234057664967,cpu,1727133112.601498,1727133096.7382572,19.91904314,0.04979760785,cpu,1727133096.7381718,1727133096.4054935,0.39780082,0.00039780082,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,00c7cf666f1a024ca27970b0c492ca0f,predictions.json,reports/condense/knn/bz2/0.1/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/bz2/symmetry_true/modified_true/1000-400-0.npz,3,0.1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
d7b9e7026f0e97711258608ccdccb07b,train,deckard.base.experiment.Experiment,d7b9e7026f0e97711258608ccdccb07b,KDD NSL,cpu,d7b9e7026f0e97711258608ccdccb07b,d7b9e7026f0e97711258608ccdccb07b,k-KNN,d7b9e7026f0e97711258608ccdccb07b,d7b9e7026f0e97711258608ccdccb07b,0.9625,1.2952121107834536,cpu,1727109644.0219674,1727108955.8248394,745.4030637,1.86350765925,cpu,1727108955.8247342,1727108952.507867,3.63054727,0.00363054727,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,d7b9e7026f0e97711258608ccdccb07b,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
c067bd41ef0d5bc64583478e1499863d,train,deckard.base.experiment.Experiment,c067bd41ef0d5bc64583478e1499863d,KDD NSL,cpu,c067bd41ef0d5bc64583478e1499863d,c067bd41ef0d5bc64583478e1499863d,k-KNN,c067bd41ef0d5bc64583478e1499863d,c067bd41ef0d5bc64583478e1499863d,0.98,0.6907815248789412,cpu,1727108074.4640436,1727106941.7394514,1224.62652627,3.061566315675,cpu,1727106941.7393386,1727106936.7728283,5.34653373,0.00534653373,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,c067bd41ef0d5bc64583478e1499863d,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,NearMiss,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
77f328a95b28fe92d866f202a73e2bcf,train,deckard.base.experiment.Experiment,77f328a95b28fe92d866f202a73e2bcf,KDD NSL,cpu,77f328a95b28fe92d866f202a73e2bcf,77f328a95b28fe92d866f202a73e2bcf,k-KNN,77f328a95b28fe92d866f202a73e2bcf,77f328a95b28fe92d866f202a73e2bcf,0.8725,4.40372197626117,cpu,1727110657.0734763,1727109656.7523863,1082.9559383,2.70738984575,cpu,1727109656.752272,1727109653.315782,3.76631097,0.00376631097,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,77f328a95b28fe92d866f202a73e2bcf,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Sum,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
723a612f18593d7f9b4bc7ad1dd1744d,train,deckard.base.experiment.Experiment,723a612f18593d7f9b4bc7ad1dd1744d,KDD NSL,cpu,723a612f18593d7f9b4bc7ad1dd1744d,723a612f18593d7f9b4bc7ad1dd1744d,k-KNN,723a612f18593d7f9b4bc7ad1dd1744d,723a612f18593d7f9b4bc7ad1dd1744d,0.975,0.86347740584707,cpu,1727110793.0114431,1727109668.3125389,1218.95789576,3.0473947394,cpu,1727109668.312405,1727109662.1901426,6.81730572,0.00681730572,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,723a612f18593d7f9b4bc7ad1dd1744d,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,SVC,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
433e856004fca73d4f548bc1a5e00f4a,train,deckard.base.experiment.Experiment,433e856004fca73d4f548bc1a5e00f4a,KDD NSL,cpu,433e856004fca73d4f548bc1a5e00f4a,433e856004fca73d4f548bc1a5e00f4a,k-KNN,433e856004fca73d4f548bc1a5e00f4a,433e856004fca73d4f548bc1a5e00f4a,0.9625,1.2952121107834536,cpu,1727108075.9373455,1727106941.7919412,1230.2636981,3.07565924525,cpu,1727106941.791808,1727106936.619571,5.52578711,0.00552578711,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,433e856004fca73d4f548bc1a5e00f4a,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
0c8058c2d3edd356c1c744149cfdb5a3,train,deckard.base.experiment.Experiment,0c8058c2d3edd356c1c744149cfdb5a3,KDD NSL,cpu,0c8058c2d3edd356c1c744149cfdb5a3,0c8058c2d3edd356c1c744149cfdb5a3,k-KNN,0c8058c2d3edd356c1c744149cfdb5a3,0c8058c2d3edd356c1c744149cfdb5a3,0.98,0.6907815248789412,cpu,1727111646.844667,1727110867.9654312,842.54605627,2.106365140675,cpu,1727110867.9653296,1727110862.9297583,5.47280799,0.00547280799,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,0c8058c2d3edd356c1c744149cfdb5a3,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,KNN,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
0ad7ce8bb935a3045168cd3d87dbdfde,train,deckard.base.experiment.Experiment,0ad7ce8bb935a3045168cd3d87dbdfde,KDD NSL,cpu,0ad7ce8bb935a3045168cd3d87dbdfde,0ad7ce8bb935a3045168cd3d87dbdfde,k-KNN,0ad7ce8bb935a3045168cd3d87dbdfde,0ad7ce8bb935a3045168cd3d87dbdfde,0.98,0.6907815248789412,cpu,1727111619.8020933,1727110869.1128976,808.72150405,2.021803760125,cpu,1727110869.112781,1727110863.257456,6.25666323,0.00625666323,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,0ad7ce8bb935a3045168cd3d87dbdfde,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Hardness,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
004b6783d0956948c2df275019c5558b,train,deckard.base.experiment.Experiment,004b6783d0956948c2df275019c5558b,KDD NSL,cpu,004b6783d0956948c2df275019c5558b,004b6783d0956948c2df275019c5558b,k-KNN,004b6783d0956948c2df275019c5558b,004b6783d0956948c2df275019c5558b,0.9725,0.94981834985362,cpu,1727108889.760638,1727108117.9886105,835.87894899,2.089697372475,cpu,1727108117.9884715,1727108114.0322106,4.34986909,0.00434986909,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,004b6783d0956948c2df275019c5558b,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Random,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
2d4a05dc7893ace1243b2b1846d5b510,train,deckard.base.experiment.Experiment,2d4a05dc7893ace1243b2b1846d5b510,KDD NSL,cpu,2d4a05dc7893ace1243b2b1846d5b510,2d4a05dc7893ace1243b2b1846d5b510,k-KNN,2d4a05dc7893ace1243b2b1846d5b510,2d4a05dc7893ace1243b2b1846d5b510,0.98,0.6907815248789412,cpu,1727098221.3078656,1727097591.1498587,684.2765009,1.71069125225,cpu,1727097591.1497693,1727097587.2617452,4.10478767,0.00410478767,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,2d4a05dc7893ace1243b2b1846d5b510,predictions.json,reports/condense/knn/lzma/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,KNN,kdd_nsl/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.9,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
