,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data._target_,data.drop,data.name,data.target,data.sample._target_,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.data._target_,model.data.drop,model.data.name,model.data.sample._target_,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.distance_matrix,model.init.fit_intercept,model.init.m,model.init.metric,model.init.name,model.init.penalty,model.init.precompute,model.init.sampling_method,model.init.solver,model.init.symmetric,model.init.tol,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
002be51e0d3fa489a2cb7ea7c37c92c0,train,deckard.base.experiment.Experiment,002be51e0d3fa489a2cb7ea7c37c92c0,KDD NSL,cpu,002be51e0d3fa489a2cb7ea7c37c92c0,002be51e0d3fa489a2cb7ea7c37c92c0,k-Logistic,002be51e0d3fa489a2cb7ea7c37c92c0,002be51e0d3fa489a2cb7ea7c37c92c0,0.78,7.598706718314994,cpu,1721585996.6688027,1721585990.4743457,7.05280869,0.0705280869,cpu,1721585990.474311,1721585990.465971,0.00733395,7.33395e-05,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,4,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,002be51e0d3fa489a2cb7ea7c37c92c0,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,4,True,100,100,label,1.0,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/hamming/100-100/4.npz,True,0.7387873859246381,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,Random,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
ace2104f14186f69ecb9f34dc120e4ca,train,deckard.base.experiment.Experiment,ace2104f14186f69ecb9f34dc120e4ca,KDD NSL,cpu,ace2104f14186f69ecb9f34dc120e4ca,ace2104f14186f69ecb9f34dc120e4ca,k-Logistic,ace2104f14186f69ecb9f34dc120e4ca,ace2104f14186f69ecb9f34dc120e4ca,0.9,3.4539336113111823,cpu,1721586096.2501822,1721586088.6429603,8.72930398,0.0872930398,cpu,1721586088.6427665,1721586088.495755,0.15876503,0.0015876503,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,ace2104f14186f69ecb9f34dc120e4ca,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3,True,100,100,label,0.1,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/bz2/100-100/3.npz,True,0.7531371517461267,BZ2,gzip_classifier.GzipLogisticRegressor,none,True,NearMiss,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
ac3c6225a9d5afc8c6c7ef11915d8c86,train,deckard.base.experiment.Experiment,ac3c6225a9d5afc8c6c7ef11915d8c86,KDD NSL,cpu,ac3c6225a9d5afc8c6c7ef11915d8c86,ac3c6225a9d5afc8c6c7ef11915d8c86,k-Logistic,ac3c6225a9d5afc8c6c7ef11915d8c86,ac3c6225a9d5afc8c6c7ef11915d8c86,0.71,10.016477037778856,cpu,1721585392.580623,1721585386.901663,6.56950055,0.0656950055,cpu,1721585386.9016294,1721585386.8901017,0.01033223,0.0001033223,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,4,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,ac3c6225a9d5afc8c6c7ef11915d8c86,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,4,True,100,100,label,0.01,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/hamming/100-100/4.npz,True,0.6491395729315473,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,Medoid,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
ac0af56336cbde2cddde0ef453208f5b,train,deckard.base.experiment.Experiment,ac0af56336cbde2cddde0ef453208f5b,KDD NSL,cpu,ac0af56336cbde2cddde0ef453208f5b,ac0af56336cbde2cddde0ef453208f5b,k-Logistic,ac0af56336cbde2cddde0ef453208f5b,ac0af56336cbde2cddde0ef453208f5b,0.5,17.269787996170436,cpu,1721586656.205431,1721586643.442857,13.53023922,0.1353023922,cpu,1721586643.4427688,1721586642.7745986,0.68968576,0.0068968576,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,4,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,ac0af56336cbde2cddde0ef453208f5b,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,4,True,100,100,label,1.0,deckard.base.model.ModelInitializer,,kdd_nsl/model/lzma/100-100/4.npz,True,0.4758590134067396,LZMA,gzip_classifier.GzipLogisticRegressor,none,True,Hardness,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
abdd0be97db61e944a998fd05c875667,train,deckard.base.experiment.Experiment,abdd0be97db61e944a998fd05c875667,KDD NSL,cpu,abdd0be97db61e944a998fd05c875667,abdd0be97db61e944a998fd05c875667,k-Logistic,abdd0be97db61e944a998fd05c875667,abdd0be97db61e944a998fd05c875667,0.9,3.453877639491069,cpu,1721585680.2015393,1721585674.264714,6.84383491,0.0684383491,cpu,1721585674.26462,1721585674.1940076,0.07773219,0.0007773219,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,abdd0be97db61e944a998fd05c875667,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,0,True,100,100,label,100.0,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/zstd/100-100/0.npz,False,0.3665490820008584,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,True,Sum,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
abdb034a7aa43cef77a283ba6f480714,train,deckard.base.experiment.Experiment,abdb034a7aa43cef77a283ba6f480714,KDD NSL,cpu,abdb034a7aa43cef77a283ba6f480714,abdb034a7aa43cef77a283ba6f480714,k-Logistic,abdb034a7aa43cef77a283ba6f480714,abdb034a7aa43cef77a283ba6f480714,0.95,1.7269708036427425,cpu,1721880027.2077012,1721880021.6704926,6.5579864,0.065579864,cpu,1721880021.67038,1721880021.5706222,0.10155552,0.0010155552,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,2,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,abdb034a7aa43cef77a283ba6f480714,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,2,True,100,100,label,10.0,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/bz2/100-100/2.npz,False,0.3462990359521,BZ2,gzip_classifier.GzipLogisticRegressor,none,True,Random,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
abda3cd4db46508eec51b00570fed974,train,deckard.base.experiment.Experiment,abda3cd4db46508eec51b00570fed974,KDD NSL,cpu,abda3cd4db46508eec51b00570fed974,abda3cd4db46508eec51b00570fed974,k-Logistic,abda3cd4db46508eec51b00570fed974,abda3cd4db46508eec51b00570fed974,0.95,1.726954811694139,cpu,1721585366.394951,1721585359.210176,7.626651,0.07626651,cpu,1721585359.210111,1721585359.0399892,0.18198575,0.0018198575,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,4,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,abda3cd4db46508eec51b00570fed974,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,4,True,100,100,label,1.0,deckard.base.model.ModelInitializer,,kdd_nsl/model/bz2/100-100/4.npz,False,0.8953711741519791,BZ2,gzip_classifier.GzipLogisticRegressor,none,True,KNN,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
abd014285c5f8f696be6b0d925df7632,train,deckard.base.experiment.Experiment,abd014285c5f8f696be6b0d925df7632,KDD NSL,cpu,abd014285c5f8f696be6b0d925df7632,abd014285c5f8f696be6b0d925df7632,k-Logistic,abd014285c5f8f696be6b0d925df7632,abd014285c5f8f696be6b0d925df7632,0.5,17.269787996170436,cpu,1721585801.3378832,1721585795.3701944,6.64949255,0.0664949255,cpu,1721585795.3701108,1721585795.363799,0.00538286,5.38286e-05,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,4,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,abd014285c5f8f696be6b0d925df7632,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,4,True,100,100,label,1.0,deckard.base.model.ModelInitializer,,kdd_nsl/model/ratio/100-100/4.npz,True,0.4424782011853094,Ratio,gzip_classifier.GzipLogisticRegressor,none,True,SVC,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
ab9a2affa0e6bda6854407ede5342316,train,deckard.base.experiment.Experiment,ab9a2affa0e6bda6854407ede5342316,KDD NSL,cpu,ab9a2affa0e6bda6854407ede5342316,ab9a2affa0e6bda6854407ede5342316,k-Logistic,ab9a2affa0e6bda6854407ede5342316,ab9a2affa0e6bda6854407ede5342316,0.5,17.269388197455342,cpu,1721879375.763573,1721879369.9721186,6.80750915,0.0680750915,cpu,1721879369.9719582,1721879369.8871589,0.09218662,0.0009218662,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,ab9a2affa0e6bda6854407ede5342316,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,0,True,100,100,label,100.0,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/bz2/100-100/0.npz,False,0.4191661727549345,BZ2,gzip_classifier.GzipLogisticRegressor,l2,True,Medoid,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
ab90a16ea7455d13765eeb55dc861986,train,deckard.base.experiment.Experiment,ab90a16ea7455d13765eeb55dc861986,KDD NSL,cpu,ab90a16ea7455d13765eeb55dc861986,ab90a16ea7455d13765eeb55dc861986,k-Logistic,ab90a16ea7455d13765eeb55dc861986,ab90a16ea7455d13765eeb55dc861986,0.5,17.269388197455342,cpu,1721880283.6942422,1721880276.722285,7.05916437,0.0705916437,cpu,1721880276.7220552,1721880276.628431,0.09387701,0.0009387701,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,2,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,ab90a16ea7455d13765eeb55dc861986,predictions.json,reports/condense/logistic/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,2,True,100,100,label,0.01,deckard.base.model.ModelInitializer,balanced,kdd_nsl/model/pkl/100-100/2.npz,True,0.9491212394802688,Pickle,gzip_classifier.GzipLogisticRegressor,none,True,NearMiss,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
