,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,Condensing Method,model.init.distance_matrix,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0025d8d5d5b7d17dceb36b9a9fec5b8d,train,deckard.base.experiment.Experiment,0025d8d5d5b7d17dceb36b9a9fec5b8d,KDD NSL,cpu,0025d8d5d5b7d17dceb36b9a9fec5b8d,0025d8d5d5b7d17dceb36b9a9fec5b8d,k-SVC,0025d8d5d5b7d17dceb36b9a9fec5b8d,0025d8d5d5b7d17dceb36b9a9fec5b8d,0.45777568,0.00045777568,1724252811.1453705,1724252811.575968,cpu,34.17389212,0.0854347303,1724252811.5760634,1724252843.9794874,cpu,0.115,30.567216908211048,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,0025d8d5d5b7d17dceb36b9a9fec5b8d,predictions.json,reports/condense/svc/gzip/0.1/symmetry_false/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,215.0298677455209,,NearMiss,kdd_nsl/models/svc/gzip/symmetry_false/1000-400-0.npz,auto,precomputed,0.1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fce0f0da6274f8f4f864094519137cc7,train,deckard.base.experiment.Experiment,fce0f0da6274f8f4f864094519137cc7,KDD NSL,cpu,fce0f0da6274f8f4f864094519137cc7,fce0f0da6274f8f4f864094519137cc7,k-SVC,fce0f0da6274f8f4f864094519137cc7,fce0f0da6274f8f4f864094519137cc7,0.30998963,0.00030998963,1724240920.312307,1724240920.603737,cpu,85.84942116,0.2146235529,1724240920.6038284,1724241001.156083,cpu,0.12,30.394515030262195,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,fce0f0da6274f8f4f864094519137cc7,predictions.json,reports/condense/svc/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,217.21791709777872,,Random,kdd_nsl/models/svc/gzip/symmetry_true/1000-400-0.npz,auto,precomputed,0.6,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fd99a4e951b45bda818bbb2d7cdb179d,train,deckard.base.experiment.Experiment,fd99a4e951b45bda818bbb2d7cdb179d,KDD NSL,cpu,fd99a4e951b45bda818bbb2d7cdb179d,fd99a4e951b45bda818bbb2d7cdb179d,k-SVC,fd99a4e951b45bda818bbb2d7cdb179d,fd99a4e951b45bda818bbb2d7cdb179d,1.01929548,0.00101929548,1724241780.5767424,1724241781.577094,cpu,76.84066671,0.192101666775,1724241781.5771873,1724241853.6183066,cpu,0.11,30.739892799243425,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,fd99a4e951b45bda818bbb2d7cdb179d,predictions.json,reports/condense/svc/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,215.73148999324863,,KNN,kdd_nsl/models/svc/gzip/symmetry_true/1000-400-0.npz,auto,precomputed,0.6,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fefd8c400c4855d288abbf0eeb71c51d,train,deckard.base.experiment.Experiment,fefd8c400c4855d288abbf0eeb71c51d,KDD NSL,cpu,fefd8c400c4855d288abbf0eeb71c51d,fefd8c400c4855d288abbf0eeb71c51d,k-SVC,fefd8c400c4855d288abbf0eeb71c51d,fefd8c400c4855d288abbf0eeb71c51d,0.44293739,0.00044293739,1724241093.586007,1724241094.0060835,cpu,85.96882557,0.214922063925,1724241094.0061684,1724241174.5992825,cpu,0.1075,30.826239740230704,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,fefd8c400c4855d288abbf0eeb71c51d,predictions.json,reports/condense/svc/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,213.15431939924625,,NearMiss,kdd_nsl/models/svc/gzip/symmetry_true/1000-400-0.npz,auto,precomputed,0.6,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
ffc2aa9d4bbe813533220f57abb74a61,train,deckard.base.experiment.Experiment,ffc2aa9d4bbe813533220f57abb74a61,KDD NSL,cpu,ffc2aa9d4bbe813533220f57abb74a61,ffc2aa9d4bbe813533220f57abb74a61,k-SVC,ffc2aa9d4bbe813533220f57abb74a61,ffc2aa9d4bbe813533220f57abb74a61,0.34351768,0.00034351768,1724241257.2761276,1724241257.599655,cpu,86.4325227,0.21608130675,1724241257.599778,1724241338.543061,cpu,0.1175,30.480855974268746,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,ffc2aa9d4bbe813533220f57abb74a61,predictions.json,reports/condense/svc/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,227.9535184595088,,Medoid,kdd_nsl/models/svc/gzip/symmetry_true/1000-400-0.npz,auto,precomputed,0.6,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
00298278df297d65ceb04196482332b5,train,deckard.base.experiment.Experiment,00298278df297d65ceb04196482332b5,KDD NSL,cpu,00298278df297d65ceb04196482332b5,00298278df297d65ceb04196482332b5,k-SVC,00298278df297d65ceb04196482332b5,00298278df297d65ceb04196482332b5,0.32209303,0.00032209303,1724239403.4567833,1724239403.7598405,cpu,95.70182243,0.239254556075,1724239403.759913,1724239493.4371734,cpu,0.12,30.39451902824935,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,00298278df297d65ceb04196482332b5,predictions.json,reports/condense/svc/gzip/0.7/symmetry_false/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,205.604961577464,,Sum,kdd_nsl/models/svc/gzip/symmetry_false/1000-400-0.npz,auto,precomputed,0.7,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
00c5528087994c77f6bebd957ca8991f,train,deckard.base.experiment.Experiment,00c5528087994c77f6bebd957ca8991f,KDD NSL,cpu,00c5528087994c77f6bebd957ca8991f,00c5528087994c77f6bebd957ca8991f,k-SVC,00c5528087994c77f6bebd957ca8991f,00c5528087994c77f6bebd957ca8991f,0.29640053,0.00029640053,1724239596.6320624,1724239596.9072945,cpu,96.1607797,0.24040194925,1724239596.9074335,1724239686.913204,cpu,0.1175,30.4808679682302,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,00c5528087994c77f6bebd957ca8991f,predictions.json,reports/condense/svc/gzip/0.7/symmetry_false/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,53.14941143909675,,Random,kdd_nsl/models/svc/gzip/symmetry_false/1000-400-0.npz,auto,precomputed,0.7,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fc339d17cc5914e3995177fd0f246e1c,train,deckard.base.experiment.Experiment,fc339d17cc5914e3995177fd0f246e1c,KDD NSL,cpu,fc339d17cc5914e3995177fd0f246e1c,fc339d17cc5914e3995177fd0f246e1c,k-SVC,fc339d17cc5914e3995177fd0f246e1c,fc339d17cc5914e3995177fd0f246e1c,3.2265837,0.0032265837,1724241431.0719695,1724241434.270672,cpu,86.52351174,0.21630877935,1724241434.270765,1724241515.3023036,cpu,0.1075,30.826239740230704,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,fc339d17cc5914e3995177fd0f246e1c,predictions.json,reports/condense/svc/gzip/0.6/symmetry_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,996.3082149985484,,Hardness,kdd_nsl/models/svc/gzip/symmetry_true/1000-400-0.npz,auto,precomputed,0.6,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
01e476442664041e3df4cf9e7883d326,train,deckard.base.experiment.Experiment,01e476442664041e3df4cf9e7883d326,KDD NSL,cpu,01e476442664041e3df4cf9e7883d326,01e476442664041e3df4cf9e7883d326,k-SVC,01e476442664041e3df4cf9e7883d326,01e476442664041e3df4cf9e7883d326,0.9005427,0.0009005427,1724239223.152125,1724239224.0360036,cpu,76.32562977,0.190814074425,1724239224.0361197,1724239295.7082264,cpu,0.1175,30.4808679682302,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,01e476442664041e3df4cf9e7883d326,predictions.json,reports/condense/svc/gzip/0.7/symmetry_false/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,194.7934987914641,,KNN,kdd_nsl/models/svc/gzip/symmetry_false/1000-400-0.npz,auto,precomputed,0.7,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
08f2b7fdf9a01700a9b9f8e8c323c352,train,deckard.base.experiment.Experiment,08f2b7fdf9a01700a9b9f8e8c323c352,KDD NSL,cpu,08f2b7fdf9a01700a9b9f8e8c323c352,08f2b7fdf9a01700a9b9f8e8c323c352,k-SVC,08f2b7fdf9a01700a9b9f8e8c323c352,08f2b7fdf9a01700a9b9f8e8c323c352,0.9835269,0.0009835269,1724240542.4734514,1724240543.4322383,cpu,76.22790977,0.190569774425,1724240543.432324,1724240614.9726915,cpu,0.1175,30.4808679682302,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,08f2b7fdf9a01700a9b9f8e8c323c352,predictions.json,reports/condense/svc/gzip/0.7/symmetry_false/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,10.66659378566454,,KNN,kdd_nsl/models/svc/gzip/symmetry_false/1000-400-0.npz,auto,precomputed,0.7,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
