,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
019f327e7f28ee7e1dd76c1aa256d71b,train,deckard.base.experiment.Experiment,019f327e7f28ee7e1dd76c1aa256d71b,KDD NSL,cpu,019f327e7f28ee7e1dd76c1aa256d71b,019f327e7f28ee7e1dd76c1aa256d71b,k-Logistic,019f327e7f28ee7e1dd76c1aa256d71b,019f327e7f28ee7e1dd76c1aa256d71b,0.97,1.036179283795925,cpu,1725633429.6040945,1725633427.458736,2.29810052,0.0229810052,cpu,1725633427.4586604,1725633425.144264,2.46805624,0.0246805624,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,100,deckard.base.files.FileConfig,data,0c056c8becabd33e7d45e15475c03694,.pkl,kdd_nsl,019f327e7f28ee7e1dd76c1aa256d71b,predictions.json,reports/gzip_logistic/100/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,100,label,223.0804657543204,,False,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Asymmetric,0.0001841698359452,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4b364690909b09b6d27ed4bfbdb4a3d0,train,deckard.base.experiment.Experiment,4b364690909b09b6d27ed4bfbdb4a3d0,KDD NSL,cpu,4b364690909b09b6d27ed4bfbdb4a3d0,4b364690909b09b6d27ed4bfbdb4a3d0,k-Logistic,4b364690909b09b6d27ed4bfbdb4a3d0,4b364690909b09b6d27ed4bfbdb4a3d0,0.95,1.726938819745535,cpu,1725654567.3988523,1725654562.5197031,4.98275845,0.0498275845,cpu,1725654562.5196111,1725654553.8781712,8.86936576,0.0295645525333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,4b364690909b09b6d27ed4bfbdb4a3d0,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,3.155462156463007,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.2064375333600427e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4d4466d668f9cddcbf6e9be9b2947b6e,train,deckard.base.experiment.Experiment,4d4466d668f9cddcbf6e9be9b2947b6e,KDD NSL,cpu,4d4466d668f9cddcbf6e9be9b2947b6e,4d4466d668f9cddcbf6e9be9b2947b6e,k-Logistic,4d4466d668f9cddcbf6e9be9b2947b6e,4d4466d668f9cddcbf6e9be9b2947b6e,0.95,1.726938819745535,cpu,1725654501.4014137,1725654496.553017,4.92430861,0.0492430861,cpu,1725654496.552936,1725654488.221563,8.48186622,0.0282728874,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,4d4466d668f9cddcbf6e9be9b2947b6e,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,0.7082146219726237,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.3412809047383915e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
50a8ec596ee72f0db0ef6c380cb88f01,train,deckard.base.experiment.Experiment,50a8ec596ee72f0db0ef6c380cb88f01,KDD NSL,cpu,50a8ec596ee72f0db0ef6c380cb88f01,50a8ec596ee72f0db0ef6c380cb88f01,k-Logistic,50a8ec596ee72f0db0ef6c380cb88f01,50a8ec596ee72f0db0ef6c380cb88f01,0.95,1.726938819745535,cpu,1725654835.497873,1725654830.6983888,4.87994675,0.0487994675,cpu,1725654830.698311,1725654822.3453834,8.50950454,0.0283650151333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,50a8ec596ee72f0db0ef6c380cb88f01,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,1.6858168487096905,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.1366136527083853e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5686b06e7990477c5c84cbf77c02727b,train,deckard.base.experiment.Experiment,5686b06e7990477c5c84cbf77c02727b,KDD NSL,cpu,5686b06e7990477c5c84cbf77c02727b,5686b06e7990477c5c84cbf77c02727b,k-Logistic,5686b06e7990477c5c84cbf77c02727b,5686b06e7990477c5c84cbf77c02727b,0.5,17.269787996170436,cpu,1725654819.2938502,1725654814.472245,4.89261925,0.0489261925,cpu,1725654814.472168,1725654805.9327028,8.72321362,0.0290773787333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,3,True,100,300,deckard.base.files.FileConfig,data,778b420750f68be181a16bdb13f1ff11,.pkl,kdd_nsl,5686b06e7990477c5c84cbf77c02727b,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,3,True,100,300,label,0.8282237334656942,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.130740144472374e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
572ea62d533cf45566e4cc1f61c11487,train,deckard.base.experiment.Experiment,572ea62d533cf45566e4cc1f61c11487,KDD NSL,cpu,572ea62d533cf45566e4cc1f61c11487,572ea62d533cf45566e4cc1f61c11487,k-Logistic,572ea62d533cf45566e4cc1f61c11487,572ea62d533cf45566e4cc1f61c11487,0.95,1.726938819745535,cpu,1725654757.1881957,1725654752.0588286,5.29539276,0.0529539276,cpu,1725654752.0587456,1725654743.7829978,8.41673318,0.0280557772666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,572ea62d533cf45566e4cc1f61c11487,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,0.557561249402635,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.73194437786824e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5796a6caa04ac0a0de8f79ea799ddabd,train,deckard.base.experiment.Experiment,5796a6caa04ac0a0de8f79ea799ddabd,KDD NSL,cpu,5796a6caa04ac0a0de8f79ea799ddabd,5796a6caa04ac0a0de8f79ea799ddabd,k-Logistic,5796a6caa04ac0a0de8f79ea799ddabd,5796a6caa04ac0a0de8f79ea799ddabd,0.95,1.726938819745535,cpu,1725654522.8694212,1725654518.0654771,4.86368238,0.0486368238,cpu,1725654518.0653994,1725654509.8437052,8.34089948,0.0278029982666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,5796a6caa04ac0a0de8f79ea799ddabd,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,1.069603406674608,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.354444222527797e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
58f3c050e05bbcd0478fcbacfd482c01,train,deckard.base.experiment.Experiment,58f3c050e05bbcd0478fcbacfd482c01,KDD NSL,cpu,58f3c050e05bbcd0478fcbacfd482c01,58f3c050e05bbcd0478fcbacfd482c01,k-Logistic,58f3c050e05bbcd0478fcbacfd482c01,58f3c050e05bbcd0478fcbacfd482c01,0.95,1.726938819745535,cpu,1725654480.9872918,1725654476.0364125,5.05532545,0.0505532545,cpu,1725654476.0363224,1725654467.5226026,8.70986564,0.0290328854666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,58f3c050e05bbcd0478fcbacfd482c01,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,1.108742031433665,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.0206751828342025e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
59244c6e06de869659898a06a5652b49,train,deckard.base.experiment.Experiment,59244c6e06de869659898a06a5652b49,KDD NSL,cpu,59244c6e06de869659898a06a5652b49,59244c6e06de869659898a06a5652b49,k-Logistic,59244c6e06de869659898a06a5652b49,59244c6e06de869659898a06a5652b49,0.95,1.726938819745535,cpu,1725654757.079684,1725654752.254742,4.90926966,0.0490926966,cpu,1725654752.254651,1725654743.7833157,8.65963748,0.0288654582666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,59244c6e06de869659898a06a5652b49,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,997.0562243366468,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.7337025373522033e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
592991f3f2f96cc3fc2228c57cb1283b,train,deckard.base.experiment.Experiment,592991f3f2f96cc3fc2228c57cb1283b,KDD NSL,cpu,592991f3f2f96cc3fc2228c57cb1283b,592991f3f2f96cc3fc2228c57cb1283b,k-Logistic,592991f3f2f96cc3fc2228c57cb1283b,592991f3f2f96cc3fc2228c57cb1283b,0.95,1.726938819745535,cpu,1725654852.0546029,1725654847.178229,4.95112172,0.0495112172,cpu,1725654847.1781526,1725654838.587798,8.77490442,0.0292496814,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,300,deckard.base.files.FileConfig,data,b2f1d38375d55b87c546a96d17e6bbf4,.pkl,kdd_nsl,592991f3f2f96cc3fc2228c57cb1283b,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,300,label,3.59793395678704,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.440141751050858e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
