,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
1bb953cc640258edfa81b7070edf0808,train,deckard.base.experiment.Experiment,1bb953cc640258edfa81b7070edf0808,KDD NSL,cpu,1bb953cc640258edfa81b7070edf0808,1bb953cc640258edfa81b7070edf0808,k-KNN,1bb953cc640258edfa81b7070edf0808,1bb953cc640258edfa81b7070edf0808,0.9475,1.813315745636444,cpu,1725763295.5425396,1725763275.8312733,20.09983907,0.050249597675,cpu,1725763275.8310192,1725763273.3176138,2.55130206,0.0255130206,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,100,deckard.base.files.FileConfig,data,0b7107dee215b7089e95174372ff37d2,.pkl,kdd_nsl,1bb953cc640258edfa81b7070edf0808,predictions.json,reports/modified//gzip_knn/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,100,label,brute,5,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
c261e695c7d0760d5c7f9cfbf6a79378,train,deckard.base.experiment.Experiment,c261e695c7d0760d5c7f9cfbf6a79378,KDD NSL,cpu,c261e695c7d0760d5c7f9cfbf6a79378,c261e695c7d0760d5c7f9cfbf6a79378,k-KNN,c261e695c7d0760d5c7f9cfbf6a79378,c261e695c7d0760d5c7f9cfbf6a79378,0.91,3.1085018695034154,cpu,1725755909.8025749,1725755904.500299,5.91645559,0.014791138975,cpu,1725755904.5001972,1725755904.2570894,0.26063132,0.013031566,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,c261e695c7d0760d5c7f9cfbf6a79378,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,5,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
c2ac5af0e67e12a815cb8ed99a029b23,train,deckard.base.experiment.Experiment,c2ac5af0e67e12a815cb8ed99a029b23,KDD NSL,cpu,c2ac5af0e67e12a815cb8ed99a029b23,c2ac5af0e67e12a815cb8ed99a029b23,k-KNN,c2ac5af0e67e12a815cb8ed99a029b23,c2ac5af0e67e12a815cb8ed99a029b23,0.8825,4.058348205267091,cpu,1725756099.0506024,1725756083.9364796,16.91783108,0.0422945777,cpu,1725756083.936226,1725756083.3532393,0.61280446,0.030640223,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,400,20,deckard.base.files.FileConfig,data,7b4f63311231ea52cc55858dddd898ef,.pkl,kdd_nsl,c2ac5af0e67e12a815cb8ed99a029b23,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,400,20,label,brute,7,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
c5b5ab542ca3468dfa0efefd1654f5d2,train,deckard.base.experiment.Experiment,c5b5ab542ca3468dfa0efefd1654f5d2,KDD NSL,cpu,c5b5ab542ca3468dfa0efefd1654f5d2,c5b5ab542ca3468dfa0efefd1654f5d2,k-KNN,c5b5ab542ca3468dfa0efefd1654f5d2,c5b5ab542ca3468dfa0efefd1654f5d2,0.215,27.11328729488702,cpu,1725756004.9318824,1725756000.3851218,4.65787093,0.011644677325,cpu,1725756000.3849888,1725756000.1795323,0.20043903,0.0100219515,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,c5b5ab542ca3468dfa0efefd1654f5d2,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,1,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
c842014d6982a0fb949a2f2c68d1f740,train,deckard.base.experiment.Experiment,c842014d6982a0fb949a2f2c68d1f740,KDD NSL,cpu,c842014d6982a0fb949a2f2c68d1f740,c842014d6982a0fb949a2f2c68d1f740,k-KNN,c842014d6982a0fb949a2f2c68d1f740,c842014d6982a0fb949a2f2c68d1f740,0.9025,3.3675526874331227,cpu,1725756066.7357469,1725756061.8269975,5.16318207,0.012907955175,cpu,1725756061.8266633,1725756061.565719,0.26779018,0.013389509,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,400,20,deckard.base.files.FileConfig,data,2b463270d0ec062ba7274bd5da9d1df2,.pkl,kdd_nsl,c842014d6982a0fb949a2f2c68d1f740,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,400,20,label,brute,7,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ce902b94445bdc3fa69a14c15479ab56,train,deckard.base.experiment.Experiment,ce902b94445bdc3fa69a14c15479ab56,KDD NSL,cpu,ce902b94445bdc3fa69a14c15479ab56,ce902b94445bdc3fa69a14c15479ab56,k-KNN,ce902b94445bdc3fa69a14c15479ab56,ce902b94445bdc3fa69a14c15479ab56,0.905,3.281249724304507,cpu,1725755874.7694032,1725755870.51747,4.35025988,0.0108756497,cpu,1725755870.51718,1725755870.3516564,0.16957134,0.008478567,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,400,20,deckard.base.files.FileConfig,data,2b463270d0ec062ba7274bd5da9d1df2,.pkl,kdd_nsl,ce902b94445bdc3fa69a14c15479ab56,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,400,20,label,brute,1,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d0af560c0cb5d14096c0c0ef7f69d615,train,deckard.base.experiment.Experiment,d0af560c0cb5d14096c0c0ef7f69d615,KDD NSL,cpu,d0af560c0cb5d14096c0c0ef7f69d615,d0af560c0cb5d14096c0c0ef7f69d615,k-KNN,d0af560c0cb5d14096c0c0ef7f69d615,d0af560c0cb5d14096c0c0ef7f69d615,0.2225,26.854260464880216,cpu,1725755963.8992708,1725755954.177069,9.92994293,0.024824857325,cpu,1725755954.1767595,1725755953.8401182,0.33626862,0.016813431,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,d0af560c0cb5d14096c0c0ef7f69d615,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,1,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d1833ae906d3127fc5d7dcf26749e4d9,train,deckard.base.experiment.Experiment,d1833ae906d3127fc5d7dcf26749e4d9,KDD NSL,cpu,d1833ae906d3127fc5d7dcf26749e4d9,d1833ae906d3127fc5d7dcf26749e4d9,k-KNN,d1833ae906d3127fc5d7dcf26749e4d9,d1833ae906d3127fc5d7dcf26749e4d9,0.865,4.662812774062387,cpu,1725755874.6764789,1725755870.3684046,4.39559149,0.010988978725,cpu,1725755870.3682766,1725755870.2138746,0.15857895,0.0079289475,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,400,20,deckard.base.files.FileConfig,data,7b4f63311231ea52cc55858dddd898ef,.pkl,kdd_nsl,d1833ae906d3127fc5d7dcf26749e4d9,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,400,20,label,brute,5,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d38196ebb3cb40cb3b359e99180dc0ca,train,deckard.base.experiment.Experiment,d38196ebb3cb40cb3b359e99180dc0ca,KDD NSL,cpu,d38196ebb3cb40cb3b359e99180dc0ca,d38196ebb3cb40cb3b359e99180dc0ca,k-KNN,d38196ebb3cb40cb3b359e99180dc0ca,d38196ebb3cb40cb3b359e99180dc0ca,0.4425,19.25560971838534,cpu,1725756126.6804583,1725756121.8506768,4.98600058,0.01246500145,cpu,1725756121.8505342,1725756121.6372542,0.20843863,0.0104219315,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,20,deckard.base.files.FileConfig,data,66519e77c18f7e707d58c982347db81d,.pkl,kdd_nsl,d38196ebb3cb40cb3b359e99180dc0ca,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,20,label,brute,1,1,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d3d00fabb240067baac66dcc8f1ac0f3,train,deckard.base.experiment.Experiment,d3d00fabb240067baac66dcc8f1ac0f3,KDD NSL,cpu,d3d00fabb240067baac66dcc8f1ac0f3,d3d00fabb240067baac66dcc8f1ac0f3,k-KNN,d3d00fabb240067baac66dcc8f1ac0f3,d3d00fabb240067baac66dcc8f1ac0f3,0.9325,2.331377401624349,cpu,1725756153.7565596,1725756149.5393622,4.4009867,0.01100246675,cpu,1725756149.53924,1725756149.3138766,0.23969126,0.011984563,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,d3d00fabb240067baac66dcc8f1ac0f3,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,5,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
