,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
0726e41dd23cd67f6906a4bbb23df92e,train,deckard.base.experiment.Experiment,0726e41dd23cd67f6906a4bbb23df92e,KDD NSL,cpu,0726e41dd23cd67f6906a4bbb23df92e,0726e41dd23cd67f6906a4bbb23df92e,k-Logistic,0726e41dd23cd67f6906a4bbb23df92e,0726e41dd23cd67f6906a4bbb23df92e,0.955,1.554266926700312,cpu,1725766454.340269,1725766270.8411062,194.63102479,0.486577561975,cpu,1725766270.8409307,1725766246.548782,25.94521668,0.2594521668,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,0726e41dd23cd67f6906a4bbb23df92e,predictions.json,reports/modified//gzip_logistic/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,24.8472371686246,balanced,False,1,1000,LZMA,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0002685918382048,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c2300039c04c27d0295a17ae1ceeff00,train,deckard.base.experiment.Experiment,c2300039c04c27d0295a17ae1ceeff00,KDD NSL,cpu,c2300039c04c27d0295a17ae1ceeff00,c2300039c04c27d0295a17ae1ceeff00,k-Logistic,c2300039c04c27d0295a17ae1ceeff00,c2300039c04c27d0295a17ae1ceeff00,0.88,4.144669159337886,cpu,1725795419.498565,1725795278.0537755,145.38714174,0.36346785435,cpu,1725795278.053127,1725795204.0221057,75.50993853,0.2516997951,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,c2300039c04c27d0295a17ae1ceeff00,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,320.4945513650303,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001172444373624,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c0ebd736e4a7fc1103522780e4f57097,train,deckard.base.experiment.Experiment,c0ebd736e4a7fc1103522780e4f57097,KDD NSL,cpu,c0ebd736e4a7fc1103522780e4f57097,c0ebd736e4a7fc1103522780e4f57097,k-Logistic,c0ebd736e4a7fc1103522780e4f57097,c0ebd736e4a7fc1103522780e4f57097,0.9675,1.122526224783202,cpu,1725793478.2377462,1725793405.8821976,76.25858038,0.19064645095,cpu,1725793405.8814712,1725793377.559108,29.75968496,0.0991989498666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,300,deckard.base.files.FileConfig,data,732aa8b36e70c6ba892fcbbf70092739,.pkl,kdd_nsl,c0ebd736e4a7fc1103522780e4f57097,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,300,label,20.87734628990275,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001649245465565,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c0cf9c74baa350e1df52bbe7f64c0004,train,deckard.base.experiment.Experiment,c0cf9c74baa350e1df52bbe7f64c0004,KDD NSL,cpu,c0cf9c74baa350e1df52bbe7f64c0004,c0cf9c74baa350e1df52bbe7f64c0004,k-Logistic,c0cf9c74baa350e1df52bbe7f64c0004,c0cf9c74baa350e1df52bbe7f64c0004,0.9725,0.9498243468343468,cpu,1725795201.088696,1725795129.4012003,75.66570625,0.189164265625,cpu,1725795129.4011126,1725795099.6552258,31.37667014,0.1045889004666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,c0cf9c74baa350e1df52bbe7f64c0004,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,426.1916480944873,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.755781213993126e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c0c4fa08a0f98a1c3e4c413636886b22,train,deckard.base.experiment.Experiment,c0c4fa08a0f98a1c3e4c413636886b22,KDD NSL,cpu,c0c4fa08a0f98a1c3e4c413636886b22,c0c4fa08a0f98a1c3e4c413636886b22,k-Logistic,c0c4fa08a0f98a1c3e4c413636886b22,c0c4fa08a0f98a1c3e4c413636886b22,0.855,5.008234520902277,cpu,1725795518.184583,1725795451.7497838,67.77396047,0.169434901175,cpu,1725795451.7497082,1725795424.5898125,27.72083327,0.0924027775666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,c0c4fa08a0f98a1c3e4c413636886b22,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,205.4396436213021,balanced,False,1,1000,Hamming,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.323937337997083e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c0183e7685773f1a0d7970c0ea3612e0,train,deckard.base.experiment.Experiment,c0183e7685773f1a0d7970c0ea3612e0,KDD NSL,cpu,c0183e7685773f1a0d7970c0ea3612e0,c0183e7685773f1a0d7970c0ea3612e0,k-Logistic,c0183e7685773f1a0d7970c0ea3612e0,c0183e7685773f1a0d7970c0ea3612e0,0.9725,0.9498243468343468,cpu,1725795094.1769142,1725795023.8010917,74.17467124,0.1854366781,cpu,1725795023.8010018,1725794994.3524868,31.02307046,0.1034102348666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,c0183e7685773f1a0d7970c0ea3612e0,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,700.3605055282051,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,9.25504041221584e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bf5c53e19108831170858c865367362c,train,deckard.base.experiment.Experiment,bf5c53e19108831170858c865367362c,KDD NSL,cpu,bf5c53e19108831170858c865367362c,bf5c53e19108831170858c865367362c,k-Logistic,bf5c53e19108831170858c865367362c,bf5c53e19108831170858c865367362c,0.9725,0.9498243468343468,cpu,1725794776.043009,1725794703.9560275,75.99755329,0.189993883225,cpu,1725794703.9559429,1725794674.7220736,30.86523502,0.1028841167333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,bf5c53e19108831170858c865367362c,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,594.490441508104,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.000125664448989,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b8bc604a7452831ff165e447bdf1fe34,train,deckard.base.experiment.Experiment,b8bc604a7452831ff165e447bdf1fe34,KDD NSL,cpu,b8bc604a7452831ff165e447bdf1fe34,b8bc604a7452831ff165e447bdf1fe34,k-Logistic,b8bc604a7452831ff165e447bdf1fe34,b8bc604a7452831ff165e447bdf1fe34,0.9725,0.9498243468343468,cpu,1725795199.029639,1725795128.9245863,73.96358238,0.18490895595,cpu,1725795128.9245086,1725795099.6510077,30.83607009,0.1027869003,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,b8bc604a7452831ff165e447bdf1fe34,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,716.6621054556078,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.334541621336913e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b7a7551e868c07efa3d7abe6665c37ce,train,deckard.base.experiment.Experiment,b7a7551e868c07efa3d7abe6665c37ce,KDD NSL,cpu,b7a7551e868c07efa3d7abe6665c37ce,b7a7551e868c07efa3d7abe6665c37ce,k-Logistic,b7a7551e868c07efa3d7abe6665c37ce,b7a7551e868c07efa3d7abe6665c37ce,0.9725,0.9498243468343468,cpu,1725795515.5010748,1725795451.0475433,67.83010801,0.169575270025,cpu,1725795451.0474348,1725795424.6082375,27.87442246,0.0929147415333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,300,deckard.base.files.FileConfig,data,947188ea299e1cb88d7c02a697244de5,.pkl,kdd_nsl,b7a7551e868c07efa3d7abe6665c37ce,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,300,label,238.3055094640815,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,3.348315079233443e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b33b40b7514b3230f3e32297cb5fe07e,train,deckard.base.experiment.Experiment,b33b40b7514b3230f3e32297cb5fe07e,KDD NSL,cpu,b33b40b7514b3230f3e32297cb5fe07e,b33b40b7514b3230f3e32297cb5fe07e,k-Logistic,b33b40b7514b3230f3e32297cb5fe07e,b33b40b7514b3230f3e32297cb5fe07e,0.9675,1.122526224783202,cpu,1725793803.3413825,1725793731.663457,75.60480146,0.18901200365,cpu,1725793731.663355,1725793703.5600374,29.53002164,0.0984334054666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,300,deckard.base.files.FileConfig,data,732aa8b36e70c6ba892fcbbf70092739,.pkl,kdd_nsl,b33b40b7514b3230f3e32297cb5fe07e,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,300,label,19.37365095286856,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001890926091262,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
