,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
0079e4a06f15cc1f56a7ae6d2470cd64,train,deckard.base.experiment.Experiment,0079e4a06f15cc1f56a7ae6d2470cd64,KDD NSL,cpu,0079e4a06f15cc1f56a7ae6d2470cd64,0079e4a06f15cc1f56a7ae6d2470cd64,k-SVC,0079e4a06f15cc1f56a7ae6d2470cd64,0079e4a06f15cc1f56a7ae6d2470cd64,0.945,1.8996586886365696,cpu,1725766715.9874792,1725766692.0584302,25.07827076,0.0626956769,cpu,1725766692.058294,1725766689.045172,3.13509415,0.0313509415,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,0079e4a06f15cc1f56a7ae6d2470cd64,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,56.08826889136115,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b92b84dac2475e4732b2b32176b52c43,train,deckard.base.experiment.Experiment,b92b84dac2475e4732b2b32176b52c43,KDD NSL,cpu,b92b84dac2475e4732b2b32176b52c43,b92b84dac2475e4732b2b32176b52c43,k-SVC,b92b84dac2475e4732b2b32176b52c43,b92b84dac2475e4732b2b32176b52c43,0.9775,0.7771364618405198,cpu,1725796773.544615,1725796484.7642574,311.42912407,0.778572810175,cpu,1725796484.7634375,1725796370.9618545,121.51388668,0.4050462889333333,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b92b84dac2475e4732b2b32176b52c43,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,987.4735696319624,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b771f2935c27270ae58648245093cd16,train,deckard.base.experiment.Experiment,b771f2935c27270ae58648245093cd16,KDD NSL,cpu,b771f2935c27270ae58648245093cd16,b771f2935c27270ae58648245093cd16,k-SVC,b771f2935c27270ae58648245093cd16,b771f2935c27270ae58648245093cd16,0.9775,0.7771364618405198,cpu,1725802157.7344806,1725801661.4861991,525.51673001,1.313791825025,cpu,1725801661.485653,1725801474.365965,198.23934686,0.6607978228666667,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b771f2935c27270ae58648245093cd16,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,994.5481465215548,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b6e7e02e1cbbdd4f04d9e9fa4947c9ad,train,deckard.base.experiment.Experiment,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,KDD NSL,cpu,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,k-SVC,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,0.9725,0.949834341802224,cpu,1725797322.3876529,1725796933.7095602,415.24525796,1.0381131449,cpu,1725796933.7086823,1725796787.0936625,155.64225734,0.5188075244666667,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b6e7e02e1cbbdd4f04d9e9fa4947c9ad,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,495.59722815466375,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b4d0a983f3ad02348abef850830aad60,train,deckard.base.experiment.Experiment,b4d0a983f3ad02348abef850830aad60,KDD NSL,cpu,b4d0a983f3ad02348abef850830aad60,b4d0a983f3ad02348abef850830aad60,k-SVC,b4d0a983f3ad02348abef850830aad60,b4d0a983f3ad02348abef850830aad60,0.9775,0.7771364618405198,cpu,1725800781.233155,1725800283.4209805,528.03878266,1.32009695665,cpu,1725800283.4203424,1725800094.3730426,200.26227625,0.6675409208333334,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b4d0a983f3ad02348abef850830aad60,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,927.7034750985712,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b31c2de9e9c1d5e9c28505261b06abdc,train,deckard.base.experiment.Experiment,b31c2de9e9c1d5e9c28505261b06abdc,KDD NSL,cpu,b31c2de9e9c1d5e9c28505261b06abdc,b31c2de9e9c1d5e9c28505261b06abdc,k-SVC,b31c2de9e9c1d5e9c28505261b06abdc,b31c2de9e9c1d5e9c28505261b06abdc,0.9725,0.949834341802224,cpu,1725802844.8225238,1725802352.470059,521.69760304,1.3042440076,cpu,1725802352.469335,1725802163.4163475,199.88017005,0.6662672335,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b31c2de9e9c1d5e9c28505261b06abdc,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,567.1928879413869,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b2563534ea58c2b9c8b0b67b28aab05a,train,deckard.base.experiment.Experiment,b2563534ea58c2b9c8b0b67b28aab05a,KDD NSL,cpu,b2563534ea58c2b9c8b0b67b28aab05a,b2563534ea58c2b9c8b0b67b28aab05a,k-SVC,b2563534ea58c2b9c8b0b67b28aab05a,b2563534ea58c2b9c8b0b67b28aab05a,0.9775,0.7771364618405198,cpu,1725801469.8539371,1725800975.7957218,523.04360061,1.307609001525,cpu,1725800975.7949936,1725800785.719416,201.45720701,0.6715240233666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,b2563534ea58c2b9c8b0b67b28aab05a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,990.5635249685594,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
afd9cfea8186efa5d60a190e96b48518,train,deckard.base.experiment.Experiment,afd9cfea8186efa5d60a190e96b48518,KDD NSL,cpu,afd9cfea8186efa5d60a190e96b48518,afd9cfea8186efa5d60a190e96b48518,k-SVC,afd9cfea8186efa5d60a190e96b48518,afd9cfea8186efa5d60a190e96b48518,0.9775,0.7771364618405198,cpu,1725800766.8544242,1725800274.6316943,522.11988943,1.305299723575,cpu,1725800274.6303463,1725800092.4204977,193.05046397,0.6435015465666667,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,afd9cfea8186efa5d60a190e96b48518,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,958.7592167480892,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
af9e01c61bb7370cdd4d862a542a7697,train,deckard.base.experiment.Experiment,af9e01c61bb7370cdd4d862a542a7697,KDD NSL,cpu,af9e01c61bb7370cdd4d862a542a7697,af9e01c61bb7370cdd4d862a542a7697,k-SVC,af9e01c61bb7370cdd4d862a542a7697,af9e01c61bb7370cdd4d862a542a7697,0.9775,0.7771364618405198,cpu,1725802138.1189678,1725801663.8238146,502.47769414,1.25619423535,cpu,1725801663.8225794,1725801474.3430705,200.77173923,0.6692391307666666,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,af9e01c61bb7370cdd4d862a542a7697,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,989.045212791756,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
af23896df6a564250a154e42ecdd4ae8,train,deckard.base.experiment.Experiment,af23896df6a564250a154e42ecdd4ae8,KDD NSL,cpu,af23896df6a564250a154e42ecdd4ae8,af23896df6a564250a154e42ecdd4ae8,k-SVC,af23896df6a564250a154e42ecdd4ae8,af23896df6a564250a154e42ecdd4ae8,0.9775,0.7771364618405198,cpu,1725802848.877828,1725802349.2725852,529.92110235,1.324802755875,cpu,1725802349.271813,1725802161.4831269,199.56001544,0.6652000514666667,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,300,deckard.base.files.FileConfig,data,c7dcc1037ca609888c85d9425dc0b347,.pkl,kdd_nsl,af23896df6a564250a154e42ecdd4ae8,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,300,label,970.8789076526732,balanced,auto,rbf,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
