,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,exception,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,predictions,data._target_,data.generate.name,data.generate.target,data.sample._target_,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,data.sklearn_pipeline.encoder.handle_unknown,data.sklearn_pipeline.encoder.name,data.sklearn_pipeline.encoder.unknown_value,data.sklearn_pipeline.preprocessor.name,data.sklearn_pipeline.preprocessor.with_mean,data.sklearn_pipeline.preprocessor.with_std,files._target_,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.generate.name,model.data.generate.target,model.data.sample._target_,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.sklearn_pipeline.encoder.handle_unknown,model.data.sklearn_pipeline.encoder.name,model.data.sklearn_pipeline.encoder.unknown_value,model.data.sklearn_pipeline.preprocessor.name,model.data.sklearn_pipeline.preprocessor.with_mean,model.data.sklearn_pipeline.preprocessor.with_std,model.init._target_,model.init.compressor,model.init.distance_matrix,model.init.k,model.init.m,model.init.method,model.init.metric,model.init.name,model.init.symmetric,model.init.precompute,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
2,02be4075223a3e5500281208e832c0dd,train,deckard.base.experiment.Experiment,02be4075223a3e5500281208e832c0dd,kdd_nsl,cpu,02be4075223a3e5500281208e832c0dd,02be4075223a3e5500281208e832c0dd,GzipClassifier,02be4075223a3e5500281208e832c0dd,02be4075223a3e5500281208e832c0dd,,1229.925338799,1.229925338799,1708106480.4543364,1708107281.2992065,cpu,13.766665563,0.013766665563,1708107281.3000412,1708107293.6760948,cpu,0.87,4.49004093170166,kdd_nsl/reports/train/02be4075223a3e5500281208e832c0dd/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,02be4075223a3e5500281208e832c0dd,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,BZ2,,11,10,Random,NCD,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
3,031b22408c5d2727962df8f9e6948ff2,train,deckard.base.experiment.Experiment,031b22408c5d2727962df8f9e6948ff2,kdd_nsl,cpu,031b22408c5d2727962df8f9e6948ff2,031b22408c5d2727962df8f9e6948ff2,GzipClassifier,031b22408c5d2727962df8f9e6948ff2,031b22408c5d2727962df8f9e6948ff2,,313.407285832,0.313407285832,1708036041.0546265,1708036347.2217095,cpu,94.013854134,0.094013854134,1708036347.2220116,1708036438.686648,cpu,0.532,16.164147354125976,kdd_nsl/reports/train/031b22408c5d2727962df8f9e6948ff2/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,1000,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,031b22408c5d2727962df8f9e6948ff2,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,1000,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,7,50,SVC,Levenshtein,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
4,04747685bb141b7f36df04fb02c174ff,train,deckard.base.experiment.Experiment,04747685bb141b7f36df04fb02c174ff,kdd_nsl,cpu,04747685bb141b7f36df04fb02c174ff,04747685bb141b7f36df04fb02c174ff,GzipClassifier,04747685bb141b7f36df04fb02c174ff,04747685bb141b7f36df04fb02c174ff,,1263.414224604,1.263414224604,1708122552.8002224,1708123372.038935,cpu,30.347860942,0.030347860942,1708123372.0399413,1708123395.0745687,cpu,0.53,16.233224906921386,kdd_nsl/reports/train/04747685bb141b7f36df04fb02c174ff/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,04747685bb141b7f36df04fb02c174ff,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,BZ2,,7,100,SVC,NCD,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
10,134b10e886061019145d0b3476049664,train,deckard.base.experiment.Experiment,134b10e886061019145d0b3476049664,kdd_nsl,cpu,134b10e886061019145d0b3476049664,134b10e886061019145d0b3476049664,GzipClassifier,134b10e886061019145d0b3476049664,134b10e886061019145d0b3476049664,,299.753277868,0.299753277868,1708077796.3754363,1708078088.630533,cpu,10.091491025,0.010091491025,1708078088.630839,1708078098.5519578,cpu,0.56,15.197061614990234,kdd_nsl/reports/train/134b10e886061019145d0b3476049664/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,134b10e886061019145d0b3476049664,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,7,20,Medoid,Jaro,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
11,138178328df9eb3cdcae8b6f16674ff4,train,deckard.base.experiment.Experiment,138178328df9eb3cdcae8b6f16674ff4,kdd_nsl,cpu,138178328df9eb3cdcae8b6f16674ff4,138178328df9eb3cdcae8b6f16674ff4,GzipClassifier,138178328df9eb3cdcae8b6f16674ff4,138178328df9eb3cdcae8b6f16674ff4,,153.651812696,0.153651812696,1708100840.177226,1708100988.898286,cpu,64.058898982,0.064058898982,1708100988.8989792,1708101051.5396316,cpu,0.86,4.835428695678711,kdd_nsl/reports/train/138178328df9eb3cdcae8b6f16674ff4/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,138178328df9eb3cdcae8b6f16674ff4,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,3,500,SVC,Levenshtein,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
12,13ec051497f6b0dc0ee977c0753951ed,train,deckard.base.experiment.Experiment,13ec051497f6b0dc0ee977c0753951ed,kdd_nsl,cpu,13ec051497f6b0dc0ee977c0753951ed,13ec051497f6b0dc0ee977c0753951ed,GzipClassifier,13ec051497f6b0dc0ee977c0753951ed,13ec051497f6b0dc0ee977c0753951ed,,912.19216875,0.91219216875,1708183565.0332198,1708184351.9450033,cpu,185.052983019,0.185052983019,1708172970.374531,1708173129.8419676,cpu,0.96,1.381551055796428,kdd_nsl/reports/train/13ec051497f6b0dc0ee977c0753951ed/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,13ec051497f6b0dc0ee977c0753951ed,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,1,500,Sum,NCD,gzip_classifier.GzipClassifier,False,False,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
14,17cf5e820c4bc864e57b9bb5b18acee4,train,deckard.base.experiment.Experiment,17cf5e820c4bc864e57b9bb5b18acee4,kdd_nsl,cpu,17cf5e820c4bc864e57b9bb5b18acee4,17cf5e820c4bc864e57b9bb5b18acee4,GzipClassifier,17cf5e820c4bc864e57b9bb5b18acee4,17cf5e820c4bc864e57b9bb5b18acee4,,157.471891363,0.157471891363,1708075160.2688856,1708075313.0963578,cpu,29.10788272,0.02910788272,1708075313.097701,1708075341.644187,cpu,0.53,16.233224906921386,kdd_nsl/reports/train/17cf5e820c4bc864e57b9bb5b18acee4/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,17cf5e820c4bc864e57b9bb5b18acee4,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,11,100,Sum,Hamming,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
15,18f37a51a50af1e6b675c1265eb075ec,train,deckard.base.experiment.Experiment,18f37a51a50af1e6b675c1265eb075ec,kdd_nsl,cpu,18f37a51a50af1e6b675c1265eb075ec,18f37a51a50af1e6b675c1265eb075ec,GzipClassifier,18f37a51a50af1e6b675c1265eb075ec,18f37a51a50af1e6b675c1265eb075ec,,510.535654475,0.510535654475,1708157451.474964,1708157899.3769205,cpu,26.248049899,0.026248049899,1708157899.3775723,1708157923.482386,cpu,0.87,4.49004093170166,kdd_nsl/reports/train/18f37a51a50af1e6b675c1265eb075ec/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,18f37a51a50af1e6b675c1265eb075ec,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,11,50,Medoid,NCD,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
16,196413f7579d59d6b1c1fa3e9ce94b39,train,deckard.base.experiment.Experiment,196413f7579d59d6b1c1fa3e9ce94b39,kdd_nsl,cpu,196413f7579d59d6b1c1fa3e9ce94b39,196413f7579d59d6b1c1fa3e9ce94b39,GzipClassifier,196413f7579d59d6b1c1fa3e9ce94b39,196413f7579d59d6b1c1fa3e9ce94b39,,975.055541835,0.975055541835,1708111134.449726,1708111972.7661693,cpu,44.31773441,0.04431773441,1708111972.7669132,1708112013.0616543,cpu,0.97,1.0361632919311523,kdd_nsl/reports/train/196413f7579d59d6b1c1fa3e9ce94b39/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,196413f7579d59d6b1c1fa3e9ce94b39,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,5,100,Random,NCD,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
17,1a557a5e3c3487be9aa60aa2ad13f8a8,train,deckard.base.experiment.Experiment,1a557a5e3c3487be9aa60aa2ad13f8a8,kdd_nsl,cpu,1a557a5e3c3487be9aa60aa2ad13f8a8,1a557a5e3c3487be9aa60aa2ad13f8a8,GzipClassifier,1a557a5e3c3487be9aa60aa2ad13f8a8,1a557a5e3c3487be9aa60aa2ad13f8a8,,478.459728983,0.478459728983,1708179132.7732997,1708179552.9651558,cpu,15.779228575,0.015779228575,1708179552.9663372,1708179567.9321911,cpu,0.88,4.144653167724609,kdd_nsl/reports/train/1a557a5e3c3487be9aa60aa2ad13f8a8/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.files.FileConfig,kdd_nsl,1a557a5e3c3487be9aa60aa2ad13f8a8,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,1000,use_encoded_value,sklearn.preprocessing.OrdinalEncoder,-1,sklearn.preprocessing.StandardScaler,True,True,deckard.base.model.ModelInitializer,Gzip,,1,20,Sum,NCD,gzip_classifier.GzipClassifier,True,False,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
