,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
ab17846c80bd7804822ff3350577c37f,train,deckard.base.experiment.Experiment,ab17846c80bd7804822ff3350577c37f,SMS Spam,cpu,ab17846c80bd7804822ff3350577c37f,ab17846c80bd7804822ff3350577c37f,k-KNN,ab17846c80bd7804822ff3350577c37f,ab17846c80bd7804822ff3350577c37f,0.9225,2.6767591685927297,cpu,1726260706.498523,1726260657.221316,74.41853562,0.18604633905,cpu,1726260657.2203977,1726260588.725043,100.32299732,0.10032299732,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,ab17846c80bd7804822ff3350577c37f,predictions.json,reports/condense/knn/bz2/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Random,sms_spam/models/bz2/symmetry_true/modified_true/1000-400-0.npz,3,1.0,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
84079f8c36cee425f62f0d59ac4a6992,train,deckard.base.experiment.Experiment,84079f8c36cee425f62f0d59ac4a6992,SMS Spam,cpu,84079f8c36cee425f62f0d59ac4a6992,84079f8c36cee425f62f0d59ac4a6992,k-KNN,84079f8c36cee425f62f0d59ac4a6992,84079f8c36cee425f62f0d59ac4a6992,0.945,1.8996446956815412,cpu,1727392089.2363734,1727392074.504042,17.1604016,0.042901004,cpu,1727392074.503952,1727392070.4786458,4.05414315,0.00405414315,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,84079f8c36cee425f62f0d59ac4a6992,predictions.json,reports/condense/knn/gzip/0.3/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Hardness,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.3,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
57ee3856229e8bbfe7b32467c55352da,train,deckard.base.experiment.Experiment,57ee3856229e8bbfe7b32467c55352da,SMS Spam,cpu,57ee3856229e8bbfe7b32467c55352da,57ee3856229e8bbfe7b32467c55352da,k-KNN,57ee3856229e8bbfe7b32467c55352da,57ee3856229e8bbfe7b32467c55352da,0.955,1.5542569317324344,cpu,1727389466.2687542,1727389442.2845967,28.12077251,0.070301931275,cpu,1727389442.284511,1727389441.7889569,0.52226207,0.00052226207,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,57ee3856229e8bbfe7b32467c55352da,predictions.json,reports/condense/knn/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,NearMiss,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.5,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
d2d1ad93d852b205dd6f633b995a121f,train,deckard.base.experiment.Experiment,d2d1ad93d852b205dd6f633b995a121f,SMS Spam,cpu,d2d1ad93d852b205dd6f633b995a121f,d2d1ad93d852b205dd6f633b995a121f,k-KNN,d2d1ad93d852b205dd6f633b995a121f,d2d1ad93d852b205dd6f633b995a121f,0.915,2.9358359734389183,cpu,1727389625.4251633,1727389601.4307134,27.73041041,0.069326026025,cpu,1727389601.4306257,1727389601.2456608,0.21042932,0.00021042932,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d2d1ad93d852b205dd6f633b995a121f,predictions.json,reports/condense/knn/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Sum,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.5,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
f23252d4204039e142b06330e1c3ade4,train,deckard.base.experiment.Experiment,f23252d4204039e142b06330e1c3ade4,SMS Spam,cpu,f23252d4204039e142b06330e1c3ade4,f23252d4204039e142b06330e1c3ade4,k-KNN,f23252d4204039e142b06330e1c3ade4,f23252d4204039e142b06330e1c3ade4,0.9475,1.8133037516749908,cpu,1727389565.6616058,1727389541.94302,27.7844608,0.069461152,cpu,1727389541.9429278,1727389541.7182257,0.24422613,0.00024422613,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,f23252d4204039e142b06330e1c3ade4,predictions.json,reports/condense/knn/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Medoid,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.5,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
15e3a1194fa6779a208e8bc72231d2c8,train,deckard.base.experiment.Experiment,15e3a1194fa6779a208e8bc72231d2c8,SMS Spam,cpu,15e3a1194fa6779a208e8bc72231d2c8,15e3a1194fa6779a208e8bc72231d2c8,k-KNN,15e3a1194fa6779a208e8bc72231d2c8,15e3a1194fa6779a208e8bc72231d2c8,0.9575,1.4679099907451578,cpu,1727392986.2417293,1727392939.9887457,50.01285818,0.12503214545,cpu,1727392939.988643,1727392939.4080658,0.60928347,0.00060928347,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,15e3a1194fa6779a208e8bc72231d2c8,predictions.json,reports/condense/knn/gzip/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,NearMiss,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.9,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
2c9ace80109de25cb98a86e81024ac64,train,deckard.base.experiment.Experiment,2c9ace80109de25cb98a86e81024ac64,SMS Spam,cpu,2c9ace80109de25cb98a86e81024ac64,2c9ace80109de25cb98a86e81024ac64,k-KNN,2c9ace80109de25cb98a86e81024ac64,2c9ace80109de25cb98a86e81024ac64,0.96,1.3815630497578808,cpu,1727393041.372893,1727393014.1204934,31.96370508,0.0799092627,cpu,1727393014.1204042,1727393010.3845987,3.76070834,0.00376070834,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,2c9ace80109de25cb98a86e81024ac64,predictions.json,reports/condense/knn/gzip/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,KNN,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.9,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
b5f8cbc1d8b0fe3285d4531b99084084,train,deckard.base.experiment.Experiment,b5f8cbc1d8b0fe3285d4531b99084084,SMS Spam,cpu,b5f8cbc1d8b0fe3285d4531b99084084,b5f8cbc1d8b0fe3285d4531b99084084,k-KNN,b5f8cbc1d8b0fe3285d4531b99084084,b5f8cbc1d8b0fe3285d4531b99084084,0.9625,1.2952161087706042,cpu,1727393128.080548,1727393096.4958298,32.56515219,0.081412880475,cpu,1727393096.495738,1727393093.2311535,3.28328476,0.00328328476,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,b5f8cbc1d8b0fe3285d4531b99084084,predictions.json,reports/condense/knn/gzip/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,KNN,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,0.9,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
647b61d1ca4cc4d68cc127ede26e8000,train,deckard.base.experiment.Experiment,647b61d1ca4cc4d68cc127ede26e8000,SMS Spam,cpu,647b61d1ca4cc4d68cc127ede26e8000,647b61d1ca4cc4d68cc127ede26e8000,k-KNN,647b61d1ca4cc4d68cc127ede26e8000,647b61d1ca4cc4d68cc127ede26e8000,0.96,1.3815610507643057,cpu,1726259372.718358,1726259325.3843982,55.47713051,0.138692826275,cpu,1726259325.3834906,1726259265.6384294,69.88411739,0.06988411739,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,647b61d1ca4cc4d68cc127ede26e8000,predictions.json,reports/condense/knn/gzip/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Random,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,3,1.0,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
83c5fe8192d27507f260fb1a8d3196cc,train,deckard.base.experiment.Experiment,83c5fe8192d27507f260fb1a8d3196cc,SMS Spam,cpu,83c5fe8192d27507f260fb1a8d3196cc,83c5fe8192d27507f260fb1a8d3196cc,k-KNN,83c5fe8192d27507f260fb1a8d3196cc,83c5fe8192d27507f260fb1a8d3196cc,0.84,5.526256197018672,cpu,1726261213.4672437,1726261186.1406484,28.11832184,0.0702958046,cpu,1726261186.1397524,1726261150.010764,37.49459644,0.03749459644,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,83c5fe8192d27507f260fb1a8d3196cc,predictions.json,reports/condense/knn/hamming/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,brute,Random,sms_spam/models/hamming/symmetry_true/modified_true/1000-400-0.npz,3,1.0,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
