,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,Condensing Method,model.init.distance_matrix,model.init.gamma,model.init.kernel,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
022cc98e238575bb6b77c658feae5ff4,train,deckard.base.experiment.Experiment,022cc98e238575bb6b77c658feae5ff4,SMS Spam,cpu,022cc98e238575bb6b77c658feae5ff4,022cc98e238575bb6b77c658feae5ff4,k-SVC,022cc98e238575bb6b77c658feae5ff4,022cc98e238575bb6b77c658feae5ff4,0.885,3.972023253209145,cpu,1727389881.2372782,1727389876.2568169,5.8676261,0.01466906525,cpu,1727389876.2567368,1727389872.3060212,3.97670131,0.00397670131,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,022cc98e238575bb6b77c658feae5ff4,predictions.json,reports/condense/svc/gzip/0.1/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,66.74892968626371,balanced,Hardness,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.1,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d1e211d2693e8d2f2b30097e41067b6c,train,deckard.base.experiment.Experiment,d1e211d2693e8d2f2b30097e41067b6c,SMS Spam,cpu,d1e211d2693e8d2f2b30097e41067b6c,d1e211d2693e8d2f2b30097e41067b6c,k-SVC,d1e211d2693e8d2f2b30097e41067b6c,d1e211d2693e8d2f2b30097e41067b6c,0.9725,0.9498243468343468,cpu,1727392647.4850895,1727392619.6437528,28.09591562,0.07023978905,cpu,1727392619.643587,1727392619.3991995,0.26833126,0.00026833126,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d1e211d2693e8d2f2b30097e41067b6c,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,22.39120467278757,,SVC,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d2120e8117050a4b3fd3f3dd8167cd3e,train,deckard.base.experiment.Experiment,d2120e8117050a4b3fd3f3dd8167cd3e,SMS Spam,cpu,d2120e8117050a4b3fd3f3dd8167cd3e,d2120e8117050a4b3fd3f3dd8167cd3e,k-SVC,d2120e8117050a4b3fd3f3dd8167cd3e,d2120e8117050a4b3fd3f3dd8167cd3e,0.9725,0.9498243468343468,cpu,1727392646.711927,1727392619.6208649,27.54051184,0.0688512796,cpu,1727392619.6207683,1727392619.3784218,0.27358679,0.00027358679,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d2120e8117050a4b3fd3f3dd8167cd3e,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,22.99430495682149,,SVC,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d3ccf37c622aa5b96755c2ef58b3e0c0,train,deckard.base.experiment.Experiment,d3ccf37c622aa5b96755c2ef58b3e0c0,SMS Spam,cpu,d3ccf37c622aa5b96755c2ef58b3e0c0,d3ccf37c622aa5b96755c2ef58b3e0c0,k-SVC,d3ccf37c622aa5b96755c2ef58b3e0c0,d3ccf37c622aa5b96755c2ef58b3e0c0,0.8375,5.612649114858185,cpu,1727392137.1681454,1727392114.9108243,26.41008875,0.066025221875,cpu,1727392114.9107249,1727392114.3603327,0.56956985,0.00056956985,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d3ccf37c622aa5b96755c2ef58b3e0c0,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,0.6891129879509511,,NearMiss,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d5346db70a85a2a9a45e9101bc3c6b73,train,deckard.base.experiment.Experiment,d5346db70a85a2a9a45e9101bc3c6b73,SMS Spam,cpu,d5346db70a85a2a9a45e9101bc3c6b73,d5346db70a85a2a9a45e9101bc3c6b73,k-SVC,d5346db70a85a2a9a45e9101bc3c6b73,d5346db70a85a2a9a45e9101bc3c6b73,0.965,1.2088671687897523,cpu,1727380530.0662544,1727380506.2554495,28.03877666,0.07009694165,cpu,1727380506.2552853,1727380505.9210155,0.30616894,0.00030616894,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d5346db70a85a2a9a45e9101bc3c6b73,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,796.2520791177803,,Random,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d61e1ea98d46e56bfcb782fb2bb7cf05,train,deckard.base.experiment.Experiment,d61e1ea98d46e56bfcb782fb2bb7cf05,SMS Spam,cpu,d61e1ea98d46e56bfcb782fb2bb7cf05,d61e1ea98d46e56bfcb782fb2bb7cf05,k-SVC,d61e1ea98d46e56bfcb782fb2bb7cf05,d61e1ea98d46e56bfcb782fb2bb7cf05,0.1225,30.308120113429105,cpu,1727380562.3529472,1727380539.0845494,27.45208186,0.06863020465,cpu,1727380539.0844522,1727380538.8674731,0.2389586,0.0002389586,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d61e1ea98d46e56bfcb782fb2bb7cf05,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,759.8154360124911,,Random,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,precomputed,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d6e531b1c6d44b9640ce59ae1fc7b388,train,deckard.base.experiment.Experiment,d6e531b1c6d44b9640ce59ae1fc7b388,SMS Spam,cpu,d6e531b1c6d44b9640ce59ae1fc7b388,d6e531b1c6d44b9640ce59ae1fc7b388,k-SVC,d6e531b1c6d44b9640ce59ae1fc7b388,d6e531b1c6d44b9640ce59ae1fc7b388,0.9725,0.9498243468343468,cpu,1727392214.196926,1727392186.5094872,27.68485159,0.069212128975,cpu,1727392186.5093708,1727392186.2490408,0.2837511,0.0002837511,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d6e531b1c6d44b9640ce59ae1fc7b388,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,35.47355099449368,balanced,SVC,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d7c551ed1cc574ea23b583afc9b67844,train,deckard.base.experiment.Experiment,d7c551ed1cc574ea23b583afc9b67844,SMS Spam,cpu,d7c551ed1cc574ea23b583afc9b67844,d7c551ed1cc574ea23b583afc9b67844,k-SVC,d7c551ed1cc574ea23b583afc9b67844,d7c551ed1cc574ea23b583afc9b67844,0.9675,1.1225202278024755,cpu,1727380623.44943,1727380599.506435,28.21779231,0.070544480775,cpu,1727380599.5062923,1727380599.2633936,0.2662488,0.0002662488,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d7c551ed1cc574ea23b583afc9b67844,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,643.9136370563695,balanced,Random,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d8a4924c6aa475a6355a748c2ac912e9,train,deckard.base.experiment.Experiment,d8a4924c6aa475a6355a748c2ac912e9,SMS Spam,cpu,d8a4924c6aa475a6355a748c2ac912e9,d8a4924c6aa475a6355a748c2ac912e9,k-SVC,d8a4924c6aa475a6355a748c2ac912e9,d8a4924c6aa475a6355a748c2ac912e9,0.955,1.5542589307260102,cpu,1727380622.5041494,1727380599.4938972,27.1497948,0.067874487,cpu,1727380599.493773,1727380599.254101,0.26092643,0.00026092643,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d8a4924c6aa475a6355a748c2ac912e9,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,752.9021684620022,balanced,Random,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d933761e0524ac50b9adf747358cf523,train,deckard.base.experiment.Experiment,d933761e0524ac50b9adf747358cf523,SMS Spam,cpu,d933761e0524ac50b9adf747358cf523,d933761e0524ac50b9adf747358cf523,k-SVC,d933761e0524ac50b9adf747358cf523,d933761e0524ac50b9adf747358cf523,0.9725,0.9498243468343468,cpu,1727392520.235106,1727392494.651533,25.82797787,0.064569944675,cpu,1727392494.6514337,1727392494.4312396,0.25074707,0.00025074707,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d933761e0524ac50b9adf747358cf523,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,7.985331149679522,balanced,SVC,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
d938811f3cf4c53ddd17d710f9404abf,train,deckard.base.experiment.Experiment,d938811f3cf4c53ddd17d710f9404abf,SMS Spam,cpu,d938811f3cf4c53ddd17d710f9404abf,d938811f3cf4c53ddd17d710f9404abf,k-SVC,d938811f3cf4c53ddd17d710f9404abf,d938811f3cf4c53ddd17d710f9404abf,0.955,1.5542629287131609,cpu,1727380769.3790424,1727380746.5421965,27.14827111,0.067870677775,cpu,1727380746.542102,1727380746.0939646,0.40108241,0.00040108241,raw_data/sms-spam_undersampled_1450.csv,label,0,True,True,400,1000,deckard.base.files.FileConfig,data,84759bbc0a751407260b5bbe264d6d0c,.pkl,sms_spam,d938811f3cf4c53ddd17d710f9404abf,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,0,True,True,400,1000,label,4.104306650254427,,NearMiss,sms_spam/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
