,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
02eb713adba061c0bf7aae3cbfa0093b,train,deckard.base.experiment.Experiment,02eb713adba061c0bf7aae3cbfa0093b,SMS Spam,cpu,02eb713adba061c0bf7aae3cbfa0093b,02eb713adba061c0bf7aae3cbfa0093b,k-Logistic,02eb713adba061c0bf7aae3cbfa0093b,02eb713adba061c0bf7aae3cbfa0093b,0.96,1.3815670477450324,cpu,1725635090.5346866,1725635089.3346148,1.33296512,0.0133296512,cpu,1725635089.3345315,1725635088.0649655,1.41823731,0.0141823731,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,100,deckard.base.files.FileConfig,data,156d597b6a2cfefada4d85b2ccb52532,.pkl,sms_spam,02eb713adba061c0bf7aae3cbfa0093b,predictions.json,reports/gzip_logistic/100/symmetry_false,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,100,label,3.5535533506363373,balanced,False,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Asymmetric,0.0001081915460057,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
41ed711f5d8038f0444d9f9174018d12,train,deckard.base.experiment.Experiment,41ed711f5d8038f0444d9f9174018d12,SMS Spam,cpu,41ed711f5d8038f0444d9f9174018d12,41ed711f5d8038f0444d9f9174018d12,k-Logistic,41ed711f5d8038f0444d9f9174018d12,41ed711f5d8038f0444d9f9174018d12,0.89,3.7993133792859872,cpu,1725665515.569567,1725665513.5199578,2.11939871,0.0211939871,cpu,1725665513.519863,1725665509.7779107,3.81266111,0.0127088703666666,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,41ed711f5d8038f0444d9f9174018d12,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,2.729487588419826,balanced,False,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001212662521668,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4757e8ca0948cc261c2517fd8b37d458,train,deckard.base.experiment.Experiment,4757e8ca0948cc261c2517fd8b37d458,SMS Spam,cpu,4757e8ca0948cc261c2517fd8b37d458,4757e8ca0948cc261c2517fd8b37d458,k-Logistic,4757e8ca0948cc261c2517fd8b37d458,4757e8ca0948cc261c2517fd8b37d458,0.96,1.38155905177073,cpu,1725665805.6441767,1725665801.1811388,6.51172033,0.0651172033,cpu,1725665801.1810586,1725665793.68978,10.51779019,0.0350593006333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4757e8ca0948cc261c2517fd8b37d458,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,5.698863256923166,balanced,False,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,6.846614708770659e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4ab7c676f1c7cd5cc5bb599667fec361,train,deckard.base.experiment.Experiment,4ab7c676f1c7cd5cc5bb599667fec361,SMS Spam,cpu,4ab7c676f1c7cd5cc5bb599667fec361,4ab7c676f1c7cd5cc5bb599667fec361,k-Logistic,4ab7c676f1c7cd5cc5bb599667fec361,4ab7c676f1c7cd5cc5bb599667fec361,0.93,2.4177463315409566,cpu,1725665679.9672832,1725665676.7957442,3.56196941,0.0356196941,cpu,1725665676.7956662,1725665671.3026185,6.12053275,0.0204017758333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4ab7c676f1c7cd5cc5bb599667fec361,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,1.4530243382565533,balanced,False,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001511393758621,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4b3c51e2ce01d70cad5639f9a64b2bb2,train,deckard.base.experiment.Experiment,4b3c51e2ce01d70cad5639f9a64b2bb2,SMS Spam,cpu,4b3c51e2ce01d70cad5639f9a64b2bb2,4b3c51e2ce01d70cad5639f9a64b2bb2,k-Logistic,4b3c51e2ce01d70cad5639f9a64b2bb2,4b3c51e2ce01d70cad5639f9a64b2bb2,0.96,1.38155905177073,cpu,1725665868.1748848,1725665863.8189125,6.42163091,0.0642163091,cpu,1725665863.8188293,1725665856.2656782,10.60494195,0.0353498065,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4b3c51e2ce01d70cad5639f9a64b2bb2,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,6.449390086567928,,False,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001140158829278,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4be5edd91f1561af385d1a515d7e0f23,train,deckard.base.experiment.Experiment,4be5edd91f1561af385d1a515d7e0f23,SMS Spam,cpu,4be5edd91f1561af385d1a515d7e0f23,4be5edd91f1561af385d1a515d7e0f23,k-Logistic,4be5edd91f1561af385d1a515d7e0f23,4be5edd91f1561af385d1a515d7e0f23,0.94,2.072350571617548,cpu,1725665786.4581544,1725665782.010665,6.45667083,0.0645667083,cpu,1725665782.0105886,1725665775.0351048,9.96906154,0.0332302051333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4be5edd91f1561af385d1a515d7e0f23,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,1.8262179292664311,balanced,False,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.979308279781906e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4cd90596d6b2004349b976a7692b5e94,train,deckard.base.experiment.Experiment,4cd90596d6b2004349b976a7692b5e94,SMS Spam,cpu,4cd90596d6b2004349b976a7692b5e94,4cd90596d6b2004349b976a7692b5e94,k-Logistic,4cd90596d6b2004349b976a7692b5e94,4cd90596d6b2004349b976a7692b5e94,0.89,3.799321375260289,cpu,1725665664.0072072,1725665609.1463602,59.77785359,0.5977785359,cpu,1725665609.144886,1725665526.1364317,90.02698549,0.3000899516333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4cd90596d6b2004349b976a7692b5e94,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,4.606401418893693,balanced,False,1,1000,LZMA,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001216692128771,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4d607cd06744a45a701809a385dfedb4,train,deckard.base.experiment.Experiment,4d607cd06744a45a701809a385dfedb4,SMS Spam,cpu,4d607cd06744a45a701809a385dfedb4,4d607cd06744a45a701809a385dfedb4,k-Logistic,4d607cd06744a45a701809a385dfedb4,4d607cd06744a45a701809a385dfedb4,0.96,1.38155905177073,cpu,1725665868.2343774,1725665863.903144,6.39388978,0.0639388978,cpu,1725665863.9030485,1725665856.2750373,10.6648153,0.0355493843333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4d607cd06744a45a701809a385dfedb4,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,6.285727327237602,balanced,False,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001101691657289,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4f592ab50e489285add34724254130e2,train,deckard.base.experiment.Experiment,4f592ab50e489285add34724254130e2,SMS Spam,cpu,4f592ab50e489285add34724254130e2,4f592ab50e489285add34724254130e2,k-Logistic,4f592ab50e489285add34724254130e2,4f592ab50e489285add34724254130e2,0.93,2.4177463315409566,cpu,1725665536.46972,1725665532.9007,4.00752947,0.0400752947,cpu,1725665532.9005804,1725665526.1450052,7.51838467,0.0250612822333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4f592ab50e489285add34724254130e2,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,5.595232533585259,balanced,False,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001008766743695,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4fe74aa71854987c193d58d3647769c8,train,deckard.base.experiment.Experiment,4fe74aa71854987c193d58d3647769c8,SMS Spam,cpu,4fe74aa71854987c193d58d3647769c8,4fe74aa71854987c193d58d3647769c8,k-Logistic,4fe74aa71854987c193d58d3647769c8,4fe74aa71854987c193d58d3647769c8,0.93,2.4177463315409566,cpu,1725665681.1232111,1725665677.63364,3.88686278,0.0388686278,cpu,1725665677.6335683,1725665671.3031652,6.99173747,0.0233057915666666,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,300,deckard.base.files.FileConfig,data,c281a38ea238075751b8942c26885e35,.pkl,sms_spam,4fe74aa71854987c193d58d3647769c8,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,300,label,5.475239371887519,balanced,False,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001557482250443,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
