,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,files.data_dir,files.data_file,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
fddf3fe56fe11d83ca54d8eefc92b8db,train,deckard.base.experiment.Experiment,fddf3fe56fe11d83ca54d8eefc92b8db,SMS Spam,cpu,fddf3fe56fe11d83ca54d8eefc92b8db,fddf3fe56fe11d83ca54d8eefc92b8db,k-SVC,fddf3fe56fe11d83ca54d8eefc92b8db,fddf3fe56fe11d83ca54d8eefc92b8db,31.67811216,0.1055937072,1723861603.0309758,1723861631.1026783,cpu,10.49542699,0.1049542699,1723861631.1029778,1723861640.385594,cpu,0.98,0.6907755278982145,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,fddf3fe56fe11d83ca54d8eefc92b8db,predictions.json,reports/gzip_svc/300/symmetry_false,score_dict.json,train,data,657dc22a27f4ee8bb8aba19518c2ed71,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,100,300,label,546.9439264636358,,scale,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fe90ccc3f699b9b63a86e9bed353550a,train,deckard.base.experiment.Experiment,fe90ccc3f699b9b63a86e9bed353550a,SMS Spam,cpu,fe90ccc3f699b9b63a86e9bed353550a,fe90ccc3f699b9b63a86e9bed353550a,k-SVC,fe90ccc3f699b9b63a86e9bed353550a,fe90ccc3f699b9b63a86e9bed353550a,31.09343739,0.1036447913,1723861896.9978795,1723861924.29561,cpu,9.80754162,0.0980754162,1723861924.2957437,1723861932.9878197,cpu,0.15,29.358303762569054,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,fe90ccc3f699b9b63a86e9bed353550a,predictions.json,reports/gzip_svc/300/symmetry_false,score_dict.json,train,data,0a78d9fb95b29d92ba2f13ac63a5a406,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,100,300,label,662.316052481059,,scale,precomputed,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
ff45df6ea32fa985147c9bc6a961428d,train,deckard.base.experiment.Experiment,ff45df6ea32fa985147c9bc6a961428d,SMS Spam,cpu,ff45df6ea32fa985147c9bc6a961428d,ff45df6ea32fa985147c9bc6a961428d,k-SVC,ff45df6ea32fa985147c9bc6a961428d,ff45df6ea32fa985147c9bc6a961428d,24.92329358,0.0830776452666666,1723861069.3466282,1723861093.3142462,cpu,8.33857914,0.0833857914,1723861093.314854,1723861101.353577,cpu,0.89,3.799305383311685,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,ff45df6ea32fa985147c9bc6a961428d,predictions.json,reports/gzip_svc/300/symmetry_false,score_dict.json,train,data,9b59d529833fe7c360157f4aa5e5c9e5,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,100,300,label,18.57427593191125,balanced,auto,precomputed,1,Jaro-Winkler,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
0013a2bd5acaf67a0dd58932ee06010e,train,deckard.base.experiment.Experiment,0013a2bd5acaf67a0dd58932ee06010e,SMS Spam,cpu,0013a2bd5acaf67a0dd58932ee06010e,0013a2bd5acaf67a0dd58932ee06010e,k-SVC,0013a2bd5acaf67a0dd58932ee06010e,0013a2bd5acaf67a0dd58932ee06010e,81.25550502,0.2708516834,1723860263.9423864,1723860340.5368145,cpu,42.79942732,0.4279942732,1723860340.538053,1723860380.6159482,cpu,0.51,16.92419233688948,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,0013a2bd5acaf67a0dd58932ee06010e,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,9b59d529833fe7c360157f4aa5e5c9e5,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,100,300,label,33.576297485425805,,auto,rbf,1,LZMA,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
010249623042fa3d31d24534217ba7f0,train,deckard.base.experiment.Experiment,010249623042fa3d31d24534217ba7f0,SMS Spam,cpu,010249623042fa3d31d24534217ba7f0,010249623042fa3d31d24534217ba7f0,k-SVC,010249623042fa3d31d24534217ba7f0,010249623042fa3d31d24534217ba7f0,20.78376623,0.0692792207666666,1723860891.1781826,1723860910.3916976,cpu,8.1288522,0.081288522,1723860910.392002,1723860918.2446897,cpu,0.51,16.92420033286378,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,010249623042fa3d31d24534217ba7f0,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,657dc22a27f4ee8bb8aba19518c2ed71,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,100,300,label,42.256404904822574,,auto,rbf,1,Ratio,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
fdb5aed79613b2343ae5a20e4422f127,train,deckard.base.experiment.Experiment,fdb5aed79613b2343ae5a20e4422f127,SMS Spam,cpu,fdb5aed79613b2343ae5a20e4422f127,fdb5aed79613b2343ae5a20e4422f127,k-SVC,fdb5aed79613b2343ae5a20e4422f127,fdb5aed79613b2343ae5a20e4422f127,33.70107343,0.1123369114333333,1723862202.9609492,1723862233.1492865,cpu,10.46941719,0.1046941719,1723862233.1500354,1723862242.3463051,cpu,0.86,4.835508655030516,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,fdb5aed79613b2343ae5a20e4422f127,predictions.json,reports/gzip_svc/300/symmetry_false,score_dict.json,train,data,657dc22a27f4ee8bb8aba19518c2ed71,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,100,300,label,0.0439210699252411,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
033ec48efb3ec9368c17dccfd1766fc7,train,deckard.base.experiment.Experiment,033ec48efb3ec9368c17dccfd1766fc7,SMS Spam,cpu,033ec48efb3ec9368c17dccfd1766fc7,033ec48efb3ec9368c17dccfd1766fc7,k-SVC,033ec48efb3ec9368c17dccfd1766fc7,033ec48efb3ec9368c17dccfd1766fc7,29.15153362,0.0971717787333333,1723859928.2843544,1723859952.90249,cpu,12.71437968,0.1271437968,1723859952.9026809,1723859963.2187257,cpu,0.49,17.614975860761998,raw_data/sms-spam_undersampled_1450.csv,label,5,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,033ec48efb3ec9368c17dccfd1766fc7,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,310f057a2f246feba8896f86c7318c11,sklearn,raw_data/sms-spam_undersampled_1450.csv,5,True,True,100,300,label,757.275976450912,,auto,rbf,1,BZ2,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
035662e69128e109c937a0edaea5d407,train,deckard.base.experiment.Experiment,035662e69128e109c937a0edaea5d407,SMS Spam,cpu,035662e69128e109c937a0edaea5d407,035662e69128e109c937a0edaea5d407,k-SVC,035662e69128e109c937a0edaea5d407,035662e69128e109c937a0edaea5d407,23.79839835,0.0793279945,1723860891.3500388,1723860913.1775873,cpu,9.3551408,0.093551408,1723860913.1777244,1723860921.7305174,cpu,0.41,20.378093964303456,raw_data/sms-spam_undersampled_1450.csv,label,5,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,035662e69128e109c937a0edaea5d407,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,310f057a2f246feba8896f86c7318c11,sklearn,raw_data/sms-spam_undersampled_1450.csv,5,True,True,100,300,label,175.4948948332436,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
064a95c380041c6cc44f2eae657bf944,train,deckard.base.experiment.Experiment,064a95c380041c6cc44f2eae657bf944,SMS Spam,cpu,064a95c380041c6cc44f2eae657bf944,064a95c380041c6cc44f2eae657bf944,k-SVC,064a95c380041c6cc44f2eae657bf944,064a95c380041c6cc44f2eae657bf944,20.66986929,0.0688995643,1723859891.4977694,1723859910.5784018,cpu,7.84494833,0.0784494833,1723859910.5794802,1723859918.165483,cpu,0.65,12.088723661730477,raw_data/sms-spam_undersampled_1450.csv,label,5,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,064a95c380041c6cc44f2eae657bf944,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,310f057a2f246feba8896f86c7318c11,sklearn,raw_data/sms-spam_undersampled_1450.csv,5,True,True,100,300,label,653.6246734930434,,auto,rbf,1,Ratio,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
01ac5941fee7bdec69f988295fd0136e,train,deckard.base.experiment.Experiment,01ac5941fee7bdec69f988295fd0136e,SMS Spam,cpu,01ac5941fee7bdec69f988295fd0136e,01ac5941fee7bdec69f988295fd0136e,k-SVC,01ac5941fee7bdec69f988295fd0136e,01ac5941fee7bdec69f988295fd0136e,24.84810189,0.0828270063,1723860721.2803943,1723860743.8664577,cpu,10.04189495,0.1004189495,1723860743.86678,1723860752.7319822,cpu,0.52,16.578836556837583,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,100,300,deckard.base.files.FileConfig,.pkl,sms_spam,01ac5941fee7bdec69f988295fd0136e,predictions.json,reports/gzip_svc/300/symmetry_true,score_dict.json,train,data,9b59d529833fe7c360157f4aa5e5c9e5,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,100,300,label,73.40814938759466,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
