,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
401079a01f64620eaa96327ab5379718,train,deckard.base.experiment.Experiment,401079a01f64620eaa96327ab5379718,SMS Spam,cpu,401079a01f64620eaa96327ab5379718,401079a01f64620eaa96327ab5379718,k-KNN,401079a01f64620eaa96327ab5379718,401079a01f64620eaa96327ab5379718,0.7225,9.584510449587714,cpu,1725767141.3425024,1725767135.868066,5.58778696,0.0139694674,cpu,1725767135.8677745,1725767135.0360622,0.8799843,0.008799843,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,400,100,deckard.base.files.FileConfig,data,593546bdc22be4bff54cf2ea75b17b0e,.pkl,sms_spam,401079a01f64620eaa96327ab5379718,predictions.json,reports/modified//gzip_knn/100/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,400,100,label,brute,3,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e93f803a81a5e1c0ca2d3ec7d2c1669f,train,deckard.base.experiment.Experiment,e93f803a81a5e1c0ca2d3ec7d2c1669f,SMS Spam,cpu,e93f803a81a5e1c0ca2d3ec7d2c1669f,e93f803a81a5e1c0ca2d3ec7d2c1669f,k-KNN,e93f803a81a5e1c0ca2d3ec7d2c1669f,e93f803a81a5e1c0ca2d3ec7d2c1669f,0.875,4.317371037286741,cpu,1725756979.5112865,1725756977.7374604,1.97748,0.0049437,cpu,1725756977.7372892,1725756977.584882,0.16308912,0.008154456,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,400,20,deckard.base.files.FileConfig,data,a148f61e570d130c56f6110b7a231585,.pkl,sms_spam,e93f803a81a5e1c0ca2d3ec7d2c1669f,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,400,20,label,brute,7,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ebdec3e86873362cecb67610f04e7e50,train,deckard.base.experiment.Experiment,ebdec3e86873362cecb67610f04e7e50,SMS Spam,cpu,ebdec3e86873362cecb67610f04e7e50,ebdec3e86873362cecb67610f04e7e50,k-KNN,ebdec3e86873362cecb67610f04e7e50,ebdec3e86873362cecb67610f04e7e50,0.72,9.670903367427227,cpu,1725756978.9573271,1725756977.829905,1.16410347,0.002910258675,cpu,1725756977.8296046,1725756977.7443798,0.08762766,0.004381383,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,400,20,deckard.base.files.FileConfig,data,a148f61e570d130c56f6110b7a231585,.pkl,sms_spam,ebdec3e86873362cecb67610f04e7e50,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,400,20,label,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ee14723070a854e130eda4c01f218758,train,deckard.base.experiment.Experiment,ee14723070a854e130eda4c01f218758,SMS Spam,cpu,ee14723070a854e130eda4c01f218758,ee14723070a854e130eda4c01f218758,k-KNN,ee14723070a854e130eda4c01f218758,ee14723070a854e130eda4c01f218758,0.7,10.361668900357564,cpu,1725756914.0667784,1725756912.7413497,1.40434098,0.00351085245,cpu,1725756912.741222,1725756912.641372,0.10196791,0.0050983955,raw_data/sms-spam_undersampled_1450.csv,label,1,True,True,400,20,deckard.base.files.FileConfig,data,a148f61e570d130c56f6110b7a231585,.pkl,sms_spam,ee14723070a854e130eda4c01f218758,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,1,True,True,400,20,label,brute,7,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
eeec27008819387a4f6afd3883b4a38e,train,deckard.base.experiment.Experiment,eeec27008819387a4f6afd3883b4a38e,SMS Spam,cpu,eeec27008819387a4f6afd3883b4a38e,eeec27008819387a4f6afd3883b4a38e,k-KNN,eeec27008819387a4f6afd3883b4a38e,eeec27008819387a4f6afd3883b4a38e,0.72,9.670939349311586,cpu,1725756883.6734557,1725756882.4771717,1.25334372,0.0031333593,cpu,1725756882.477056,1725756882.3723483,0.10624913,0.0053124565,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,20,deckard.base.files.FileConfig,data,2f532ede53858385093a7f7e6f66e597,.pkl,sms_spam,eeec27008819387a4f6afd3883b4a38e,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,20,label,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f16e41500787468c7a9f79c9209d5572,train,deckard.base.experiment.Experiment,f16e41500787468c7a9f79c9209d5572,SMS Spam,cpu,f16e41500787468c7a9f79c9209d5572,f16e41500787468c7a9f79c9209d5572,k-KNN,f16e41500787468c7a9f79c9209d5572,f16e41500787468c7a9f79c9209d5572,0.2425,26.163347006425298,cpu,1725756981.22828,1725756977.9485822,3.34461314,0.00836153285,cpu,1725756977.9483,1725756977.7963474,0.15497629,0.0077488145,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,400,20,deckard.base.files.FileConfig,data,09667d4e93c64d4fbbc094a980cb6ed7,.pkl,sms_spam,f16e41500787468c7a9f79c9209d5572,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,400,20,label,brute,1,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f1ddc372e8c7515dadb615b93619a36b,train,deckard.base.experiment.Experiment,f1ddc372e8c7515dadb615b93619a36b,SMS Spam,cpu,f1ddc372e8c7515dadb615b93619a36b,f1ddc372e8c7515dadb615b93619a36b,k-KNN,f1ddc372e8c7515dadb615b93619a36b,f1ddc372e8c7515dadb615b93619a36b,0.2525,25.817955244489035,cpu,1725756969.0171382,1725756967.8334386,1.22812977,0.003070324425,cpu,1725756967.8330612,1725756967.727632,0.10067361,0.0050336805,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,400,20,deckard.base.files.FileConfig,data,b11c63efc732cb85b03a1f21040d5a33,.pkl,sms_spam,f1ddc372e8c7515dadb615b93619a36b,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,400,20,label,brute,5,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f4b8e4aca492cd35a73b706657247714,train,deckard.base.experiment.Experiment,f4b8e4aca492cd35a73b706657247714,SMS Spam,cpu,f4b8e4aca492cd35a73b706657247714,f4b8e4aca492cd35a73b706657247714,k-KNN,f4b8e4aca492cd35a73b706657247714,f4b8e4aca492cd35a73b706657247714,0.825,6.044395813756022,cpu,1725756867.574129,1725756855.9309144,13.0569462,0.0326423655,cpu,1725756855.930807,1725756855.4465082,0.49930254,0.024965127,raw_data/sms-spam_undersampled_1450.csv,label,10,True,True,400,20,deckard.base.files.FileConfig,data,e9b166ec43c426924e31af9347f5c074,.pkl,sms_spam,f4b8e4aca492cd35a73b706657247714,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,10,True,True,400,20,label,brute,5,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f55339890486d5fd97ea8dc4974fa6c6,train,deckard.base.experiment.Experiment,f55339890486d5fd97ea8dc4974fa6c6,SMS Spam,cpu,f55339890486d5fd97ea8dc4974fa6c6,f55339890486d5fd97ea8dc4974fa6c6,k-KNN,f55339890486d5fd97ea8dc4974fa6c6,f55339890486d5fd97ea8dc4974fa6c6,0.11,30.739868811320516,cpu,1725756942.3426714,1725756941.2201726,1.14698611,0.002867465275,cpu,1725756941.2198248,1725756941.119262,0.10295434,0.005147717,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,400,20,deckard.base.files.FileConfig,data,09667d4e93c64d4fbbc094a980cb6ed7,.pkl,sms_spam,f55339890486d5fd97ea8dc4974fa6c6,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,400,20,label,brute,11,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e7f76c756e754ea1307a3238878af6b5,train,deckard.base.experiment.Experiment,e7f76c756e754ea1307a3238878af6b5,SMS Spam,cpu,e7f76c756e754ea1307a3238878af6b5,e7f76c756e754ea1307a3238878af6b5,k-KNN,e7f76c756e754ea1307a3238878af6b5,e7f76c756e754ea1307a3238878af6b5,0.7775,7.684927722707013,cpu,1725757015.75012,1725757014.6582043,1.1347818,0.0028369545,cpu,1725757014.6580942,1725757014.5734465,0.08685533,0.0043427665,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,400,20,deckard.base.files.FileConfig,data,b11c63efc732cb85b03a1f21040d5a33,.pkl,sms_spam,e7f76c756e754ea1307a3238878af6b5,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,400,20,label,brute,5,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f601bd39d8c5e103842177c7ae62eb42,train,deckard.base.experiment.Experiment,f601bd39d8c5e103842177c7ae62eb42,SMS Spam,cpu,f601bd39d8c5e103842177c7ae62eb42,f601bd39d8c5e103842177c7ae62eb42,k-KNN,f601bd39d8c5e103842177c7ae62eb42,f601bd39d8c5e103842177c7ae62eb42,0.1975,27.71765791098427,cpu,1725757050.8335896,1725757049.7779553,1.07885433,0.002697135825,cpu,1725757049.7776396,1725757049.6902485,0.08992564,0.004496282,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,20,deckard.base.files.FileConfig,data,2f532ede53858385093a7f7e6f66e597,.pkl,sms_spam,f601bd39d8c5e103842177c7ae62eb42,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,20,label,brute,11,1,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
f921c9136ab743c3ff86591d695a15f0,train,deckard.base.experiment.Experiment,f921c9136ab743c3ff86591d695a15f0,SMS Spam,cpu,f921c9136ab743c3ff86591d695a15f0,f921c9136ab743c3ff86591d695a15f0,k-KNN,f921c9136ab743c3ff86591d695a15f0,f921c9136ab743c3ff86591d695a15f0,0.59,14.16091231486841,cpu,1725756913.9151735,1725756912.704625,1.27334963,0.003183374075,cpu,1725756912.704278,1725756912.6076522,0.09973205,0.0049866025,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,20,deckard.base.files.FileConfig,data,4928e5a89e93b23c526d92d7a1ec784f,.pkl,sms_spam,f921c9136ab743c3ff86591d695a15f0,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,20,label,brute,3,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
fc1f16de636119ff40937bc5d064607d,train,deckard.base.experiment.Experiment,fc1f16de636119ff40937bc5d064607d,SMS Spam,cpu,fc1f16de636119ff40937bc5d064607d,fc1f16de636119ff40937bc5d064607d,k-KNN,fc1f16de636119ff40937bc5d064607d,fc1f16de636119ff40937bc5d064607d,0.5825,14.419949139843087,cpu,1725756960.8084943,1725756959.7057655,1.12614801,0.002815370025,cpu,1725756959.7056975,1725756959.5895524,0.11804745,0.0059023725,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,400,20,deckard.base.files.FileConfig,data,09667d4e93c64d4fbbc094a980cb6ed7,.pkl,sms_spam,fc1f16de636119ff40937bc5d064607d,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,400,20,label,brute,11,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
065571d45d60a0cd186edd297b7f82ec,train,deckard.base.experiment.Experiment,065571d45d60a0cd186edd297b7f82ec,SMS Spam,cpu,065571d45d60a0cd186edd297b7f82ec,065571d45d60a0cd186edd297b7f82ec,k-KNN,065571d45d60a0cd186edd297b7f82ec,065571d45d60a0cd186edd297b7f82ec,0.815,6.389721608904288,cpu,1725803637.1890678,1725803621.172252,16.30864709,0.040771617725,cpu,1725803621.1719377,1725803615.225018,6.03057197,0.0201019065666666,raw_data/sms-spam_undersampled_1450.csv,label,2,True,True,400,300,deckard.base.files.FileConfig,data,18f01cf314d63cb13d9d0a48b5b7ba83,.pkl,sms_spam,065571d45d60a0cd186edd297b7f82ec,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,2,True,True,400,300,label,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
30197b2319ed3f3746788f0b5d97916e,train,deckard.base.experiment.Experiment,30197b2319ed3f3746788f0b5d97916e,SMS Spam,cpu,30197b2319ed3f3746788f0b5d97916e,30197b2319ed3f3746788f0b5d97916e,k-KNN,30197b2319ed3f3746788f0b5d97916e,30197b2319ed3f3746788f0b5d97916e,0.345,22.62323636858076,cpu,1725803372.6266785,1725803355.6887777,17.28391243,0.043209781075,cpu,1725803355.6886823,1725803349.0898683,6.79142303,0.0226380767666666,raw_data/sms-spam_undersampled_1450.csv,label,2,True,True,400,300,deckard.base.files.FileConfig,data,18f01cf314d63cb13d9d0a48b5b7ba83,.pkl,sms_spam,30197b2319ed3f3746788f0b5d97916e,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,2,True,True,400,300,label,brute,11,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
301a2bc43c48d6c3f4797612d2fe0748,train,deckard.base.experiment.Experiment,301a2bc43c48d6c3f4797612d2fe0748,SMS Spam,cpu,301a2bc43c48d6c3f4797612d2fe0748,301a2bc43c48d6c3f4797612d2fe0748,k-KNN,301a2bc43c48d6c3f4797612d2fe0748,301a2bc43c48d6c3f4797612d2fe0748,0.4775,18.046550646212346,cpu,1725802975.2853572,1725802959.5923083,15.95070465,0.039876761625,cpu,1725802959.5922182,1725802953.7607093,5.91232422,0.0197077474,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,400,300,deckard.base.files.FileConfig,data,7d1c1e7f5c4d73f079f761c8290c90f4,.pkl,sms_spam,301a2bc43c48d6c3f4797612d2fe0748,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,400,300,label,brute,3,1,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
