,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
046d9239fbc304c3e4b45de1b30a9c4f,train,deckard.base.experiment.Experiment,046d9239fbc304c3e4b45de1b30a9c4f,SMS Spam,cpu,046d9239fbc304c3e4b45de1b30a9c4f,046d9239fbc304c3e4b45de1b30a9c4f,k-Logistic,046d9239fbc304c3e4b45de1b30a9c4f,046d9239fbc304c3e4b45de1b30a9c4f,0.9325,2.3313813996115003,cpu,1725767469.5970154,1725767460.783168,9.80400775,0.024510019375,cpu,1725767460.783074,1725767459.5145235,1.4164316,0.014164316,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,400,100,deckard.base.files.FileConfig,data,593546bdc22be4bff54cf2ea75b17b0e,.pkl,sms_spam,046d9239fbc304c3e4b45de1b30a9c4f,predictions.json,reports/modified//gzip_logistic/100/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,400,100,label,194.19564822513607,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004411662802611,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b490c4a96071c376f630fea9525f3d5d,train,deckard.base.experiment.Experiment,b490c4a96071c376f630fea9525f3d5d,SMS Spam,cpu,b490c4a96071c376f630fea9525f3d5d,b490c4a96071c376f630fea9525f3d5d,k-Logistic,b490c4a96071c376f630fea9525f3d5d,b490c4a96071c376f630fea9525f3d5d,0.9575,1.4678979967837045,cpu,1725804493.6893542,1725804437.8811214,56.82073156,0.1420518289,cpu,1725804437.8810463,1725804416.09935,22.18182355,0.0739394118333333,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,b490c4a96071c376f630fea9525f3d5d,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,515.5504004310052,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001254578152746,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b22b47e079ce76e3ad856a599693c1aa,train,deckard.base.experiment.Experiment,b22b47e079ce76e3ad856a599693c1aa,SMS Spam,cpu,b22b47e079ce76e3ad856a599693c1aa,b22b47e079ce76e3ad856a599693c1aa,k-Logistic,b22b47e079ce76e3ad856a599693c1aa,b22b47e079ce76e3ad856a599693c1aa,0.9575,1.4678979967837045,cpu,1725804413.1237624,1725804357.6057937,56.51565496,0.1412891374,cpu,1725804357.605696,1725804335.625876,22.37027315,0.0745675771666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,b22b47e079ce76e3ad856a599693c1aa,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,497.8747722960467,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001208496720543,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b1a8d4a6c45b1b7d491ec142b571b181,train,deckard.base.experiment.Experiment,b1a8d4a6c45b1b7d491ec142b571b181,SMS Spam,cpu,b1a8d4a6c45b1b7d491ec142b571b181,b1a8d4a6c45b1b7d491ec142b571b181,k-Logistic,b1a8d4a6c45b1b7d491ec142b571b181,b1a8d4a6c45b1b7d491ec142b571b181,0.9575,1.4678979967837045,cpu,1725804168.998926,1725804115.3968804,54.56120958,0.13640302395,cpu,1725804115.3967962,1725804092.8561263,22.95977121,0.0765325707,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,b1a8d4a6c45b1b7d491ec142b571b181,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,757.4293861991878,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001887841314613,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a9e65373f8df55a3331b20ad9e251eeb,train,deckard.base.experiment.Experiment,a9e65373f8df55a3331b20ad9e251eeb,SMS Spam,cpu,a9e65373f8df55a3331b20ad9e251eeb,a9e65373f8df55a3331b20ad9e251eeb,k-Logistic,a9e65373f8df55a3331b20ad9e251eeb,a9e65373f8df55a3331b20ad9e251eeb,0.925,2.590418224586179,cpu,1725803866.7816126,1725803846.9477968,20.66152592,0.0516538148,cpu,1725803846.947712,1725803838.8792765,8.30567588,0.0276855862666666,raw_data/sms-spam_undersampled_1450.csv,label,2,True,True,400,300,deckard.base.files.FileConfig,data,18f01cf314d63cb13d9d0a48b5b7ba83,.pkl,sms_spam,a9e65373f8df55a3331b20ad9e251eeb,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,2,True,True,400,300,label,763.5058626703456,balanced,False,1,1000,Jaro-Winkler,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,5.7471042548678914e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a8d56e0e7e94718c548607dcfea6e4f1,train,deckard.base.experiment.Experiment,a8d56e0e7e94718c548607dcfea6e4f1,SMS Spam,cpu,a8d56e0e7e94718c548607dcfea6e4f1,a8d56e0e7e94718c548607dcfea6e4f1,k-Logistic,a8d56e0e7e94718c548607dcfea6e4f1,a8d56e0e7e94718c548607dcfea6e4f1,0.9575,1.4678979967837045,cpu,1725804660.521361,1725804604.8263862,56.68372916,0.1417093229,cpu,1725804604.8262992,1725804582.837961,22.34681798,0.0744893932666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,a8d56e0e7e94718c548607dcfea6e4f1,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,514.5576765420835,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001311226688397,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a8bb8caa61a101778f803d5fab5cb33f,train,deckard.base.experiment.Experiment,a8bb8caa61a101778f803d5fab5cb33f,SMS Spam,cpu,a8bb8caa61a101778f803d5fab5cb33f,a8bb8caa61a101778f803d5fab5cb33f,k-Logistic,a8bb8caa61a101778f803d5fab5cb33f,a8bb8caa61a101778f803d5fab5cb33f,0.9575,1.4678979967837045,cpu,1725804578.144261,1725804522.355041,56.77607038,0.14194017595,cpu,1725804522.354958,1725804500.5094385,22.25241236,0.0741747078666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,a8bb8caa61a101778f803d5fab5cb33f,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,698.9906566921792,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001962622894737,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a72bcf2a885fc16f7bd8e2800706ea18,train,deckard.base.experiment.Experiment,a72bcf2a885fc16f7bd8e2800706ea18,SMS Spam,cpu,a72bcf2a885fc16f7bd8e2800706ea18,a72bcf2a885fc16f7bd8e2800706ea18,k-Logistic,a72bcf2a885fc16f7bd8e2800706ea18,a72bcf2a885fc16f7bd8e2800706ea18,0.9575,1.4678979967837045,cpu,1725804492.6232069,1725804437.7451866,55.84500836,0.1396125209,cpu,1725804437.7451084,1725804416.163579,21.95458835,0.0731819611666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,a72bcf2a885fc16f7bd8e2800706ea18,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,577.1264686016833,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,6.571818087166683e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a4f4181f8454a1e81d485da58f7a4f22,train,deckard.base.experiment.Experiment,a4f4181f8454a1e81d485da58f7a4f22,SMS Spam,cpu,a4f4181f8454a1e81d485da58f7a4f22,a4f4181f8454a1e81d485da58f7a4f22,k-Logistic,a4f4181f8454a1e81d485da58f7a4f22,a4f4181f8454a1e81d485da58f7a4f22,0.9575,1.4678979967837045,cpu,1725804741.122463,1725804685.85383,56.22487896,0.1405621974,cpu,1725804685.853752,1725804663.408864,22.852202,0.0761740066666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,a4f4181f8454a1e81d485da58f7a4f22,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,582.4948849874839,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,9.707772747730458e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a393f19ac53bef77793ba8bc0a8d5980,train,deckard.base.experiment.Experiment,a393f19ac53bef77793ba8bc0a8d5980,SMS Spam,cpu,a393f19ac53bef77793ba8bc0a8d5980,a393f19ac53bef77793ba8bc0a8d5980,k-Logistic,a393f19ac53bef77793ba8bc0a8d5980,a393f19ac53bef77793ba8bc0a8d5980,0.9575,1.4678979967837045,cpu,1725804740.9116929,1725804685.4811504,56.41173107,0.141029327675,cpu,1725804685.4810631,1725804663.4007337,22.47045362,0.0749015120666666,raw_data/sms-spam_undersampled_1450.csv,label,6,True,True,400,300,deckard.base.files.FileConfig,data,e235e10cd024497304466dabbd3bab66,.pkl,sms_spam,a393f19ac53bef77793ba8bc0a8d5980,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,6,True,True,400,300,label,781.0093857185625,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001001647138377,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
