,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
014720e91328cbd4b3482222035cf0f9,train,deckard.base.experiment.Experiment,014720e91328cbd4b3482222035cf0f9,SMS Spam,cpu,014720e91328cbd4b3482222035cf0f9,014720e91328cbd4b3482222035cf0f9,k-SVC,014720e91328cbd4b3482222035cf0f9,014720e91328cbd4b3482222035cf0f9,0.9025,3.367556685420274,cpu,1725767562.889455,1725767556.595268,6.49021435,0.016225535875,cpu,1725767556.5949757,1725767555.849604,0.75842409,0.0075842409,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,400,100,deckard.base.files.FileConfig,data,593546bdc22be4bff54cf2ea75b17b0e,.pkl,sms_spam,014720e91328cbd4b3482222035cf0f9,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,400,100,label,61.35011112805905,,auto,rbf,1,Jaro,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
bf5b216dfde3e6491b4b8a49f1da3d3a,train,deckard.base.experiment.Experiment,bf5b216dfde3e6491b4b8a49f1da3d3a,SMS Spam,cpu,bf5b216dfde3e6491b4b8a49f1da3d3a,bf5b216dfde3e6491b4b8a49f1da3d3a,k-SVC,bf5b216dfde3e6491b4b8a49f1da3d3a,bf5b216dfde3e6491b4b8a49f1da3d3a,0.9525,1.6406098697004377,cpu,1725805044.3049788,1725805019.4120536,27.6430806,0.0691077015,cpu,1725805019.4118576,1725805009.7600734,10.70498879,0.0356832959666666,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,400,300,deckard.base.files.FileConfig,data,99d9b73cc768db58a6321efea86779d8,.pkl,sms_spam,bf5b216dfde3e6491b4b8a49f1da3d3a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,400,300,label,380.3661840339377,,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
bcc289a4d0564dbd0cd578ba293d1f27,train,deckard.base.experiment.Experiment,bcc289a4d0564dbd0cd578ba293d1f27,SMS Spam,cpu,bcc289a4d0564dbd0cd578ba293d1f27,bcc289a4d0564dbd0cd578ba293d1f27,k-SVC,bcc289a4d0564dbd0cd578ba293d1f27,bcc289a4d0564dbd0cd578ba293d1f27,0.965,1.208867168789752,cpu,1725805203.5721347,1725805180.4207332,24.98766952,0.0624691738,cpu,1725805180.4205718,1725805171.474343,9.65530304,0.0321843434666666,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,bcc289a4d0564dbd0cd578ba293d1f27,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,930.9479500397708,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
bc37b549999b6fe315211bbab7aaa964,train,deckard.base.experiment.Experiment,bc37b549999b6fe315211bbab7aaa964,SMS Spam,cpu,bc37b549999b6fe315211bbab7aaa964,bc37b549999b6fe315211bbab7aaa964,k-SVC,bc37b549999b6fe315211bbab7aaa964,bc37b549999b6fe315211bbab7aaa964,0.965,1.208867168789752,cpu,1725805352.4664452,1725805329.608647,24.72560626,0.06181401565,cpu,1725805329.608462,1725805320.461014,9.89249751,0.0329749917,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,bc37b549999b6fe315211bbab7aaa964,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,717.829410563501,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b6ec5900c4185ef3970838dcff06f318,train,deckard.base.experiment.Experiment,b6ec5900c4185ef3970838dcff06f318,SMS Spam,cpu,b6ec5900c4185ef3970838dcff06f318,b6ec5900c4185ef3970838dcff06f318,k-SVC,b6ec5900c4185ef3970838dcff06f318,b6ec5900c4185ef3970838dcff06f318,0.9625,1.2952161087706042,cpu,1725805421.965171,1725805398.7065382,25.22079413,0.063051985325,cpu,1725805398.7063663,1725805389.7912543,9.63382152,0.0321127384,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,b6ec5900c4185ef3970838dcff06f318,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,559.3051916409762,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b2e4d72441db7dcadfd9a0b15519e42e,train,deckard.base.experiment.Experiment,b2e4d72441db7dcadfd9a0b15519e42e,SMS Spam,cpu,b2e4d72441db7dcadfd9a0b15519e42e,b2e4d72441db7dcadfd9a0b15519e42e,k-SVC,b2e4d72441db7dcadfd9a0b15519e42e,b2e4d72441db7dcadfd9a0b15519e42e,0.9625,1.2952121107834536,cpu,1725805086.0943084,1725805061.4700446,27.33674217,0.068341855425,cpu,1725805061.4698484,1725805051.6085937,10.88636961,0.0362878987,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,b2e4d72441db7dcadfd9a0b15519e42e,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,656.9865170406116,,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b2b382fa7c205c7bb9e9c83a7164d7b9,train,deckard.base.experiment.Experiment,b2b382fa7c205c7bb9e9c83a7164d7b9,SMS Spam,cpu,b2b382fa7c205c7bb9e9c83a7164d7b9,b2b382fa7c205c7bb9e9c83a7164d7b9,k-SVC,b2b382fa7c205c7bb9e9c83a7164d7b9,b2b382fa7c205c7bb9e9c83a7164d7b9,0.9675,1.1225202278024755,cpu,1725805491.350775,1725805468.2670782,24.98208965,0.062455224125,cpu,1725805468.2668855,1725805459.2390122,9.76682155,0.0325560718333333,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,b2b382fa7c205c7bb9e9c83a7164d7b9,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,475.2402713653087,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b1665cd47169ae8dd11ba98b7ebe4f0a,train,deckard.base.experiment.Experiment,b1665cd47169ae8dd11ba98b7ebe4f0a,SMS Spam,cpu,b1665cd47169ae8dd11ba98b7ebe4f0a,b1665cd47169ae8dd11ba98b7ebe4f0a,k-SVC,b1665cd47169ae8dd11ba98b7ebe4f0a,b1665cd47169ae8dd11ba98b7ebe4f0a,0.965,1.208867168789752,cpu,1725805164.4495213,1725805141.5439618,24.70423078,0.06176057695,cpu,1725805141.543753,1725805132.376902,9.89830469,0.0329943489666666,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,b1665cd47169ae8dd11ba98b7ebe4f0a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,908.3114611782628,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
b1540227a52a7056b1a00160b9df679d,train,deckard.base.experiment.Experiment,b1540227a52a7056b1a00160b9df679d,SMS Spam,cpu,b1540227a52a7056b1a00160b9df679d,b1540227a52a7056b1a00160b9df679d,k-SVC,b1540227a52a7056b1a00160b9df679d,b1540227a52a7056b1a00160b9df679d,0.965,1.208867168789752,cpu,1725805456.7471492,1725805433.9352818,24.68993988,0.0617248497,cpu,1725805433.9351225,1725805425.257327,9.38107983,0.0312702661,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,b1540227a52a7056b1a00160b9df679d,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,717.1162927088984,,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
af0ed8c356ccc03436e03b316e256948,train,deckard.base.experiment.Experiment,af0ed8c356ccc03436e03b316e256948,SMS Spam,cpu,af0ed8c356ccc03436e03b316e256948,af0ed8c356ccc03436e03b316e256948,k-SVC,af0ed8c356ccc03436e03b316e256948,af0ed8c356ccc03436e03b316e256948,0.9625,1.2952121107834536,cpu,1725805086.2377422,1725805061.539906,27.37104414,0.06842761035,cpu,1725805061.53959,1725805051.6085649,10.97294186,0.0365764728666666,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,400,300,deckard.base.files.FileConfig,data,b6d4bb5b4ef9f1d0476d34b26299cde9,.pkl,sms_spam,af0ed8c356ccc03436e03b316e256948,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,400,300,label,625.3049008798289,,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
