,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.gamma,model.init.kernel,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0,03dc32b8b0bab29792f64c546a884763,train,deckard.base.experiment.Experiment,03dc32b8b0bab29792f64c546a884763,sms_spam,cpu,03dc32b8b0bab29792f64c546a884763,03dc32b8b0bab29792f64c546a884763,GzipSVC,03dc32b8b0bab29792f64c546a884763,03dc32b8b0bab29792f64c546a884763,0.87,4.49004093170166,cpu,1709321442.8073378,1709321432.8102996,10.767198912,0.10767198912,cpu,1709321432.8101594,1709321423.9108412,9.367692796,0.09367692796,sms_spam/reports/gzip_svc/100-0/train/03dc32b8b0bab29792f64c546a884763/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,03dc32b8b0bab29792f64c546a884763,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,0.1,deckard.base.model.ModelInitializer,,auto,rbf,-1,Pickle,gzip_classifier.GzipSVC,True,Symmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
1,042e341337d7aa0dadec9f31b96d6c0b,train,deckard.base.experiment.Experiment,042e341337d7aa0dadec9f31b96d6c0b,sms_spam,cpu,042e341337d7aa0dadec9f31b96d6c0b,042e341337d7aa0dadec9f31b96d6c0b,GzipSVC,042e341337d7aa0dadec9f31b96d6c0b,042e341337d7aa0dadec9f31b96d6c0b,0.87,4.49004093170166,cpu,1709321442.270205,1709321432.187135,10.841248521,0.10841248521,cpu,1709321432.186858,1709321423.8627863,8.764819827,0.08764819827,sms_spam/reports/gzip_svc/100-0/train/042e341337d7aa0dadec9f31b96d6c0b/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,042e341337d7aa0dadec9f31b96d6c0b,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,1.0,deckard.base.model.ModelInitializer,,auto,rbf,-1,Levenshtein,gzip_classifier.GzipSVC,True,Symmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
2,069afa9d6c903bf18cbbecf97bee9fe8,train,deckard.base.experiment.Experiment,069afa9d6c903bf18cbbecf97bee9fe8,sms_spam,cpu,069afa9d6c903bf18cbbecf97bee9fe8,069afa9d6c903bf18cbbecf97bee9fe8,GzipSVC,069afa9d6c903bf18cbbecf97bee9fe8,069afa9d6c903bf18cbbecf97bee9fe8,0.82,6.216979751586914,cpu,1709321387.4840128,1709321377.1585968,11.13699629,0.1113699629,cpu,1709321377.1583452,1709321368.034575,9.608939033,0.09608939033,sms_spam/reports/gzip_svc/100-0/train/069afa9d6c903bf18cbbecf97bee9fe8/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,069afa9d6c903bf18cbbecf97bee9fe8,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,100.0,deckard.base.model.ModelInitializer,balanced,scale,rbf,-1,Pickle,gzip_classifier.GzipSVC,True,Symmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
3,073fdd2d8b7cd4d446d6f02d8a37912b,train,deckard.base.experiment.Experiment,073fdd2d8b7cd4d446d6f02d8a37912b,sms_spam,cpu,073fdd2d8b7cd4d446d6f02d8a37912b,073fdd2d8b7cd4d446d6f02d8a37912b,GzipSVC,073fdd2d8b7cd4d446d6f02d8a37912b,073fdd2d8b7cd4d446d6f02d8a37912b,0.97,1.0361632919311523,cpu,1709321387.6206172,1709321377.7003255,10.676832385,0.10676832385,cpu,1709321377.700174,1709321367.9394765,10.468609948,0.10468609948,sms_spam/reports/gzip_svc/100-0/train/073fdd2d8b7cd4d446d6f02d8a37912b/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,073fdd2d8b7cd4d446d6f02d8a37912b,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,100.0,deckard.base.model.ModelInitializer,balanced,scale,precomputed,-1,Jaro-Winkler,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
4,07fca97b1c12e582ae019bcda7c402f1,train,deckard.base.experiment.Experiment,07fca97b1c12e582ae019bcda7c402f1,sms_spam,cpu,07fca97b1c12e582ae019bcda7c402f1,07fca97b1c12e582ae019bcda7c402f1,GzipSVC,07fca97b1c12e582ae019bcda7c402f1,07fca97b1c12e582ae019bcda7c402f1,0.87,4.49004093170166,cpu,1709321472.8900588,1709321455.3780403,18.440831749,0.18440831749,cpu,1709321455.3775668,1709321423.929933,32.695913924,0.32695913924,sms_spam/reports/gzip_svc/100-0/train/07fca97b1c12e582ae019bcda7c402f1/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,07fca97b1c12e582ae019bcda7c402f1,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,10.0,deckard.base.model.ModelInitializer,,auto,precomputed,-1,Lzma,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
5,08a3c653b9e5747c080feb13c47c33f9,train,deckard.base.experiment.Experiment,08a3c653b9e5747c080feb13c47c33f9,sms_spam,cpu,08a3c653b9e5747c080feb13c47c33f9,08a3c653b9e5747c080feb13c47c33f9,GzipSVC,08a3c653b9e5747c080feb13c47c33f9,08a3c653b9e5747c080feb13c47c33f9,0.94,2.0723265838623046,cpu,1709321603.4052567,1709321594.7145877,9.268047147,0.09268047147,cpu,1709321594.714327,1709321585.228588,10.004281463,0.10004281463,sms_spam/reports/gzip_svc/100-0/train/08a3c653b9e5747c080feb13c47c33f9/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,08a3c653b9e5747c080feb13c47c33f9,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,10.0,deckard.base.model.ModelInitializer,balanced,scale,rbf,-1,Gzip,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
6,08efee15e76a9c3fb8164e6d0a5ce336,train,deckard.base.experiment.Experiment,08efee15e76a9c3fb8164e6d0a5ce336,sms_spam,cpu,08efee15e76a9c3fb8164e6d0a5ce336,08efee15e76a9c3fb8164e6d0a5ce336,GzipSVC,08efee15e76a9c3fb8164e6d0a5ce336,08efee15e76a9c3fb8164e6d0a5ce336,0.94,2.0723265838623046,cpu,1709321664.1131678,1709321655.1747062,9.651863643,0.09651863643,cpu,1709321655.1744337,1709321646.249598,9.634679147,0.09634679147,sms_spam/reports/gzip_svc/100-0/train/08efee15e76a9c3fb8164e6d0a5ce336/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,08efee15e76a9c3fb8164e6d0a5ce336,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,1.0,deckard.base.model.ModelInitializer,balanced,scale,precomputed,-1,Jaro-Winkler,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
7,0aca5f23911ce070d86ad5490ee5eabb,train,deckard.base.experiment.Experiment,0aca5f23911ce070d86ad5490ee5eabb,sms_spam,cpu,0aca5f23911ce070d86ad5490ee5eabb,0aca5f23911ce070d86ad5490ee5eabb,GzipSVC,0aca5f23911ce070d86ad5490ee5eabb,0aca5f23911ce070d86ad5490ee5eabb,0.98,0.6907755279541016,cpu,1709321665.8279374,1709321656.412807,9.937799589,0.09937799589,cpu,1709321656.41265,1709321646.205577,10.778690555,0.10778690555,sms_spam/reports/gzip_svc/100-0/train/0aca5f23911ce070d86ad5490ee5eabb/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0aca5f23911ce070d86ad5490ee5eabb,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,100.0,deckard.base.model.ModelInitializer,balanced,auto,rbf,-1,Gzip,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
8,0af733f7bf95bc6f0c29d576f16ba22b,train,deckard.base.experiment.Experiment,0af733f7bf95bc6f0c29d576f16ba22b,sms_spam,cpu,0af733f7bf95bc6f0c29d576f16ba22b,0af733f7bf95bc6f0c29d576f16ba22b,GzipSVC,0af733f7bf95bc6f0c29d576f16ba22b,0af733f7bf95bc6f0c29d576f16ba22b,0.13,30.048735466003414,cpu,1709321448.2359247,1709321440.3859177,8.542545418,0.08542545418,cpu,1709321440.3853943,1709321428.9554207,12.635488155,0.12635488155,sms_spam/reports/gzip_svc/100-0/train/0af733f7bf95bc6f0c29d576f16ba22b/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0af733f7bf95bc6f0c29d576f16ba22b,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,0.01,deckard.base.model.ModelInitializer,balanced,auto,precomputed,-1,BZ2,gzip_classifier.GzipSVC,True,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
9,0c9c5e6bb52d0dbd03f4e67789df23ba,train,deckard.base.experiment.Experiment,0c9c5e6bb52d0dbd03f4e67789df23ba,sms_spam,cpu,0c9c5e6bb52d0dbd03f4e67789df23ba,0c9c5e6bb52d0dbd03f4e67789df23ba,GzipSVC,0c9c5e6bb52d0dbd03f4e67789df23ba,0c9c5e6bb52d0dbd03f4e67789df23ba,0.25,25.90408229827881,cpu,1709321359.3402684,1709321342.9190316,17.29822789,0.1729822789,cpu,1709321342.9189055,1709321320.5406024,23.139210364,0.23139210364,sms_spam/reports/gzip_svc/100-0/train/0c9c5e6bb52d0dbd03f4e67789df23ba/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0c9c5e6bb52d0dbd03f4e67789df23ba,predictions.json,reports/gzip_svc/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,100.0,deckard.base.model.ModelInitializer,,auto,precomputed,-1,Lzma,gzip_classifier.GzipSVC,True,Symmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
