,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,files.data_dir,files.data_file,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,model.init.C,model.init.class_weight,model.init.fit_intercept,model.init.max_iter,model.init.penalty,model.init.solver,model.init.tol,id,model.init.gamma,model.init.kernel
0,train,deckard.base.experiment.Experiment,4b167dbd7d25bf36fed1946216bf6b13,SMS Spam,cpu,4b167dbd7d25bf36fed1946216bf6b13,4b167dbd7d25bf36fed1946216bf6b13,k-KNN,4b167dbd7d25bf36fed1946216bf6b13,4b167dbd7d25bf36fed1946216bf6b13,1.16243077,0.0581215385,1723641458.9157095,1723641460.0610657,cpu,6.0739955,0.060739955,1723641460.0611994,1723641465.963663,cpu,0.19,27.976704730926823,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,4b167dbd7d25bf36fed1946216bf6b13,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,63c1738b513a85c831ed6843dca90559,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,20,label,brute,3.0,1,Ratio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,4b167dbd7d25bf36fed1946216bf6b13,,
1,train,deckard.base.experiment.Experiment,4986f7f9c03567da293948093d4fa2f8,SMS Spam,cpu,4986f7f9c03567da293948093d4fa2f8,4986f7f9c03567da293948093d4fa2f8,k-KNN,4986f7f9c03567da293948093d4fa2f8,4986f7f9c03567da293948093d4fa2f8,1.17944728,0.058972364,1723641621.3218906,1723641622.4830315,cpu,6.23515589,0.0623515589,1723641622.4832566,1723641628.519429,cpu,0.23,26.595089707335983,raw_data/sms-spam_undersampled_1450.csv,label,3,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,4986f7f9c03567da293948093d4fa2f8,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,1a23e9a9f0bb0b3239b60e32a3949de1,sklearn,raw_data/sms-spam_undersampled_1450.csv,3,True,True,100,20,label,brute,7.0,1,Jaro-Winkler,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,4986f7f9c03567da293948093d4fa2f8,,
2,train,deckard.base.experiment.Experiment,4985bc7c0c47dcf63f85b5beaf5079f1,SMS Spam,cpu,4985bc7c0c47dcf63f85b5beaf5079f1,4985bc7c0c47dcf63f85b5beaf5079f1,k-KNN,4985bc7c0c47dcf63f85b5beaf5079f1,4985bc7c0c47dcf63f85b5beaf5079f1,1.21974072,0.060987036,1723641495.4145253,1723641496.5597458,cpu,6.57152763,0.0657152763,1723641496.5599868,1723641502.5371356,cpu,0.18,28.32209249487593,raw_data/sms-spam_undersampled_1450.csv,label,2,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,4985bc7c0c47dcf63f85b5beaf5079f1,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,3f3762bb76b0afea903c71ba52ab8337,sklearn,raw_data/sms-spam_undersampled_1450.csv,2,True,True,100,20,label,brute,11.0,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,4985bc7c0c47dcf63f85b5beaf5079f1,,
3,train,deckard.base.experiment.Experiment,47cd662c4f730c6e21c51d1473b1091c,SMS Spam,cpu,47cd662c4f730c6e21c51d1473b1091c,47cd662c4f730c6e21c51d1473b1091c,k-KNN,47cd662c4f730c6e21c51d1473b1091c,47cd662c4f730c6e21c51d1473b1091c,1.19560764,0.059780382,1723641572.2485435,1723641573.3653753,cpu,6.66273738,0.0666273738,1723641573.3656132,1723641579.4661624,cpu,0.22,26.940477471285085,raw_data/sms-spam_undersampled_1450.csv,label,8,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,47cd662c4f730c6e21c51d1473b1091c,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,10678c314205465ef59c9b27a8c9f989,sklearn,raw_data/sms-spam_undersampled_1450.csv,8,True,True,100,20,label,brute,3.0,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,47cd662c4f730c6e21c51d1473b1091c,,
4,train,deckard.base.experiment.Experiment,473568b30cacf5be4f4c0fdef8b06ba7,SMS Spam,cpu,473568b30cacf5be4f4c0fdef8b06ba7,473568b30cacf5be4f4c0fdef8b06ba7,k-KNN,473568b30cacf5be4f4c0fdef8b06ba7,473568b30cacf5be4f4c0fdef8b06ba7,1.19434483,0.0597172415,1723641392.9598188,1723641394.1097918,cpu,6.14591347,0.0614591347,1723641394.1099372,1723641399.9035883,cpu,0.85,5.180816459236602,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,473568b30cacf5be4f4c0fdef8b06ba7,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,ba8c4a7c2589956ff967f28d7f550687,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,100,20,label,brute,11.0,1,GZIP,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,473568b30cacf5be4f4c0fdef8b06ba7,,
5,train,deckard.base.experiment.Experiment,462147d4fa2dd349e28bff8f1252490a,SMS Spam,cpu,462147d4fa2dd349e28bff8f1252490a,462147d4fa2dd349e28bff8f1252490a,k-KNN,462147d4fa2dd349e28bff8f1252490a,462147d4fa2dd349e28bff8f1252490a,1.23364854,0.061682427,1723641587.9423842,1723641589.103693,cpu,6.61208159,0.0661208159,1723641589.1038136,1723641595.0779104,cpu,0.2,27.631308971003413,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,462147d4fa2dd349e28bff8f1252490a,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,ba8c4a7c2589956ff967f28d7f550687,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,100,20,label,brute,3.0,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,462147d4fa2dd349e28bff8f1252490a,,
6,train,deckard.base.experiment.Experiment,40b9bdb8b52c91304943cdeff666c75e,SMS Spam,cpu,40b9bdb8b52c91304943cdeff666c75e,40b9bdb8b52c91304943cdeff666c75e,k-KNN,40b9bdb8b52c91304943cdeff666c75e,40b9bdb8b52c91304943cdeff666c75e,1.2371993,0.061859965,1723641621.32004,1723641622.5118575,cpu,6.46789112,0.0646789112,1723641622.5119972,1723641628.6260452,cpu,0.78,7.598578782726162,raw_data/sms-spam_undersampled_1450.csv,label,2,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,40b9bdb8b52c91304943cdeff666c75e,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,3f3762bb76b0afea903c71ba52ab8337,sklearn,raw_data/sms-spam_undersampled_1450.csv,2,True,True,100,20,label,brute,5.0,1,ZSTD,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,40b9bdb8b52c91304943cdeff666c75e,,
7,train,deckard.base.experiment.Experiment,3fe6952dffb45507bb6e93b3de41c709,SMS Spam,cpu,3fe6952dffb45507bb6e93b3de41c709,3fe6952dffb45507bb6e93b3de41c709,k-KNN,3fe6952dffb45507bb6e93b3de41c709,3fe6952dffb45507bb6e93b3de41c709,1.21324881,0.0606624405,1723641621.3209913,1723641622.4721732,cpu,6.79544427,0.0679544427,1723641622.4723074,1723641628.6049504,cpu,0.13,30.04911927033877,raw_data/sms-spam_undersampled_1450.csv,label,4,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,3fe6952dffb45507bb6e93b3de41c709,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,ba8c4a7c2589956ff967f28d7f550687,sklearn,raw_data/sms-spam_undersampled_1450.csv,4,True,True,100,20,label,brute,11.0,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,3fe6952dffb45507bb6e93b3de41c709,,
8,train,deckard.base.experiment.Experiment,3d7691a79aed202083b955e1bc7a6acb,SMS Spam,cpu,3d7691a79aed202083b955e1bc7a6acb,3d7691a79aed202083b955e1bc7a6acb,k-KNN,3d7691a79aed202083b955e1bc7a6acb,3d7691a79aed202083b955e1bc7a6acb,1.21955652,0.060977826,1723641587.9644768,1723641589.1096692,cpu,6.601196,0.06601196,1723641589.1098351,1723641595.08513,cpu,0.22,26.94050145920799,raw_data/sms-spam_undersampled_1450.csv,label,9,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,3d7691a79aed202083b955e1bc7a6acb,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,5374e37104a8d0be9e6da0eef82278ef,sklearn,raw_data/sms-spam_undersampled_1450.csv,9,True,True,100,20,label,brute,1.0,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,3d7691a79aed202083b955e1bc7a6acb,,
9,train,deckard.base.experiment.Experiment,3377cd9afe430c31a5eb3a644ffbfcdd,SMS Spam,cpu,3377cd9afe430c31a5eb3a644ffbfcdd,3377cd9afe430c31a5eb3a644ffbfcdd,k-KNN,3377cd9afe430c31a5eb3a644ffbfcdd,3377cd9afe430c31a5eb3a644ffbfcdd,1.22481596,0.061240798,1723641495.4089725,1723641496.5917585,cpu,6.21247441,0.0621247441,1723641496.5919006,1723641502.4368913,cpu,0.86,4.835468675159006,raw_data/sms-spam_undersampled_1450.csv,label,7,True,True,100,20,deckard.base.files.FileConfig,.pkl,sms_spam,3377cd9afe430c31a5eb3a644ffbfcdd,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,data,63c1738b513a85c831ed6843dca90559,sklearn,raw_data/sms-spam_undersampled_1450.csv,7,True,True,100,20,label,brute,7.0,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,3377cd9afe430c31a5eb3a644ffbfcdd,,
