,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,Condensing Method,model.init.distance_matrix,model.init.gamma,model.init.kernel,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0095a4d03ea0430c782900010c941723,train,deckard.base.experiment.Experiment,0095a4d03ea0430c782900010c941723,Truthseeker,cpu,0095a4d03ea0430c782900010c941723,0095a4d03ea0430c782900010c941723,k-SVC,0095a4d03ea0430c782900010c941723,0095a4d03ea0430c782900010c941723,0.535,16.060768903868947,cpu,1727408777.8488898,1727408773.2335727,5.67173454,0.01417933635,cpu,1727408773.2334924,1727408763.44728,9.80854705,0.00980854705,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,0095a4d03ea0430c782900010c941723,predictions.json,reports/condense/svc/gzip/0.1/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,987.1312013049152,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.1,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
5bd624e6340c5c112242a73a06d8bd5a,train,deckard.base.experiment.Experiment,5bd624e6340c5c112242a73a06d8bd5a,Truthseeker,cpu,5bd624e6340c5c112242a73a06d8bd5a,5bd624e6340c5c112242a73a06d8bd5a,k-SVC,5bd624e6340c5c112242a73a06d8bd5a,5bd624e6340c5c112242a73a06d8bd5a,0.5275,16.31982771777296,cpu,1727413601.056363,1727413577.680524,28.73659127,0.071841478175,cpu,1727413577.6804276,1727413568.201517,9.51515753,0.00951515753,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,5bd624e6340c5c112242a73a06d8bd5a,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,146.9970675913035,,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
5e7383f954103b7aec5e0ca225b779bb,train,deckard.base.experiment.Experiment,5e7383f954103b7aec5e0ca225b779bb,Truthseeker,cpu,5e7383f954103b7aec5e0ca225b779bb,5e7383f954103b7aec5e0ca225b779bb,k-SVC,5e7383f954103b7aec5e0ca225b779bb,5e7383f954103b7aec5e0ca225b779bb,0.5725,14.765512815226836,cpu,1727413827.6162906,1727413805.3753996,27.31184501,0.068279612525,cpu,1727413805.3753114,1727413795.403661,9.9956822,0.0099956822,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,5e7383f954103b7aec5e0ca225b779bb,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,990.9295242387072,,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
5fbb62f712288b273e6f22df83267278,train,deckard.base.experiment.Experiment,5fbb62f712288b273e6f22df83267278,Truthseeker,cpu,5fbb62f712288b273e6f22df83267278,5fbb62f712288b273e6f22df83267278,k-SVC,5fbb62f712288b273e6f22df83267278,5fbb62f712288b273e6f22df83267278,0.5725,14.765504819252532,cpu,1727413444.656413,1727413421.678159,27.9179973,0.06979499325,cpu,1727413421.6780648,1727413411.2040873,10.49840761,0.01049840761,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,5fbb62f712288b273e6f22df83267278,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,976.93740176914,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
606e471df89f349fdd3d7b3809438ad7,train,deckard.base.experiment.Experiment,606e471df89f349fdd3d7b3809438ad7,Truthseeker,cpu,606e471df89f349fdd3d7b3809438ad7,606e471df89f349fdd3d7b3809438ad7,k-SVC,606e471df89f349fdd3d7b3809438ad7,606e471df89f349fdd3d7b3809438ad7,0.5275,16.319821720792234,cpu,1727413602.149861,1727413577.6746838,29.73875069,0.074346876725,cpu,1727413577.6745892,1727413568.1912918,9.51120218,0.00951120218,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,606e471df89f349fdd3d7b3809438ad7,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,159.49398893348547,,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
60bab24a642b14bd159e4963d21c719f,train,deckard.base.experiment.Experiment,60bab24a642b14bd159e4963d21c719f,Truthseeker,cpu,60bab24a642b14bd159e4963d21c719f,60bab24a642b14bd159e4963d21c719f,k-SVC,60bab24a642b14bd159e4963d21c719f,60bab24a642b14bd159e4963d21c719f,0.59,14.161046247437964,cpu,1727413638.7341645,1727413615.0675728,28.87192685,0.072179817125,cpu,1727413615.0674798,1727413605.4666696,9.62490991,0.00962490991,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,60bab24a642b14bd159e4963d21c719f,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,963.7430473416424,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
6284b3c3e5f1549574686c12dbe7d22f,train,deckard.base.experiment.Experiment,6284b3c3e5f1549574686c12dbe7d22f,Truthseeker,cpu,6284b3c3e5f1549574686c12dbe7d22f,6284b3c3e5f1549574686c12dbe7d22f,k-SVC,6284b3c3e5f1549574686c12dbe7d22f,6284b3c3e5f1549574686c12dbe7d22f,0.5075,17.01057525976112,cpu,1727413308.4578967,1727413285.2080305,28.33779216,0.0708444804,cpu,1727413285.207929,1727413284.9726906,0.26688861,0.00026688861,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,6284b3c3e5f1549574686c12dbe7d22f,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,6.638874274206269,,Medoid,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,precomputed,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
6385ccedeef0df073b23a6406a1800af,train,deckard.base.experiment.Experiment,6385ccedeef0df073b23a6406a1800af,Truthseeker,cpu,6385ccedeef0df073b23a6406a1800af,6385ccedeef0df073b23a6406a1800af,k-SVC,6385ccedeef0df073b23a6406a1800af,6385ccedeef0df073b23a6406a1800af,0.57,14.851853759233386,cpu,1727413350.103611,1727413327.247638,27.97456646,0.06993641615,cpu,1727413327.2475443,1727413326.6644976,0.61218477,0.00061218477,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,6385ccedeef0df073b23a6406a1800af,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,952.7142024527056,balanced,NearMiss,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
573e903c61e0338be814781a896429b6,train,deckard.base.experiment.Experiment,573e903c61e0338be814781a896429b6,Truthseeker,cpu,573e903c61e0338be814781a896429b6,573e903c61e0338be814781a896429b6,k-SVC,573e903c61e0338be814781a896429b6,573e903c61e0338be814781a896429b6,0.5425,15.80150619262024,cpu,1727413434.42212,1727413411.477967,27.6887982,0.0692219955,cpu,1727413411.4778445,1727413411.2046485,0.30492419,0.00030492419,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,573e903c61e0338be814781a896429b6,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,47.23823469002688,,Sum,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
650c10fa0c86162a2fe1bc2c1e8f54cd,train,deckard.base.experiment.Experiment,650c10fa0c86162a2fe1bc2c1e8f54cd,Truthseeker,cpu,650c10fa0c86162a2fe1bc2c1e8f54cd,650c10fa0c86162a2fe1bc2c1e8f54cd,k-SVC,650c10fa0c86162a2fe1bc2c1e8f54cd,650c10fa0c86162a2fe1bc2c1e8f54cd,0.4925,17.528520974121644,cpu,1727413628.1327243,1727413605.680235,26.89637782,0.06724094455,cpu,1727413605.6801364,1727413605.4516923,0.2600446,0.0002600446,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,650c10fa0c86162a2fe1bc2c1e8f54cd,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,979.0124912848768,,Sum,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,precomputed,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
