,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
037e7bc3be6e8f6d26be14ad966cd932,train,deckard.base.experiment.Experiment,037e7bc3be6e8f6d26be14ad966cd932,Truthseeker,cpu,037e7bc3be6e8f6d26be14ad966cd932,037e7bc3be6e8f6d26be14ad966cd932,k-KNN,037e7bc3be6e8f6d26be14ad966cd932,037e7bc3be6e8f6d26be14ad966cd932,0.51,16.924136365069366,cpu,1725635970.8682554,1725635969.7229345,1.21943105,0.0121943105,cpu,1725635969.7224464,1725635968.866569,0.89784978,0.0089784978,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,037e7bc3be6e8f6d26be14ad966cd932,predictions.json,reports/gzip_knn/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,brute,3,1,Jaro,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
78aaeb22e25cffef718db10e0641bfd0,train,deckard.base.experiment.Experiment,78aaeb22e25cffef718db10e0641bfd0,Truthseeker,cpu,78aaeb22e25cffef718db10e0641bfd0,78aaeb22e25cffef718db10e0641bfd0,k-KNN,78aaeb22e25cffef718db10e0641bfd0,78aaeb22e25cffef718db10e0641bfd0,0.5,17.269660060581604,cpu,1725669173.84533,1725669063.4743557,119.5228228,1.195228228,cpu,1725669063.4730997,1725668903.5602534,172.8264541,0.5760881803333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,78aaeb22e25cffef718db10e0641bfd0,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,5,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
76209fd690904c2840307ba1eb1b23a0,train,deckard.base.experiment.Experiment,76209fd690904c2840307ba1eb1b23a0,Truthseeker,cpu,76209fd690904c2840307ba1eb1b23a0,76209fd690904c2840307ba1eb1b23a0,k-KNN,76209fd690904c2840307ba1eb1b23a0,76209fd690904c2840307ba1eb1b23a0,0.62,13.124910941500705,cpu,1725669327.5375018,1725669324.0105298,4.17799145,0.0417799145,cpu,1725669324.0104384,1725669318.5852013,6.4418747,0.0214729156666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,76209fd690904c2840307ba1eb1b23a0,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,1,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
752c072f2647cb362e7cb654d34a643b,train,deckard.base.experiment.Experiment,752c072f2647cb362e7cb654d34a643b,Truthseeker,cpu,752c072f2647cb362e7cb654d34a643b,752c072f2647cb362e7cb654d34a643b,k-KNN,752c072f2647cb362e7cb654d34a643b,752c072f2647cb362e7cb654d34a643b,0.52,16.578860544760488,cpu,1725668517.9111176,1725668472.0277703,51.62717933,0.5162717933,cpu,1725668472.026964,1725668402.1543665,78.51145024,0.2617048341333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,752c072f2647cb362e7cb654d34a643b,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
6d96a12e9180148fc138926262140410,train,deckard.base.experiment.Experiment,6d96a12e9180148fc138926262140410,Truthseeker,cpu,6d96a12e9180148fc138926262140410,6d96a12e9180148fc138926262140410,k-KNN,6d96a12e9180148fc138926262140410,6d96a12e9180148fc138926262140410,0.48,17.960379616659708,cpu,1725668174.9228923,1725668095.581518,87.09619789,0.8709619789,cpu,1725668095.5806696,1725667967.2022622,139.63809827,0.4654603275666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,100,300,deckard.base.files.FileConfig,data,8dc78f984c4ae3dd15c16fe01e752456,.pkl,truthseeker,6d96a12e9180148fc138926262140410,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,100,300,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
68a5327ffd739da5ff22b55fc8ea80aa,train,deckard.base.experiment.Experiment,68a5327ffd739da5ff22b55fc8ea80aa,Truthseeker,cpu,68a5327ffd739da5ff22b55fc8ea80aa,68a5327ffd739da5ff22b55fc8ea80aa,k-KNN,68a5327ffd739da5ff22b55fc8ea80aa,68a5327ffd739da5ff22b55fc8ea80aa,0.59,14.161106217245228,cpu,1725668534.0674484,1725668530.4564486,4.25249899,0.0425249899,cpu,1725668530.4563053,1725668524.6353922,6.97452097,0.0232484032333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,68a5327ffd739da5ff22b55fc8ea80aa,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,3,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
668dc00a89616f4e19f64ada7b1b5e09,train,deckard.base.experiment.Experiment,668dc00a89616f4e19f64ada7b1b5e09,Truthseeker,cpu,668dc00a89616f4e19f64ada7b1b5e09,668dc00a89616f4e19f64ada7b1b5e09,k-KNN,668dc00a89616f4e19f64ada7b1b5e09,668dc00a89616f4e19f64ada7b1b5e09,0.46,18.651339051966865,cpu,1725668412.3746698,1725668410.0225532,2.44811125,0.0244811125,cpu,1725668410.0223897,1725668406.7390168,3.40020749,0.0113340249666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,668dc00a89616f4e19f64ada7b1b5e09,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,5,1,Jaro,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
650a9c08a5b590f5efdf3e46343205bf,train,deckard.base.experiment.Experiment,650a9c08a5b590f5efdf3e46343205bf,Truthseeker,cpu,650a9c08a5b590f5efdf3e46343205bf,650a9c08a5b590f5efdf3e46343205bf,k-KNN,650a9c08a5b590f5efdf3e46343205bf,650a9c08a5b590f5efdf3e46343205bf,0.56,15.197285501041154,cpu,1725668517.5412831,1725668471.4759429,51.98031169,0.5198031169,cpu,1725668471.4747422,1725668402.216918,77.4776819,0.2582589396666667,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,9,True,True,100,300,deckard.base.files.FileConfig,data,83efe59ce3b45802e95886b3333c7873,.pkl,truthseeker,650a9c08a5b590f5efdf3e46343205bf,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,9,True,True,100,300,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
601b64688375c4256f5eefc39d3ab5f1,train,deckard.base.experiment.Experiment,601b64688375c4256f5eefc39d3ab5f1,Truthseeker,cpu,601b64688375c4256f5eefc39d3ab5f1,601b64688375c4256f5eefc39d3ab5f1,k-KNN,601b64688375c4256f5eefc39d3ab5f1,601b64688375c4256f5eefc39d3ab5f1,0.53,16.23360071640021,cpu,1725667544.0352468,1725667541.0878303,3.11316612,0.0311316612,cpu,1725667541.087462,1725667536.9800136,4.32057985,0.0144019328333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,9,True,True,100,300,deckard.base.files.FileConfig,data,83efe59ce3b45802e95886b3333c7873,.pkl,truthseeker,601b64688375c4256f5eefc39d3ab5f1,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,9,True,True,100,300,BotScoreBinary,brute,3,1,Jaro-Winkler,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
58b3a6354802b20176f0eda62e5c758d,train,deckard.base.experiment.Experiment,58b3a6354802b20176f0eda62e5c758d,Truthseeker,cpu,58b3a6354802b20176f0eda62e5c758d,58b3a6354802b20176f0eda62e5c758d,k-KNN,58b3a6354802b20176f0eda62e5c758d,58b3a6354802b20176f0eda62e5c758d,0.44,19.341978648301943,cpu,1725669189.1240578,1725669186.9696026,2.18806553,0.0218806553,cpu,1725669186.9692762,1725669183.855077,3.18353315,0.0106117771666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,300,deckard.base.files.FileConfig,data,df625874ecb0abdc811c4f0a54af3428,.pkl,truthseeker,58b3a6354802b20176f0eda62e5c758d,predictions.json,reports/gzip_knn/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,300,BotScoreBinary,brute,7,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
