,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
0395660704a9acd7a277ba15892af7fa,train,deckard.base.experiment.Experiment,0395660704a9acd7a277ba15892af7fa,Truthseeker,cpu,0395660704a9acd7a277ba15892af7fa,0395660704a9acd7a277ba15892af7fa,k-Logistic,0395660704a9acd7a277ba15892af7fa,0395660704a9acd7a277ba15892af7fa,0.56,15.197245521169643,cpu,1725637051.970384,1725637050.7434187,1.39914589,0.0139914589,cpu,1725637050.7433512,1725637049.4398224,1.45148932,0.0145148932,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,100,deckard.base.files.FileConfig,data,e0766b213ed5375bf64f44dfeb3bf532,.pkl,truthseeker,0395660704a9acd7a277ba15892af7fa,predictions.json,reports/gzip_logistic/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,100,BotScoreBinary,309.3641912228896,balanced,True,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Asymmetric,0.0001040066719069,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4c0b36fdb9af804bfcfcb0098df7e6ad,train,deckard.base.experiment.Experiment,4c0b36fdb9af804bfcfcb0098df7e6ad,Truthseeker,cpu,4c0b36fdb9af804bfcfcb0098df7e6ad,4c0b36fdb9af804bfcfcb0098df7e6ad,k-Logistic,4c0b36fdb9af804bfcfcb0098df7e6ad,4c0b36fdb9af804bfcfcb0098df7e6ad,0.62,13.124886953577798,cpu,1725671839.5352354,1725671835.1916711,7.30918059,0.0730918059,cpu,1725671835.191579,1725671827.9543433,11.67759555,0.0389253185,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,4c0b36fdb9af804bfcfcb0098df7e6ad,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,25.72987205523317,balanced,False,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001698970090276,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4df8fc12c79b8bcfa89795de5eeaef8f,train,deckard.base.experiment.Experiment,4df8fc12c79b8bcfa89795de5eeaef8f,Truthseeker,cpu,4df8fc12c79b8bcfa89795de5eeaef8f,4df8fc12c79b8bcfa89795de5eeaef8f,k-Logistic,4df8fc12c79b8bcfa89795de5eeaef8f,4df8fc12c79b8bcfa89795de5eeaef8f,0.56,15.197277505066854,cpu,1725672057.6955266,1725672054.195263,3.98981969,0.0398981969,cpu,1725672054.1951756,1725672047.933779,7.06511108,0.0235503702666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,4df8fc12c79b8bcfa89795de5eeaef8f,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,23.49612096500147,balanced,True,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001844087044447,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4fd8ddbe358e7d67006c389827c32d78,train,deckard.base.experiment.Experiment,4fd8ddbe358e7d67006c389827c32d78,Truthseeker,cpu,4fd8ddbe358e7d67006c389827c32d78,4fd8ddbe358e7d67006c389827c32d78,k-Logistic,4fd8ddbe358e7d67006c389827c32d78,4fd8ddbe358e7d67006c389827c32d78,0.6,13.815654485501708,cpu,1725672291.784533,1725672289.5333507,2.33046681,0.0233046681,cpu,1725672289.5332646,1725672285.5484004,4.09528878,0.0136509626,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,100,300,deckard.base.files.FileConfig,data,8dc78f984c4ae3dd15c16fe01e752456,.pkl,truthseeker,4fd8ddbe358e7d67006c389827c32d78,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,100,300,BotScoreBinary,0.5371943668548831,balanced,True,1,1000,Jaro,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001303357330553,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4ff118a5a714dd2858a95fcbf6fbf66e,train,deckard.base.experiment.Experiment,4ff118a5a714dd2858a95fcbf6fbf66e,Truthseeker,cpu,4ff118a5a714dd2858a95fcbf6fbf66e,4ff118a5a714dd2858a95fcbf6fbf66e,k-Logistic,4ff118a5a714dd2858a95fcbf6fbf66e,4ff118a5a714dd2858a95fcbf6fbf66e,0.6,13.81567047745031,cpu,1725672022.0036483,1725672017.7779093,7.16940676,0.0716940676,cpu,1725672017.7778327,1725672010.5975292,11.59556222,0.0386518740666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,4ff118a5a714dd2858a95fcbf6fbf66e,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,14.59876488599573,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001120861034081,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
50ec08bf9766a0f27e8428629b7dfa1d,train,deckard.base.experiment.Experiment,50ec08bf9766a0f27e8428629b7dfa1d,Truthseeker,cpu,50ec08bf9766a0f27e8428629b7dfa1d,50ec08bf9766a0f27e8428629b7dfa1d,k-Logistic,50ec08bf9766a0f27e8428629b7dfa1d,50ec08bf9766a0f27e8428629b7dfa1d,0.5,17.269612084735794,cpu,1725672128.622501,1725672126.386858,2.2788782,0.022788782,cpu,1725672126.386758,1725672122.5472963,3.9483617,0.0131612056666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,50ec08bf9766a0f27e8428629b7dfa1d,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,547.8300381886984,balanced,True,1,1000,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001147602081647,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5724ec6cc19a9f151483b7473be829f2,train,deckard.base.experiment.Experiment,5724ec6cc19a9f151483b7473be829f2,Truthseeker,cpu,5724ec6cc19a9f151483b7473be829f2,5724ec6cc19a9f151483b7473be829f2,k-Logistic,5724ec6cc19a9f151483b7473be829f2,5724ec6cc19a9f151483b7473be829f2,0.53,16.233440796914174,cpu,1725672077.973831,1725672073.6335416,7.17412494,0.0717412494,cpu,1725672073.633462,1725672066.8207493,11.23200059,0.0374400019666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,5724ec6cc19a9f151483b7473be829f2,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,19.15168522263565,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0802325922059876,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
57f65e06a279899aa0ea67dfc268bb29,train,deckard.base.experiment.Experiment,57f65e06a279899aa0ea67dfc268bb29,Truthseeker,cpu,57f65e06a279899aa0ea67dfc268bb29,57f65e06a279899aa0ea67dfc268bb29,k-Logistic,57f65e06a279899aa0ea67dfc268bb29,57f65e06a279899aa0ea67dfc268bb29,0.61,13.470274717526904,cpu,1725672097.0398643,1725672092.644134,7.29018475,0.0729018475,cpu,1725672092.6440542,1725672085.4686515,11.5669092,0.038556364,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,57f65e06a279899aa0ea67dfc268bb29,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,274.1133830448943,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001002660196809,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
58f99b9dd859f07b2c56841252b9ae20,train,deckard.base.experiment.Experiment,58f99b9dd859f07b2c56841252b9ae20,Truthseeker,cpu,58f99b9dd859f07b2c56841252b9ae20,58f99b9dd859f07b2c56841252b9ae20,k-Logistic,58f99b9dd859f07b2c56841252b9ae20,58f99b9dd859f07b2c56841252b9ae20,0.61,13.470274717526904,cpu,1725672164.3418314,1725672159.9223351,7.32185378,0.0732185378,cpu,1725672159.9222226,1725672152.22289,12.14707229,0.0404902409666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,58f99b9dd859f07b2c56841252b9ae20,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,187.0615770009996,,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001268730921322,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5abcb82f4211dbb2c63cccd684514638,train,deckard.base.experiment.Experiment,5abcb82f4211dbb2c63cccd684514638,Truthseeker,cpu,5abcb82f4211dbb2c63cccd684514638,5abcb82f4211dbb2c63cccd684514638,k-Logistic,5abcb82f4211dbb2c63cccd684514638,5abcb82f4211dbb2c63cccd684514638,0.61,13.470274717526904,cpu,1725672096.964538,1725672092.6378484,7.22108494,0.0722108494,cpu,1725672092.6377738,1725672085.4247825,11.60472863,0.0386824287666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,5abcb82f4211dbb2c63cccd684514638,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,275.70583591721856,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.386493225186675e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
