,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
1ccce6e6f4500be5b97b4ff776a1bc0a,train,deckard.base.experiment.Experiment,1ccce6e6f4500be5b97b4ff776a1bc0a,Truthseeker,cpu,1ccce6e6f4500be5b97b4ff776a1bc0a,1ccce6e6f4500be5b97b4ff776a1bc0a,k-KNN,1ccce6e6f4500be5b97b4ff776a1bc0a,1ccce6e6f4500be5b97b4ff776a1bc0a,0.5475,15.62904219490687,cpu,1725767927.6146264,1725767918.988377,9.41284648,0.0235321162,cpu,1725767918.9879818,1725767917.7668867,1.31945724,0.0131945724,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,100,deckard.base.files.FileConfig,data,c606dd19ec9f53c5e2f3db6942c6450b,.pkl,truthseeker,1ccce6e6f4500be5b97b4ff776a1bc0a,predictions.json,reports/modified//gzip_knn/100/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,100,BotScoreBinary,brute,11,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e5824dc0b8559037f6d3fd5bdcefafd6,train,deckard.base.experiment.Experiment,e5824dc0b8559037f6d3fd5bdcefafd6,Truthseeker,cpu,e5824dc0b8559037f6d3fd5bdcefafd6,e5824dc0b8559037f6d3fd5bdcefafd6,k-KNN,e5824dc0b8559037f6d3fd5bdcefafd6,e5824dc0b8559037f6d3fd5bdcefafd6,0.48,17.96047157036418,cpu,1725757684.1536398,1725757682.85441,1.3571137,0.00339278425,cpu,1725757682.8540907,1725757682.7598653,0.0895144,0.00447572,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,7,True,True,400,20,deckard.base.files.FileConfig,data,622648e449d34b420fb8d54f53e827ab,.pkl,truthseeker,e5824dc0b8559037f6d3fd5bdcefafd6,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,7,True,True,400,20,BotScoreBinary,brute,1,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e388318411f70ad80d9127a3346ce97e,train,deckard.base.experiment.Experiment,e388318411f70ad80d9127a3346ce97e,Truthseeker,cpu,e388318411f70ad80d9127a3346ce97e,e388318411f70ad80d9127a3346ce97e,k-KNN,e388318411f70ad80d9127a3346ce97e,e388318411f70ad80d9127a3346ce97e,0.5075,17.01048930303737,cpu,1725757684.3086004,1725757682.9740696,1.39777059,0.003494426475,cpu,1725757682.973937,1725757682.8895133,0.08742766,0.004371383,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,400,20,deckard.base.files.FileConfig,data,5fd677636b3277f24cc8b9edc171d053,.pkl,truthseeker,e388318411f70ad80d9127a3346ce97e,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,400,20,BotScoreBinary,brute,7,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e351d835a25bba2482ee0eb2f02c4deb,train,deckard.base.experiment.Experiment,e351d835a25bba2482ee0eb2f02c4deb,Truthseeker,cpu,e351d835a25bba2482ee0eb2f02c4deb,e351d835a25bba2482ee0eb2f02c4deb,k-KNN,e351d835a25bba2482ee0eb2f02c4deb,e351d835a25bba2482ee0eb2f02c4deb,0.5525,15.456298338092928,cpu,1727425782.4532297,1727425781.84749,0.64258602,0.00160646505,cpu,1727425781.8471804,1727425781.7559063,0.09368765,0.0046843825,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,e351d835a25bba2482ee0eb2f02c4deb,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
e31512294c079ebbd99e8027d3cbaa25,train,deckard.base.experiment.Experiment,e31512294c079ebbd99e8027d3cbaa25,Truthseeker,cpu,e31512294c079ebbd99e8027d3cbaa25,e31512294c079ebbd99e8027d3cbaa25,k-KNN,e31512294c079ebbd99e8027d3cbaa25,e31512294c079ebbd99e8027d3cbaa25,0.5025,17.183319116575056,cpu,1727425756.452282,1727425755.7829611,0.73110983,0.001827774575,cpu,1727425755.782648,1727425755.681865,0.10305293,0.0051526465,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,9,True,True,400,20,deckard.base.files.FileConfig,data,46e505f845e5aa943e6ba65b9643a064,.pkl,truthseeker,e31512294c079ebbd99e8027d3cbaa25,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,9,True,True,400,20,BotScoreBinary,brute,1,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
deba9198cb921e32da3914a9a034bd52,train,deckard.base.experiment.Experiment,deba9198cb921e32da3914a9a034bd52,Truthseeker,cpu,deba9198cb921e32da3914a9a034bd52,deba9198cb921e32da3914a9a034bd52,k-KNN,deba9198cb921e32da3914a9a034bd52,deba9198cb921e32da3914a9a034bd52,0.5375,15.974417964894524,cpu,1727425765.0637338,1727425763.9082017,1.39931063,0.003498276575,cpu,1727425763.9080932,1727425763.7255857,0.19876875,0.0099384375,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,deba9198cb921e32da3914a9a034bd52,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,brute,1,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
db585a02e9751032995056df3270c3c2,train,deckard.base.experiment.Experiment,db585a02e9751032995056df3270c3c2,Truthseeker,cpu,db585a02e9751032995056df3270c3c2,db585a02e9751032995056df3270c3c2,k-KNN,db585a02e9751032995056df3270c3c2,db585a02e9751032995056df3270c3c2,0.4575,18.73765600805051,cpu,1725757610.4722333,1725757598.4902308,12.26342947,0.030658573675,cpu,1725757598.489885,1725757598.0654457,0.42550653,0.0212753265,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,db585a02e9751032995056df3270c3c2,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,brute,7,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d9f3b86814bd562b338e68912d72c2cb,train,deckard.base.experiment.Experiment,d9f3b86814bd562b338e68912d72c2cb,Truthseeker,cpu,d9f3b86814bd562b338e68912d72c2cb,d9f3b86814bd562b338e68912d72c2cb,k-KNN,d9f3b86814bd562b338e68912d72c2cb,d9f3b86814bd562b338e68912d72c2cb,0.58,14.50647399125858,cpu,1727425655.2327816,1727425654.6823924,0.57194767,0.001429869175,cpu,1727425654.6820998,1727425654.585841,0.09840505,0.0049202525,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,d9f3b86814bd562b338e68912d72c2cb,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,brute,1,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d95a3feaa76ba0de50a7ded16889de49,train,deckard.base.experiment.Experiment,d95a3feaa76ba0de50a7ded16889de49,Truthseeker,cpu,d95a3feaa76ba0de50a7ded16889de49,d95a3feaa76ba0de50a7ded16889de49,k-KNN,d95a3feaa76ba0de50a7ded16889de49,d95a3feaa76ba0de50a7ded16889de49,0.49,17.61487191309607,cpu,1725757758.6435306,1725757757.4299915,1.25304631,0.003132615775,cpu,1725757757.4297202,1725757757.3252614,0.10729099,0.0053645495,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,400,20,deckard.base.files.FileConfig,data,5fd677636b3277f24cc8b9edc171d053,.pkl,truthseeker,d95a3feaa76ba0de50a7ded16889de49,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,400,20,BotScoreBinary,brute,5,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
d7d87316eb0469979c8ccb83d7b9c3a5,train,deckard.base.experiment.Experiment,d7d87316eb0469979c8ccb83d7b9c3a5,Truthseeker,cpu,d7d87316eb0469979c8ccb83d7b9c3a5,d7d87316eb0469979c8ccb83d7b9c3a5,k-KNN,d7d87316eb0469979c8ccb83d7b9c3a5,d7d87316eb0469979c8ccb83d7b9c3a5,0.5225,16.49232769737069,cpu,1725757758.5736182,1725757757.2744856,1.35761799,0.003394044975,cpu,1725757757.274337,1725757757.1885448,0.08969116,0.004484558,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,8,True,True,400,20,deckard.base.files.FileConfig,data,f852a819f8eb07c0677196f0137a9af0,.pkl,truthseeker,d7d87316eb0469979c8ccb83d7b9c3a5,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,8,True,True,400,20,BotScoreBinary,brute,7,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
