,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
00a4935f856daa45871e4ce93e666737,train,deckard.base.experiment.Experiment,00a4935f856daa45871e4ce93e666737,Truthseeker,cpu,00a4935f856daa45871e4ce93e666737,00a4935f856daa45871e4ce93e666737,k-Logistic,00a4935f856daa45871e4ce93e666737,00a4935f856daa45871e4ce93e666737,0.525,16.406118686940122,cpu,1727425247.614244,1727425244.8276105,2.84302512,0.0071075628,cpu,1727425244.8275335,1727425244.298966,0.58540603,0.0058540603,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,8,True,True,400,100,deckard.base.files.FileConfig,data,25ac16e11e966358fe0873b3e251242d,.pkl,truthseeker,00a4935f856daa45871e4ce93e666737,predictions.json,reports/modified/gzip_logistic/100/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,8,True,True,400,100,BotScoreBinary,0.4919977419109884,,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.502203467505503e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a97aa7d30462ce47ba48ad61687aa4b5,train,deckard.base.experiment.Experiment,a97aa7d30462ce47ba48ad61687aa4b5,Truthseeker,cpu,a97aa7d30462ce47ba48ad61687aa4b5,a97aa7d30462ce47ba48ad61687aa4b5,k-Logistic,a97aa7d30462ce47ba48ad61687aa4b5,a97aa7d30462ce47ba48ad61687aa4b5,0.53,16.23339482006194,cpu,1725807882.99851,1725807865.9441383,17.30799352,0.0432699838,cpu,1725807865.944057,1725807857.6888857,8.48546861,0.0282848953666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,a97aa7d30462ce47ba48ad61687aa4b5,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,1.0692706370492255,balanced,False,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,1.3987949662638616e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
ace4cdb57ad3a57a3af77ca7a8f43ca1,train,deckard.base.experiment.Experiment,ace4cdb57ad3a57a3af77ca7a8f43ca1,Truthseeker,cpu,ace4cdb57ad3a57a3af77ca7a8f43ca1,ace4cdb57ad3a57a3af77ca7a8f43ca1,k-Logistic,ace4cdb57ad3a57a3af77ca7a8f43ca1,ace4cdb57ad3a57a3af77ca7a8f43ca1,0.5325,16.147045880081087,cpu,1725807882.6399384,1725807865.300091,17.7386643,0.04434666075,cpu,1725807865.3000057,1725807857.6639369,7.80305931,0.0260101977,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,ace4cdb57ad3a57a3af77ca7a8f43ca1,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,0.6287791586944795,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.4912508724340164e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
aff5d0b94d383366f4e957ba1793f58f,train,deckard.base.experiment.Experiment,aff5d0b94d383366f4e957ba1793f58f,Truthseeker,cpu,aff5d0b94d383366f4e957ba1793f58f,aff5d0b94d383366f4e957ba1793f58f,k-Logistic,aff5d0b94d383366f4e957ba1793f58f,aff5d0b94d383366f4e957ba1793f58f,0.4825,17.874026678691703,cpu,1725807177.7556975,1725807160.4385855,17.6713797,0.04417844925,cpu,1725807160.438499,1725807152.8890996,7.70662815,0.0256887605,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,400,300,deckard.base.files.FileConfig,data,64fcf86e0f8cc6ea4d57c39ce1762a8c,.pkl,truthseeker,aff5d0b94d383366f4e957ba1793f58f,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,400,300,BotScoreBinary,0.3742534446757698,balanced,True,1,1000,Jaro-Winkler,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.0614177760575685e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b023476d909940df01cc105466bbe663,train,deckard.base.experiment.Experiment,b023476d909940df01cc105466bbe663,Truthseeker,cpu,b023476d909940df01cc105466bbe663,b023476d909940df01cc105466bbe663,k-Logistic,b023476d909940df01cc105466bbe663,b023476d909940df01cc105466bbe663,0.505,17.09691820276124,cpu,1725808147.7795515,1725808130.0818903,18.14239571,0.045355989275,cpu,1725808130.0818052,1725808122.380103,7.89603231,0.0263201077,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,400,300,deckard.base.files.FileConfig,data,64fcf86e0f8cc6ea4d57c39ce1762a8c,.pkl,truthseeker,b023476d909940df01cc105466bbe663,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,400,300,BotScoreBinary,0.3374588382413759,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.8891507511750557e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b38ffd017183587aa65f48e9651704b2,train,deckard.base.experiment.Experiment,b38ffd017183587aa65f48e9651704b2,Truthseeker,cpu,b38ffd017183587aa65f48e9651704b2,b38ffd017183587aa65f48e9651704b2,k-Logistic,b38ffd017183587aa65f48e9651704b2,b38ffd017183587aa65f48e9651704b2,0.5275,16.319743760042787,cpu,1725807883.0056722,1725807865.63416,17.70192445,0.044254811125,cpu,1725807865.634079,1725807857.6715722,8.13461143,0.0271153714333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,b38ffd017183587aa65f48e9651704b2,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,0.280250913757838,balanced,False,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001823487655308,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b46365071b0add955582e9f88ac55958,train,deckard.base.experiment.Experiment,b46365071b0add955582e9f88ac55958,Truthseeker,cpu,b46365071b0add955582e9f88ac55958,b46365071b0add955582e9f88ac55958,k-Logistic,b46365071b0add955582e9f88ac55958,b46365071b0add955582e9f88ac55958,0.475,18.133057506685656,cpu,1725807882.8326638,1725807865.7250192,17.86739625,0.044668490625,cpu,1725807865.724942,1725807857.6681366,8.27833007,0.0275944335666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,b46365071b0add955582e9f88ac55958,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,1.641379596345033,balanced,False,1,1000,Jaro,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,3.115160407713314e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b4fe94bfc9da0b5713029fafd7ef6751,train,deckard.base.experiment.Experiment,b4fe94bfc9da0b5713029fafd7ef6751,Truthseeker,cpu,b4fe94bfc9da0b5713029fafd7ef6751,b4fe94bfc9da0b5713029fafd7ef6751,k-Logistic,b4fe94bfc9da0b5713029fafd7ef6751,b4fe94bfc9da0b5713029fafd7ef6751,0.5325,16.147045880081087,cpu,1725808219.454344,1725808202.1323462,17.65733412,0.0441433353,cpu,1725808202.1322677,1725808194.4875329,7.82015684,0.0260671894666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,b4fe94bfc9da0b5713029fafd7ef6751,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,1.3938899176243915,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,3.018607988827642e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b693379d1efa39ac0a7a98de050bb735,train,deckard.base.experiment.Experiment,b693379d1efa39ac0a7a98de050bb735,Truthseeker,cpu,b693379d1efa39ac0a7a98de050bb735,b693379d1efa39ac0a7a98de050bb735,k-Logistic,b693379d1efa39ac0a7a98de050bb735,b693379d1efa39ac0a7a98de050bb735,0.5325,16.147045880081087,cpu,1725808149.6358123,1725808131.6480372,18.38253957,0.045956348925,cpu,1725808131.647951,1725808124.1238408,7.68992522,0.0256330840666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,b693379d1efa39ac0a7a98de050bb735,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,0.9713041343315354,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.092225443184652e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b86b0804fa8c0214fba33a33c2aec112,train,deckard.base.experiment.Experiment,b86b0804fa8c0214fba33a33c2aec112,Truthseeker,cpu,b86b0804fa8c0214fba33a33c2aec112,b86b0804fa8c0214fba33a33c2aec112,k-Logistic,b86b0804fa8c0214fba33a33c2aec112,b86b0804fa8c0214fba33a33c2aec112,0.5325,16.147045880081087,cpu,1725808219.465762,1725808202.1623578,17.78598921,0.044464973025,cpu,1725808202.1622767,1725808194.4846709,7.8459557,0.0261531856666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,b86b0804fa8c0214fba33a33c2aec112,predictions.json,reports/modified//gzip_logistic/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,1.415877261436162,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.302276659893477e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
