,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
013279ae44afb76bb7dbad59e13894f6,train,deckard.base.experiment.Experiment,013279ae44afb76bb7dbad59e13894f6,Truthseeker,cpu,013279ae44afb76bb7dbad59e13894f6,013279ae44afb76bb7dbad59e13894f6,k-SVC,013279ae44afb76bb7dbad59e13894f6,013279ae44afb76bb7dbad59e13894f6,0.58,14.50650197716864,cpu,1725768974.9467902,1725768969.2862072,5.78298626,0.01445746565,cpu,1725768969.2860725,1725768968.5631242,0.73918159,0.0073918159,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,100,deckard.base.files.FileConfig,data,c606dd19ec9f53c5e2f3db6942c6450b,.pkl,truthseeker,013279ae44afb76bb7dbad59e13894f6,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,100,BotScoreBinary,8.300003500838423,balanced,scale,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
d6319b70570aa6c3792358c8129216c0,train,deckard.base.experiment.Experiment,d6319b70570aa6c3792358c8129216c0,Truthseeker,cpu,d6319b70570aa6c3792358c8129216c0,d6319b70570aa6c3792358c8129216c0,k-SVC,d6319b70570aa6c3792358c8129216c0,d6319b70570aa6c3792358c8129216c0,0.525,16.406104693985093,cpu,1725809582.223003,1725809565.0746431,17.58266616,0.0439566654,cpu,1725809565.0743392,1725809557.9255583,7.40981721,0.0246993907,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,d6319b70570aa6c3792358c8129216c0,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,18.02225891751926,balanced,scale,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
d9689ed067f9f951306ea80865fe2bbb,train,deckard.base.experiment.Experiment,d9689ed067f9f951306ea80865fe2bbb,Truthseeker,cpu,d9689ed067f9f951306ea80865fe2bbb,d9689ed067f9f951306ea80865fe2bbb,k-SVC,d9689ed067f9f951306ea80865fe2bbb,d9689ed067f9f951306ea80865fe2bbb,0.47,18.30575138866021,cpu,1725808653.792996,1725808636.077372,18.23654814,0.04559137035,cpu,1725808636.077067,1725808629.6214192,6.57275776,0.0219091925333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,d9689ed067f9f951306ea80865fe2bbb,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,0.0732567599754029,balanced,scale,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
db0a3c666dcbde88757310990475b140,train,deckard.base.experiment.Experiment,db0a3c666dcbde88757310990475b140,Truthseeker,cpu,db0a3c666dcbde88757310990475b140,db0a3c666dcbde88757310990475b140,k-SVC,db0a3c666dcbde88757310990475b140,db0a3c666dcbde88757310990475b140,0.4975,17.355899055915806,cpu,1727426180.875687,1727426171.602044,9.58652263,0.023966306575,cpu,1727426171.6019137,1727426168.1369193,3.541934,0.0118064466666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,db0a3c666dcbde88757310990475b140,predictions.json,reports/modified/gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,9.513142768605348,,auto,rbf,1,Jaro,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
dcefb8daedd5e06946a95640d5856e59,train,deckard.base.experiment.Experiment,dcefb8daedd5e06946a95640d5856e59,Truthseeker,cpu,dcefb8daedd5e06946a95640d5856e59,dcefb8daedd5e06946a95640d5856e59,k-SVC,dcefb8daedd5e06946a95640d5856e59,dcefb8daedd5e06946a95640d5856e59,0.5,17.26954012096708,cpu,1727426401.0196204,1727426386.5559492,17.7736305,0.04443407625,cpu,1727426386.555841,1727426380.9250796,6.91218158,0.0230406052666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,dcefb8daedd5e06946a95640d5856e59,predictions.json,reports/modified/gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,16.337352973011278,,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
e23cca98234c8b24b59266da8a4bd34e,train,deckard.base.experiment.Experiment,e23cca98234c8b24b59266da8a4bd34e,Truthseeker,cpu,e23cca98234c8b24b59266da8a4bd34e,e23cca98234c8b24b59266da8a4bd34e,k-SVC,e23cca98234c8b24b59266da8a4bd34e,e23cca98234c8b24b59266da8a4bd34e,0.5075,17.010347374493513,cpu,1725810101.018129,1725810084.151642,17.27700522,0.04319251305,cpu,1725810084.151551,1725810077.1032643,7.27234293,0.0242411431,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,e23cca98234c8b24b59266da8a4bd34e,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,0.1631836380129204,,auto,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
e5d8bee4612b3dbaf486bee9b2eefdef,train,deckard.base.experiment.Experiment,e5d8bee4612b3dbaf486bee9b2eefdef,Truthseeker,cpu,e5d8bee4612b3dbaf486bee9b2eefdef,e5d8bee4612b3dbaf486bee9b2eefdef,k-SVC,e5d8bee4612b3dbaf486bee9b2eefdef,e5d8bee4612b3dbaf486bee9b2eefdef,0.5275,16.319745759036365,cpu,1725808653.3177695,1725808636.1911526,17.60139668,0.0440034917,cpu,1725808636.190832,1725808629.665704,6.67521729,0.0222507243,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,e5d8bee4612b3dbaf486bee9b2eefdef,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,10.663775160908768,balanced,scale,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
e66d51ec684317ed27d81e30332682a4,train,deckard.base.experiment.Experiment,e66d51ec684317ed27d81e30332682a4,Truthseeker,cpu,e66d51ec684317ed27d81e30332682a4,e66d51ec684317ed27d81e30332682a4,k-SVC,e66d51ec684317ed27d81e30332682a4,e66d51ec684317ed27d81e30332682a4,0.54,15.887977071209198,cpu,1725810140.0983467,1725810117.4159184,24.7321482,0.0618303705,cpu,1725810117.4158309,1725810108.3607106,9.84973609,0.0328324536333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,3,True,True,400,300,deckard.base.files.FileConfig,data,562c4f6f599a03ddb4444cee43c85c50,.pkl,truthseeker,e66d51ec684317ed27d81e30332682a4,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,3,True,True,400,300,BotScoreBinary,0.577904360961343,balanced,scale,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
eae402112a2390e4d7ed5c1f7a337f7a,train,deckard.base.experiment.Experiment,eae402112a2390e4d7ed5c1f7a337f7a,Truthseeker,cpu,eae402112a2390e4d7ed5c1f7a337f7a,eae402112a2390e4d7ed5c1f7a337f7a,k-SVC,eae402112a2390e4d7ed5c1f7a337f7a,eae402112a2390e4d7ed5c1f7a337f7a,0.5325,16.147057874042538,cpu,1725809319.2811828,1725809301.2303624,18.57258187,0.046431454675,cpu,1725809301.2300448,1725809294.4917903,6.87785572,0.0229261857333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,eae402112a2390e4d7ed5c1f7a337f7a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,13.424742517317096,balanced,scale,rbf,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
eb7716c6344bd96e8a4ad3905ff4a7df,train,deckard.base.experiment.Experiment,eb7716c6344bd96e8a4ad3905ff4a7df,Truthseeker,cpu,eb7716c6344bd96e8a4ad3905ff4a7df,eb7716c6344bd96e8a4ad3905ff4a7df,k-SVC,eb7716c6344bd96e8a4ad3905ff4a7df,eb7716c6344bd96e8a4ad3905ff4a7df,0.51,16.92418434091518,cpu,1725809547.570979,1725809388.9624405,163.09351244,0.4077337811,cpu,1725809388.961931,1725809325.3749137,65.03353885,0.2167784628333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,300,deckard.base.files.FileConfig,data,e863aca033fb062a9e42d81762e0ccdb,.pkl,truthseeker,eb7716c6344bd96e8a4ad3905ff4a7df,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,300,BotScoreBinary,16.177721103636586,balanced,scale,rbf,1,SeqRatio,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
