,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.fit_intercept,model.init.m,model.init.metric,model.init.name,model.init.penalty,model.init.precompute,model.init.solver,model.init.symmetric,model.init.tol,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0,024cefcd0c2b1a4903c01553630808c4,train,deckard.base.experiment.Experiment,024cefcd0c2b1a4903c01553630808c4,truthseeker,cpu,024cefcd0c2b1a4903c01553630808c4,024cefcd0c2b1a4903c01553630808c4,GzipLogisticRegressor,024cefcd0c2b1a4903c01553630808c4,024cefcd0c2b1a4903c01553630808c4,0.97,1.0361632919311523,cpu,1709316196.922305,1709316189.125976,8.504882018,0.08504882018,cpu,1709316189.1256983,1709316180.6504347,9.288676752,0.09288676752,truthseeker/reports/gzip_logistic/100-0/train/024cefcd0c2b1a4903c01553630808c4/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,024cefcd0c2b1a4903c01553630808c4,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,100.0,deckard.base.model.ModelInitializer,,False,-1,Jaro,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
1,02abe14991358525f9a63e949279a6db,train,deckard.base.experiment.Experiment,02abe14991358525f9a63e949279a6db,truthseeker,cpu,02abe14991358525f9a63e949279a6db,02abe14991358525f9a63e949279a6db,GzipLogisticRegressor,02abe14991358525f9a63e949279a6db,02abe14991358525f9a63e949279a6db,0.97,1.0361632918473211,cpu,1709315905.2436898,1709315884.8499932,21.932271618,0.21932271618,cpu,1709316265.0633671,1709316245.333883,20.958231398,0.20958231398,truthseeker/reports/gzip_logistic/100-0/train/02abe14991358525f9a63e949279a6db/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,02abe14991358525f9a63e949279a6db,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,10.0,deckard.base.model.ModelInitializer,balanced,True,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
2,02e30a529440ac116f946f52b23a12b1,train,deckard.base.experiment.Experiment,02e30a529440ac116f946f52b23a12b1,truthseeker,cpu,02e30a529440ac116f946f52b23a12b1,02e30a529440ac116f946f52b23a12b1,GzipLogisticRegressor,02e30a529440ac116f946f52b23a12b1,02e30a529440ac116f946f52b23a12b1,0.97,1.0361632919311523,cpu,1709316446.1904223,1709316439.6156695,7.153552217,0.07153552217,cpu,1709316439.6155145,1709316431.6509862,8.445802504,0.08445802504,truthseeker/reports/gzip_logistic/100-0/train/02e30a529440ac116f946f52b23a12b1/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,02e30a529440ac116f946f52b23a12b1,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,10.0,deckard.base.model.ModelInitializer,,True,-1,Jaro-Winkler,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
4,03453902856e0b16f577f830ba980c6f,train,deckard.base.experiment.Experiment,03453902856e0b16f577f830ba980c6f,truthseeker,cpu,03453902856e0b16f577f830ba980c6f,03453902856e0b16f577f830ba980c6f,GzipLogisticRegressor,03453902856e0b16f577f830ba980c6f,03453902856e0b16f577f830ba980c6f,0.97,1.0361632919311523,cpu,1709316406.879747,1709316378.3629806,30.531540498,0.30531540498,cpu,1709316378.3627734,1709316352.3891206,27.553655135,0.27553655135,truthseeker/reports/gzip_logistic/100-0/train/03453902856e0b16f577f830ba980c6f/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,03453902856e0b16f577f830ba980c6f,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,0.01,deckard.base.model.ModelInitializer,balanced,False,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
5,04da5a9fdf41662a293790bb8540d197,train,deckard.base.experiment.Experiment,04da5a9fdf41662a293790bb8540d197,truthseeker,cpu,04da5a9fdf41662a293790bb8540d197,04da5a9fdf41662a293790bb8540d197,GzipLogisticRegressor,04da5a9fdf41662a293790bb8540d197,04da5a9fdf41662a293790bb8540d197,0.93,2.417714347839356,cpu,1709316062.2932997,1709316053.342661,9.67303711,0.0967303711,cpu,1709316053.3424072,1709316043.4827738,10.622473202,0.10622473202,truthseeker/reports/gzip_logistic/100-0/train/04da5a9fdf41662a293790bb8540d197/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,04da5a9fdf41662a293790bb8540d197,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,1.0,deckard.base.model.ModelInitializer,balanced,False,-1,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
9,06f99792d693666d045f575712812780,train,deckard.base.experiment.Experiment,06f99792d693666d045f575712812780,truthseeker,cpu,06f99792d693666d045f575712812780,06f99792d693666d045f575712812780,GzipLogisticRegressor,06f99792d693666d045f575712812780,06f99792d693666d045f575712812780,0.97,1.0361632919311523,cpu,1709316006.5914123,1709315999.7354767,7.45472174,0.0745472174,cpu,1709315999.735355,1709315991.1980803,9.262547307,0.09262547307,truthseeker/reports/gzip_logistic/100-0/train/06f99792d693666d045f575712812780/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,06f99792d693666d045f575712812780,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,0.1,deckard.base.model.ModelInitializer,,False,-1,Hamming,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
10,071300f943fc1bea6d994152762072ad,train,deckard.base.experiment.Experiment,071300f943fc1bea6d994152762072ad,truthseeker,cpu,071300f943fc1bea6d994152762072ad,071300f943fc1bea6d994152762072ad,GzipLogisticRegressor,071300f943fc1bea6d994152762072ad,071300f943fc1bea6d994152762072ad,0.97,1.0361632919311523,cpu,1709316500.8528965,1709316492.185362,9.433864344,0.09433864344,cpu,1709316492.1852176,1709316483.6257415,9.34728867,0.0934728867,truthseeker/reports/gzip_logistic/100-0/train/071300f943fc1bea6d994152762072ad/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,071300f943fc1bea6d994152762072ad,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,0.01,deckard.base.model.ModelInitializer,,False,-1,Jaro-Winkler,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
11,07597f67081d64300b8faecf29861089,train,deckard.base.experiment.Experiment,07597f67081d64300b8faecf29861089,truthseeker,cpu,07597f67081d64300b8faecf29861089,07597f67081d64300b8faecf29861089,GzipLogisticRegressor,07597f67081d64300b8faecf29861089,07597f67081d64300b8faecf29861089,0.97,1.0361632919311523,cpu,1709315937.7439706,1709315929.941376,8.453560681,0.08453560681,cpu,1709315929.9410706,1709315922.5497198,7.781689952,0.07781689952,truthseeker/reports/gzip_logistic/100-0/train/07597f67081d64300b8faecf29861089/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,07597f67081d64300b8faecf29861089,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,1.0,deckard.base.model.ModelInitializer,,True,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
13,097de44cd4abfcdc537e8166fb0273b8,train,deckard.base.experiment.Experiment,097de44cd4abfcdc537e8166fb0273b8,truthseeker,cpu,097de44cd4abfcdc537e8166fb0273b8,097de44cd4abfcdc537e8166fb0273b8,GzipLogisticRegressor,097de44cd4abfcdc537e8166fb0273b8,097de44cd4abfcdc537e8166fb0273b8,0.97,1.0361632919311523,cpu,1709316217.0471,1709316197.113706,20.18299061,0.2018299061,cpu,1709316197.113575,1709316180.6130035,16.935510461,0.16935510461,truthseeker/reports/gzip_logistic/100-0/train/097de44cd4abfcdc537e8166fb0273b8/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,097de44cd4abfcdc537e8166fb0273b8,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,0.01,deckard.base.model.ModelInitializer,balanced,True,-1,SeqRatio,gzip_classifier.GzipLogisticRegressor,none,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
14,0b97747e0fe00eb25345190254a64f75,train,deckard.base.experiment.Experiment,0b97747e0fe00eb25345190254a64f75,truthseeker,cpu,0b97747e0fe00eb25345190254a64f75,0b97747e0fe00eb25345190254a64f75,GzipLogisticRegressor,0b97747e0fe00eb25345190254a64f75,0b97747e0fe00eb25345190254a64f75,0.74,8.98008186340332,cpu,1709315939.8583565,1709315931.680342,8.73912886,0.0873912886,cpu,1709315931.6801813,1709315922.7831378,9.516133144,0.09516133144,truthseeker/reports/gzip_logistic/100-0/train/0b97747e0fe00eb25345190254a64f75/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0b97747e0fe00eb25345190254a64f75,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0,True,True,100,100,BotScoreBinary,10.0,deckard.base.model.ModelInitializer,balanced,True,-1,Gzip,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
