,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,model.init.C,model.init.class_weight,model.init.fit_intercept,model.init.max_iter,model.init.penalty,model.init.solver,model.init.tol,id,model.init.gamma,model.init.kernel
0,train,deckard.base.experiment.Experiment,1c05b595b082a2c1f446812d5ce6d370,Truthseeker,cpu,1c05b595b082a2c1f446812d5ce6d370,1c05b595b082a2c1f446812d5ce6d370,k-KNN,1c05b595b082a2c1f446812d5ce6d370,1c05b595b082a2c1f446812d5ce6d370,0.55,15.542667268009536,cpu,1727374791.5774858,1727374747.902165,78.21756457,0.195543911425,cpu,1727374747.9020698,1727374747.5702531,0.39060899,0.00039060899,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,1c05b595b082a2c1f446812d5ce6d370,predictions.json,reports/condense/knn/bz2/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Medoid,truthseeker/models/bz2/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,1c05b595b082a2c1f446812d5ce6d370,,
1,train,deckard.base.experiment.Experiment,6624885c51d557821d80ff04fc8cbca0,Truthseeker,cpu,6624885c51d557821d80ff04fc8cbca0,6624885c51d557821d80ff04fc8cbca0,k-KNN,6624885c51d557821d80ff04fc8cbca0,6624885c51d557821d80ff04fc8cbca0,0.54,15.888029045042158,cpu,1726257562.5710585,1726257531.5536923,32.08851164,0.0802212791,cpu,1726257531.552873,1726257490.897886,42.22333352,0.04222333352,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,6624885c51d557821d80ff04fc8cbca0,predictions.json,reports/condense/knn/levenshtein/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Random,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,1.0,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,6624885c51d557821d80ff04fc8cbca0,,
2,train,deckard.base.experiment.Experiment,f4e1caad306f42d1e8994d9fb40ec81a,Truthseeker,cpu,f4e1caad306f42d1e8994d9fb40ec81a,f4e1caad306f42d1e8994d9fb40ec81a,k-KNN,f4e1caad306f42d1e8994d9fb40ec81a,f4e1caad306f42d1e8994d9fb40ec81a,0.55,15.54265127606093,cpu,1727375269.7087686,1727375242.2679858,28.42765111,0.071069127775,cpu,1727375242.267866,1727375242.207415,0.0603243,6.03243e-05,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,f4e1caad306f42d1e8994d9fb40ec81a,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Medoid,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,f4e1caad306f42d1e8994d9fb40ec81a,,
3,train,deckard.base.experiment.Experiment,eef95b1c6728018df93c6a988a7b1b61,Truthseeker,cpu,eef95b1c6728018df93c6a988a7b1b61,eef95b1c6728018df93c6a988a7b1b61,k-KNN,eef95b1c6728018df93c6a988a7b1b61,eef95b1c6728018df93c6a988a7b1b61,0.5525,15.456286344131472,cpu,1727375385.2243445,1727375359.1164298,27.06410419,0.067660260475,cpu,1727375359.1163354,1727375359.0785549,0.03654825,3.654825e-05,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,eef95b1c6728018df93c6a988a7b1b61,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Sum,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,eef95b1c6728018df93c6a988a7b1b61,,
4,train,deckard.base.experiment.Experiment,d85f1dcf8c722023dbc7ba859a56feeb,Truthseeker,cpu,d85f1dcf8c722023dbc7ba859a56feeb,d85f1dcf8c722023dbc7ba859a56feeb,k-KNN,d85f1dcf8c722023dbc7ba859a56feeb,d85f1dcf8c722023dbc7ba859a56feeb,0.5375,15.974369989048707,cpu,1727375474.4970942,1727375448.0103142,27.41284428,0.0685321107,cpu,1727375448.0102136,1727375443.1148615,4.89480193,0.00489480193,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,d85f1dcf8c722023dbc7ba859a56feeb,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Hardness,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,d85f1dcf8c722023dbc7ba859a56feeb,,
5,train,deckard.base.experiment.Experiment,ac29e6ae7194c3c19a3d63b330e99a51,Truthseeker,cpu,ac29e6ae7194c3c19a3d63b330e99a51,ac29e6ae7194c3c19a3d63b330e99a51,k-KNN,ac29e6ae7194c3c19a3d63b330e99a51,ac29e6ae7194c3c19a3d63b330e99a51,0.5525,15.456288343125053,cpu,1727375233.88927,1727375211.927848,22.74453149,0.056861328725,cpu,1727375211.9274223,1727375202.0805798,9.83002105,0.00983002105,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,ac29e6ae7194c3c19a3d63b330e99a51,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,KNN,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,ac29e6ae7194c3c19a3d63b330e99a51,,
6,train,deckard.base.experiment.Experiment,9603f22f55ec3cb6e54c98cedae9a4f3,Truthseeker,cpu,9603f22f55ec3cb6e54c98cedae9a4f3,9603f22f55ec3cb6e54c98cedae9a4f3,k-KNN,9603f22f55ec3cb6e54c98cedae9a4f3,9603f22f55ec3cb6e54c98cedae9a4f3,0.545,15.715361149984089,cpu,1727375216.561514,1727375202.1602926,14.78976471,0.036974411775,cpu,1727375202.1602042,1727375202.1289418,0.03054275,3.054275e-05,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,9603f22f55ec3cb6e54c98cedae9a4f3,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,SVC,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,9603f22f55ec3cb6e54c98cedae9a4f3,,
7,train,deckard.base.experiment.Experiment,8286f521db35a890afd31cdd6fac3461,Truthseeker,cpu,8286f521db35a890afd31cdd6fac3461,8286f521db35a890afd31cdd6fac3461,k-KNN,8286f521db35a890afd31cdd6fac3461,8286f521db35a890afd31cdd6fac3461,0.5375,15.974369989048707,cpu,1727375321.8052852,1727375296.7023728,25.73605591,0.064340139775,cpu,1727375296.702281,1727375296.3895695,0.30985977,0.00030985977,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,8286f521db35a890afd31cdd6fac3461,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,NearMiss,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,8286f521db35a890afd31cdd6fac3461,,
8,train,deckard.base.experiment.Experiment,5cf7ad50ba881976fc83dd12f9b7bf42,Truthseeker,cpu,5cf7ad50ba881976fc83dd12f9b7bf42,5cf7ad50ba881976fc83dd12f9b7bf42,k-KNN,5cf7ad50ba881976fc83dd12f9b7bf42,5cf7ad50ba881976fc83dd12f9b7bf42,0.5675,14.938154723368427,cpu,1727375270.504161,1727375242.270627,29.30438321,0.073260958025,cpu,1727375242.270528,1727375242.237424,0.03298875,3.298875e-05,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,5cf7ad50ba881976fc83dd12f9b7bf42,predictions.json,reports/condense/knn/levenshtein/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Random,truthseeker/models/levenshtein/symmetry_true/modified_true/1000-400-0.npz,3.0,0.9,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,5cf7ad50ba881976fc83dd12f9b7bf42,,
9,train,deckard.base.experiment.Experiment,9bf65d3338dacc0d9d4fe919f5bdd63a,Truthseeker,cpu,9bf65d3338dacc0d9d4fe919f5bdd63a,9bf65d3338dacc0d9d4fe919f5bdd63a,k-KNN,9bf65d3338dacc0d9d4fe919f5bdd63a,9bf65d3338dacc0d9d4fe919f5bdd63a,0.5,17.269390196448917,cpu,1726257973.7928634,1726257943.7098966,31.0980469,0.07774511725,cpu,1726257943.70901,1726257904.9509697,39.76023537,0.03976023537,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,9bf65d3338dacc0d9d4fe919f5bdd63a,predictions.json,reports/condense/knn/jaro_winkler/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,brute,Random,truthseeker/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3.0,1.0,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,9bf65d3338dacc0d9d4fe919f5bdd63a,,
